,X,country,year,alcohol
0,139,Russia,1985,13.31
1,328,Russia,1986,10.77
2,517,Russia,1987,10.96
3,706,Russia,1988,11.57
4,895,Russia,1989,12.04
5,980,Chile,1990,9.43
6,997,Ecuador,1990,8.4
7,1012,Greece,1990,12.51
8,1084,Russia,1990,12.29
9,1273,Russia,1991,12.67
10,1423,Macedonia [FYROM],1992,12.66
11,1462,Russia,1992,13.23
12,1622,Moldova,1993,18.1
13,1651,Russia,1993,13.6
14,1665,Slovenia,1993,24.19
15,1690,Ukraine,1993,13.0
16,1711,Austria,1994,12.62
17,1749,Denmark,1994,14.36
18,1761,Finland,1994,9.79
19,1777,Iceland,1994,5.52
20,1826,Norway,1994,6.26
21,1840,Russia,1994,13.3
22,1947,Estonia,1995,10.74
23,1965,Hungary,1995,14.52
24,2009,New Zealand,1995,9.19
25,2046,South Africa,1995,10.0
26,2103,Brazil,1996,14.01
27,2242,Sweden,1996,8.0
28,2620,Sweden,1998,8.2
29,2998,Sweden,2000,8.4
30,3187,Sweden,2001,9.1
31,3376,Sweden,2002,9.9
32,3565,Sweden,2003,10.2
33,3754,Sweden,2004,10.5
34,3781,Afghanistan,2005,0.02
35,3782,Albania,2005,6.68
36,3783,Algeria,2005,0.96
37,3784,Andorra,2005,15.48
38,3785,Angola,2005,5.4
39,3786,Antigua and Barbuda,2005,7.22
40,3787,Argentina,2005,10.0
41,3788,Armenia,2005,11.35
42,3789,Australia,2005,10.02
43,3790,Austria,2005,13.24
44,3791,Azerbaijan,2005,10.6
45,3792,Bahamas,2005,8.76
46,3793,Bahrain,2005,3.66
47,3794,Bangladesh,2005,0.17
48,3795,Barbados,2005,6.91
49,3796,Belarus,2005,15.13
50,3797,Belgium,2005,10.77
51,3798,Belize,2005,6.07
52,3799,Benin,2005,2.15
53,3800,Bhutan,2005,0.55
54,3801,Bolivia,2005,5.12
55,3802,Bosnia and Herzegovina,2005,9.63
56,3803,Botswana,2005,7.96
57,3804,Brazil,2005,9.16
58,3805,Brunei,2005,2.01
59,3806,Bulgaria,2005,12.44
60,3807,Burkina Faso,2005,6.98
61,3808,Burundi,2005,9.47
62,3809,Cambodia,2005,4.77
63,3810,Cameroon,2005,7.57
64,3811,Canada,2005,9.77
65,3812,Cape Verde,2005,4.96
66,3813,Central African Republic,2005,3.35
67,3814,Chad,2005,4.38
68,3815,Chile,2005,8.55
69,3816,China,2005,5.91
70,3817,Colombia,2005,6.17
71,3818,Comoros,2005,0.36
72,3819,Congo [DRC],2005,3.3
73,3820,Congo [Republic],2005,4.2
74,3821,Cook Islands,2005,3.7
75,3822,Costa Rica,2005,5.55
76,3823,Côte d'Ivoire,2005,6.48
77,3824,Croatia,2005,15.11
78,3825,Cuba,2005,5.51
79,3826,Cyprus,2005,9.26
80,3827,Czech Republic,2005,16.45
81,3828,Denmark,2005,13.37
82,3829,Djibouti,2005,1.87
83,3830,Dominica,2005,7.84
84,3831,Dominican Republic,2005,6.41
85,3832,Ecuador,2005,9.38
86,3833,Egypt,2005,0.37
87,3834,El Salvador,2005,3.61
88,3835,Equatorial Guinea,2005,6.08
89,3836,Eritrea,2005,1.54
90,3837,Estonia,2005,15.57
91,3838,Ethiopia,2005,4.02
92,3839,Fiji,2005,2.43
93,3840,Finland,2005,12.52
94,3841,France,2005,13.66
95,3842,Gabon,2005,9.32
96,3843,Gambia,2005,3.39
97,3844,Georgia,2005,6.4
98,3845,Germany,2005,12.81
99,3846,Ghana,2005,2.97
100,3847,Greece,2005,10.75
101,3848,Grenada,2005,10.35
102,3849,Guatemala,2005,4.03
103,3850,Guinea,2005,0.76
104,3851,Guinea-Bissau,2005,3.68
105,3852,Guyana,2005,9.5
106,3853,Haiti,2005,6.61
107,3854,Honduras,2005,4.48
108,3855,Hungary,2005,16.27
109,3856,Iceland,2005,6.31
110,3857,India,2005,2.59
111,3858,Indonesia,2005,0.59
112,3859,Iran,2005,1.02
113,3860,Iraq,2005,0.4
114,3861,Ireland,2005,14.41
115,3862,Israel,2005,2.89
116,3863,Italy,2005,10.68
117,3864,Jamaica,2005,5.0
118,3865,Japan,2005,8.03
119,3866,Jordan,2005,0.71
120,3867,Kazakhstan,2005,10.96
121,3868,Kenya,2005,4.14
122,3869,Kiribati,2005,3.71
123,3870,Kuwait,2005,0.1
124,3871,Kyrgyzstan,2005,5.09
125,3872,Laos,2005,6.73
126,3873,Latvia,2005,12.5
127,3874,Lebanon,2005,2.23
128,3875,Lesotho,2005,5.55
129,3876,Liberia,2005,5.06
130,3877,Libya,2005,0.11
131,3878,Lithuania,2005,15.03
132,3879,Luxembourg,2005,13.01
133,3880,Macedonia [FYROM],2005,8.51
134,3881,Madagascar,2005,1.33
135,3882,Malawi,2005,1.74
136,3883,Malaysia,2005,0.82
137,3884,Mali,2005,1.04
138,3885,Malta,2005,4.27
139,3886,Mauritania,2005,0.11
140,3887,Mauritius,2005,3.72
141,3888,Mexico,2005,8.42
142,3889,Micronesia,2005,5.5
143,3890,Moldova,2005,18.22
144,3891,Mongolia,2005,3.24
145,3892,Morocco,2005,1.46
146,3893,Mozambique,2005,2.38
147,3894,Myanmar [Burma],2005,0.57
148,3895,Namibia,2005,9.62
149,3896,Nauru,2005,4.83
150,3897,Nepal,2005,2.41
151,3898,Netherlands,2005,10.05
152,3899,New Zealand,2005,9.62
153,3900,Nicaragua,2005,5.37
154,3901,Niger,2005,0.34
155,3902,Nigeria,2005,12.28
156,3903,Niue,2005,9.85
157,3904,North Korea,2005,18.28
158,3905,Norway,2005,7.81
159,3906,Oman,2005,0.94
160,3907,Pakistan,2005,0.06
161,3908,Palau,2005,10.1
162,3909,Panama,2005,6.85
163,3910,Papua New Guinea,2005,3.49
164,3911,Paraguay,2005,7.88
165,3912,Peru,2005,6.9
166,3913,Philippines,2005,6.38
167,3914,Poland,2005,13.25
168,3915,Portugal,2005,14.55
169,3916,Puerto Rico,2005,5.75
170,3917,Qatar,2005,1.25
171,3918,Romania,2005,15.3
172,3919,Russia,2005,15.76
173,3920,Rwanda,2005,9.8
174,3921,Saint Kitts and Nevis,2005,9.43
175,3922,Saint Lucia,2005,11.85
176,3923,Saint Vincent and the Grenadines,2005,5.44
177,3924,Samoa,2005,4.8
178,3925,São Tomé and Príncipe,2005,8.74
179,3926,Saudi Arabia,2005,0.25
180,3927,Senegal,2005,0.6
181,3928,Serbia,2005,11.09
182,3929,Seychelles,2005,10.59
183,3930,Sierra Leone,2005,9.72
184,3931,Singapore,2005,1.55
185,3932,Slovakia,2005,13.33
186,3933,Slovenia,2005,15.19
187,3934,Solomon Islands,2005,1.66
188,3935,Somalia,2005,0.5
189,3936,South Africa,2005,9.46
190,3938,Spain,2005,11.62
191,3939,Sri Lanka,2005,0.79
192,3940,Sudan,2005,2.56
193,3941,Suriname,2005,6.09
194,3942,Swaziland,2005,5.7
195,3943,Sweden,2005,10.1
196,3944,Switzerland,2005,11.06
197,3945,Syria,2005,1.43
198,3946,Tajikistan,2005,3.39
199,3947,Tanzania,2005,6.75
200,3948,Thailand,2005,7.08
201,3949,Timor-Leste,2005,0.86
202,3950,Togo,2005,1.99
203,3951,Tonga,2005,3.78
204,3952,Trinidad and Tobago,2005,6.28
205,3953,Tunisia,2005,1.29
206,3954,Turkey,2005,2.87
207,3955,Turkmenistan,2005,4.63
208,3956,Tuvalu,2005,2.44
209,3957,Uganda,2005,11.93
210,3958,Ukraine,2005,15.6
211,3959,United Arab Emirates,2005,0.54
212,3960,United Kingdom,2005,13.37
213,3961,United States,2005,9.44
214,3962,Uruguay,2005,8.14
215,3963,Uzbekistan,2005,3.54
216,3964,Vanuatu,2005,0.93
217,3965,Venezuela,2005,8.23
218,3966,Vietnam,2005,3.77
219,3967,Yemen,2005,0.2
220,3968,Zambia,2005,3.85
221,3969,Zimbabwe,2005,5.08
222,4132,Sweden,2006,9.8
223,4321,Sweden,2007,9.8
224,4348,Afghanistan,2008,0.03
225,4349,Albania,2008,7.29
226,4350,Algeria,2008,0.69
227,4351,Andorra,2008,10.17
228,4352,Angola,2008,5.57
229,4353,Antigua and Barbuda,2008,8.17
230,4354,Argentina,2008,9.35
231,4355,Armenia,2008,13.66
232,4356,Australia,2008,10.21
233,4357,Austria,2008,12.4
234,4358,Azerbaijan,2008,13.34
235,4359,Bahamas,2008,8.65
236,4360,Bahrain,2008,4.19
237,4361,Bangladesh,2008,0.17
238,4362,Barbados,2008,6.42
239,4363,Belarus,2008,18.85
240,4364,Belgium,2008,10.41
241,4365,Belize,2008,5.92
242,4366,Benin,2008,2.08
243,4367,Bhutan,2008,0.54
244,4368,Bolivia,2008,5.78
245,4369,Bosnia and Herzegovina,2008,9.6
246,4370,Botswana,2008,6.97
247,4371,Brazil,2008,10.08
248,4372,Brunei,2008,1.86
249,4373,Bulgaria,2008,11.4
250,4374,Burkina Faso,2008,7.32
251,4375,Burundi,2008,9.65
252,4376,Cambodia,2008,4.71
253,4377,Cameroon,2008,7.9
254,4378,Canada,2008,10.2
255,4379,Cape Verde,2008,4.98
256,4380,Central African Republic,2008,3.17
257,4381,Chad,2008,4.39
258,4382,Chile,2008,8.81
259,4383,China,2008,5.56
260,4384,Colombia,2008,6.59
261,4385,Comoros,2008,0.28
262,4386,Congo [DRC],2008,3.39
263,4387,Congo [Republic],2008,4.46
264,4388,Cook Islands,2008,3.23
265,4389,Costa Rica,2008,5.81
266,4390,Côte d'Ivoire,2008,6.47
267,4391,Croatia,2008,15.0
268,4392,Cuba,2008,5.12
269,4393,Cyprus,2008,8.84
270,4394,Czech Republic,2008,16.47
271,4395,Denmark,2008,12.02
272,4396,Djibouti,2008,1.87
273,4397,Dominica,2008,8.68
274,4398,Dominican Republic,2008,6.28
275,4399,Ecuador,2008,9.43
276,4400,Egypt,2008,0.32
277,4401,El Salvador,2008,3.99
278,4402,Equatorial Guinea,2008,6.12
279,4403,Eritrea,2008,1.64
280,4404,Estonia,2008,17.24
281,4405,Ethiopia,2008,4.1
282,4406,Fiji,2008,2.76
283,4407,Finland,2008,13.1
284,4408,France,2008,12.48
285,4409,Gabon,2008,9.46
286,4410,Gambia,2008,3.58
287,4411,Georgia,2008,6.66
288,4412,Germany,2008,12.14
289,4413,Ghana,2008,3.11
290,4414,Greece,2008,11.01
291,4415,Grenada,2008,10.71
292,4416,Guatemala,2008,7.1
293,4417,Guinea,2008,0.79
294,4418,Guinea-Bissau,2008,3.9
295,4419,Guyana,2008,8.7
296,4420,Haiti,2008,5.92
297,4421,Honduras,2008,4.43
298,4422,Hungary,2008,16.12
299,4423,Iceland,2008,7.38
300,4424,India,2008,2.69
301,4425,Indonesia,2008,0.56
302,4426,Iran,2008,1.03
303,4427,Iraq,2008,0.47
304,4428,Ireland,2008,14.92
305,4429,Israel,2008,2.52
306,4430,Italy,2008,9.72
307,4431,Jamaica,2008,5.17
308,4432,Japan,2008,7.79
309,4433,Jordan,2008,0.65
310,4434,Kazakhstan,2008,11.1
311,4435,Kenya,2008,3.88
312,4436,Kiribati,2008,2.7
