,ALP,Lib,Nat,Green,FamilyFirst,Dems,OneNation,DK,sampleSize,org,startDate,endDate,source,remark
0,39.5,44.5,0.0,8.5,2.0,2.0,1.0,0,1450.5428571428602,"Morgan, F2F",2004-10-30,2004-11-07,,
1,39.0,44.0,0.0,8.5,1.5,2.0,1.0,0,2090.0,"Morgan, F2F",2004-11-13,2004-11-21,http://www.roymorgan.com/news/polls/2004/3808/,face-to-face
2,38.0,46.0,0.0,6.0,0.0,0.0,0.0,0,1150.0,Newspoll,2004-11-19,2004-11-21,,
3,36.0,46.5,0.0,9.0,2.5,1.5,1.0,0,1450.5428571428602,"Morgan, F2F",2004-11-27,2004-12-05,http://www.roymorgan.com/news/polls/2004/3813/,face-to-face
4,33.0,47.0,0.0,8.0,0.0,0.0,0.0,0,1130.0,Newspoll,2004-12-03,2004-12-05,,
5,36.5,45.5,0.0,9.5,2.0,1.5,1.5,0,2136.0,"Morgan, F2F",2004-12-11,2004-12-19,http://www.roymorgan.com/news/polls/2004/3818/,face-to-face
6,39.0,46.0,0.0,6.0,0.0,0.0,0.0,0,1132.0,Newspoll,2004-12-17,2004-12-19,,
7,37.0,47.0,0.0,7.5,2.0,1.5,1.0,0,2010.0,"Morgan, F2F",2005-01-08,2005-01-16,http://www.roymorgan.com/news/polls/2005/3829/,face-to-face
8,34.0,52.0,0.0,8.0,0.0,2.0,1.0,0,1413.0,Nielsen,2005-01-21,2005-01-21,,
9,37.0,46.0,0.0,7.0,0.0,0.0,0.0,0,1141.0,Newspoll,2005-01-21,2005-01-23,,
10,38.0,45.0,0.0,8.0,2.0,2.0,1.5,0,2152.0,"Morgan, F2F",2005-01-22,2005-01-30,http://www.roymorgan.com/news/polls/2005/3831/,face-to-face
11,37.0,48.0,0.0,6.0,0.0,0.0,0.0,0,1141.0,Newspoll,2005-02-04,2005-02-06,,
12,37.5,45.0,0.0,9.0,2.0,2.0,1.0,0,2102.0,"Morgan, F2F",2005-02-05,2005-02-13,http://www.roymorgan.com/news/polls/2005/3836/,face-to-face
13,36.0,47.0,0.0,9.0,0.0,1.0,1.0,0,1407.0,Nielsen,2005-02-11,2005-02-13,,
14,38.0,47.0,0.0,6.0,0.0,0.0,0.0,0,1148.0,Newspoll,2005-02-18,2005-02-20,,
15,38.5,46.0,0.0,7.5,1.0,2.0,0.5,0,2005.0,"Morgan, F2F",2005-02-19,2005-02-27,http://www.roymorgan.com/news/polls/2005/3841/,face-to-face
16,43.0,42.0,0.0,7.0,2.5,1.5,1.0,0,1015.0,"Morgan, F2F",2005-03-05,2005-03-06,http://www.roymorgan.com/news/polls/2005/3843/,face-to-face
17,37.0,45.0,0.0,5.0,0.0,0.0,0.0,0,1129.0,Newspoll,2005-03-04,2005-03-06,,
18,37.0,44.5,0.0,10.0,2.5,1.0,1.0,0,989.0,"Morgan, F2F",2005-03-12,2005-03-13,http://www.roymorgan.com/news/polls/2005/3844/,face-to-face
19,39.0,41.0,0.0,11.0,0.0,1.0,2.0,0,1415.0,Nielsen,2005-03-11,2005-03-13,,
20,36.0,47.0,0.0,6.0,0.0,0.0,0.0,0,1156.0,Newspoll,2005-03-18,2005-03-20,http://www.newspoll.com.au/cgi-bin/polling/display_poll_data.pl,
21,39.0,44.0,0.0,8.0,2.0,1.5,1.0,0,1891.0,"Morgan, F2F",2005-03-19,2005-03-27,http://www.roymorgan.com/news/polls/2005/3848/,face-to-face
