,date,day,dm,ddm,bp,cd,dy,sf
0,800102,wednesday,0.5861,,2.249,0.8547,0.0042060000000000005,0.6365
1,800103,thursday,0.5837,-0.00410327127264,2.2365,0.8552,0.004187,0.6357
2,800104,friday,0.5842,0.000856237743895,2.241,0.8566,0.004268999999999999,0.6355
3,800107,monday,0.5853,0.00188114634353,2.2645,0.8538,0.004315,0.6373
4,800108,tuesday,0.5824,-0.0049670394146999995,2.256,0.8553,0.004257,0.6329
5,800109,wednesday,0.5834,0.0017155605511400003,2.265,0.8565,0.0042450000000000005,0.6349
6,800110,thursday,0.5807,-0.004638785055619999,2.2505,0.8583,0.0042369999999999994,0.6317
7,800111,friday,0.5819,0.00206433928462,2.2640000000000002,0.8591,0.0042380000000000004,0.6331
8,800114,monday,0.5817,-0.000343760745908,2.2835,0.858,0.004227000000000001,0.6317
9,800115,tuesday,0.5788,-0.0049978561593900005,2.283,0.8576,0.004164,0.6279
10,800116,wednesday,0.5808,0.00344946875326,2.2675,0.8602,0.004197,0.6317
11,800117,thursday,0.5807,-0.00017219113258200002,2.2769999999999997,0.862,0.004174000000000001,0.6289
12,800118,friday,0.5787,-0.00345006379821,2.2835,0.8607,0.004169,0.6251
13,800121,monday,0.5778,-0.0015564205476600002,2.278,0.8614,0.004151,0.6236
14,800122,tuesday,0.5760000000000001,-0.0031201273362399997,2.2765,0.8612,0.0041719999999999995,0.6205
15,800123,wednesday,0.5774,0.00242760653294,2.278,0.8625,0.004226,0.6203
16,800124,thursday,0.5773,-0.000173205161947,2.2765,0.8638,0.004175,0.6215
17,800125,friday,0.5758,-0.00260168388881,2.2595,0.8597,0.004174000000000001,0.6184
18,800128,monday,0.5757,-0.000173686496312,2.253,0.858,0.004161,0.6186
19,800129,tuesday,0.5774,0.00294857554707,2.265,0.8611,0.004184,0.6203
20,800130,wednesday,0.5752,-0.003817460822,2.265,0.8608,0.004184,0.6155
21,800131,thursday,0.574,-0.00208841008727,2.27,0.8639,0.004183,0.6121
22,800201,friday,0.5733,-0.00122025640523,2.2765,0.8631,0.004147,0.6118
23,800204,monday,0.5743,0.00174276795591,2.2925,0.8617,0.0041659999999999996,0.614
24,800205,tuesday,0.5735,-0.00139397130083,2.2895,0.8625,0.004164,0.6151
25,800206,wednesday,0.5774,0.00677733065941,2.315,0.8622,0.0041659999999999996,0.6238
26,800207,thursday,0.5752,-0.003817460822,2.3025,0.8626,0.004163,0.6195
27,800208,friday,0.575,-0.000347765609487,2.3,0.8631,0.004136,0.6176
28,800211,monday,0.5752,0.000347765609487,2.305,0.8626,0.004141,0.6184
29,800212,tuesday,0.5742,-0.00174003871987,2.3065,0.8611,0.00414,0.617
30,800213,wednesday,0.575,0.0013922731103900002,2.3040000000000003,0.8611,0.0041329999999999995,0.6184
31,800214,thursday,0.5752,0.000347765609487,2.3080000000000003,0.8627,0.00411,0.6169
32,800215,friday,0.5748,-0.000695652201967,2.2969999999999997,0.8607,0.004116,0.6148
33,800219,tuesday,0.5720000000000001,-0.00488316282507,2.2765,0.8641,0.004070000000000001,0.6103
34,800220,wednesday,0.5729,0.00157219003473,2.2795,0.8667,0.004063000000000001,0.6093
35,800221,thursday,0.5715,-0.00244669817967,2.286,0.8714,0.004061,0.6086
36,800222,friday,0.5681,-0.005967023671779999,2.27,0.8671,0.0040479999999999995,0.602
37,800225,monday,0.5670000000000001,-0.00193815583533,2.27,0.8696,0.00402,0.5973
38,800226,tuesday,0.5668,-0.00035279591122700004,2.279,0.8684,0.00403,0.5989
