,neighborhood,population,white,black,foreignBorn,hhIncome,poverty,collegeGrad
0,Cedar Riverside,8247,0.353,0.46399999999999997,0.408,18892,0.06,0.258
1,Phillips West,5184,0.19899999999999998,0.5379999999999999,0.318,18404,0.042,0.21100000000000002
2,Downtown West,7141,0.561,0.21100000000000002,0.203,67086,0.057,0.551
3,Downtown East,1674,0.5429999999999999,0.221,0.221,70669,0.071,0.5770000000000001
4,Shingle Creek,3249,0.40700000000000003,0.259,0.14,59414,0.11,0.247
5,Ventura Village,6150,0.214,0.424,0.32899999999999996,17469,0.048,0.17300000000000001
6,Sumner - Glenwood,1676,0.087,0.6559999999999999,0.292,18854,0.07400000000000001,0.165
7,Lind - Bohanon,5420,0.41700000000000004,0.251,0.172,43438,0.08900000000000001,0.196
8,Victory,4525,0.622,0.25,0.055,57148,0.066,0.345
9,Webber - Camden,5109,0.39399999999999996,0.38299999999999995,0.11,37030,0.053,0.203
10,Bottineau,1573,0.615,0.217,0.17,50900,0.085,0.32799999999999996
11,Howe,6816,0.789,0.095,0.051,63492,0.037000000000000005,0.496
12,Bryant,3178,0.305,0.248,0.261,50964,0.114,0.254
13,Hiawatha,5780,0.836,0.046,0.055999999999999994,65925,0.045,0.537
14,Windom,4876,0.718,0.091,0.107,78095,0.05,0.5429999999999999
15,Ericsson,3302,0.8809999999999999,0.03,0.048,78750,0.06,0.59
16,Field,2498,0.748,0.133,0.064,100598,0.044000000000000004,0.655
17,Wenonah,4423,0.604,0.122,0.136,54321,0.065,0.42700000000000005
18,Page,1875,0.8809999999999999,0.059000000000000004,0.039,114750,0.043,0.7490000000000001
19,Steven's Square - Loring Heights,3897,0.624,0.196,0.133,24783,0.053,0.512
20,Minnehaha,4208,0.7879999999999999,0.067,0.073,64145,0.067,0.5
21,Prospect Park - East River Road,7705,0.7070000000000001,0.066,0.168,36186,0.039,0.698
22,Keewaydin,3292,0.8170000000000001,0.049,0.10099999999999999,83116,0.087,0.54
23,University of Minnesota,5678,0.669,0.099,0.183,20492,0.049,0.461
24,Jordan,8177,0.183,0.45299999999999996,0.155,36156,0.051,0.142
25,Fulton,6138,0.902,0.028999999999999998,0.04,118465,0.032,0.7759999999999999
26,Hawthorne,4609,0.18600000000000003,0.456,0.16699999999999998,21936,0.062,0.151
27,Folwell,5023,0.285,0.40299999999999997,0.11599999999999999,40442,0.10300000000000001,0.18100000000000002
28,Willard - Hay,9074,0.215,0.516,0.141,44733,0.048,0.26899999999999996
29,Lynnhurst,5934,0.889,0.024,0.045,118202,0.031,0.763
30,Bancroft,3542,0.623,0.14,0.132,57456,0.053,0.44299999999999995
31,Harrison,3443,0.31,0.42700000000000005,0.163,32013,0.115,0.25
32,Holland,5016,0.47200000000000003,0.193,0.262,45343,0.057,0.233
33,Loring Park,8262,0.6970000000000001,0.135,0.172,37438,0.06,0.623
34,Linden Hills,8097,0.845,0.054000000000000006,0.08900000000000001,93909,0.051,0.718
35,Diamond Lake,5620,0.754,0.063,0.092,73668,0.05,0.531
36,Standish,6815,0.703,0.061,0.08900000000000001,63693,0.048,0.44799999999999995
37,Cooper,3744,0.8170000000000001,0.03,0.092,72774,0.069,0.614
38,Tangletown,4436,0.8220000000000001,0.063,0.054000000000000006,100158,0.051,0.68
39,North Loop,4681,0.747,0.15,0.151,104457,0.079,0.745
40,Hale,3150,0.8959999999999999,0.031,0.028999999999999998,94280,0.064,0.672
41,Seward,7436,0.536,0.355,0.299,32554,0.048,0.451
42,Longfellow,4704,0.63,0.151,0.09699999999999999,49378,0.057,0.39
43,East Phillips,4661,0.153,0.28,0.385,35224,0.10400000000000001,0.21600000000000003
44,Lowry Hill East,6357,0.76,0.105,0.145,49868,0.066,0.569
45,ECCO,2608,0.88,0.004,0.061,72568,0.085,0.774
46,CARAG,5737,0.899,0.011000000000000001,0.05,50696,0.049,0.603
47,Cleveland,2895,0.515,0.29600000000000004,0.047,49744,0.09,0.37200000000000005
48,Audubon Park,5073,0.769,0.038,0.11900000000000001,69056,0.053,0.44
49,Regina,2344,0.58,0.225,0.096,83077,0.083,0.537
