,hightemp,lowtemp,avgtemp,spring,summer,fall,cloudcover,precip,volume,weekday,dayType
0,83,50,66.5,0,1,0,7.599999904632571,0.0,501,True,weekday
1,73,49,61.0,0,1,0,6.300000190734861,0.28999999165535,419,True,weekday
2,74,52,63.0,1,0,0,7.5,0.319999992847443,397,True,weekday
3,95,61,78.0,0,1,0,2.5999999046325697,0.0,385,False,weekend
4,44,52,48.0,1,0,0,10.0,0.14000000059604598,200,True,weekday
5,69,54,61.5,1,0,0,6.599999904632571,0.0199999995529652,375,True,weekday
6,66,39,52.5,1,0,0,2.4000000953674303,0.0,417,True,weekday
7,66,38,52.0,1,0,0,0.0,0.0,629,False,weekend
8,80,55,67.5,0,1,0,3.79999995231628,0.0,533,False,weekend
9,79,45,62.0,0,1,0,4.099999904632569,0.0,547,True,weekday
10,78,55,66.5,0,1,0,8.5,0.0,432,True,weekday
11,65,48,56.5,1,0,0,7.199999809265139,0.0,418,True,weekday
12,41,49,45.0,1,0,0,10.0,0.0299999993294477,193,True,weekday
13,59,35,47.0,0,0,1,7.699999809265139,0.0,331,True,weekday
14,50,35,42.5,0,0,1,5.800000190734861,0.0,280,True,weekday
15,54,32,43.0,1,0,0,3.5999999046325697,0.0,304,True,weekday
16,97,71,84.0,0,1,0,6.099999904632571,0.680000007152557,352,False,weekend
17,75,43,59.0,1,0,0,6.300000190734861,0.0,156,True,weekday
18,63,35,49.0,1,0,0,8.60000038146973,0.0,365,True,weekday
19,42,37,39.5,0,0,1,10.0,0.150000005960464,181,True,weekday
20,70,49,59.5,1,0,0,7.900000095367429,0.0,514,False,weekend
21,57,48,52.5,1,0,0,6.800000190734861,0.0,259,True,weekday
22,71,39,55.0,1,0,0,5.199999809265139,0.0,452,True,weekday
23,46,30,38.0,0,0,1,9.69999980926514,0.200000002980232,189,True,weekday
24,61,35,48.0,1,0,0,4.40000009536743,0.0,362,True,weekday
25,81,65,73.0,0,1,0,10.0,1.4400000572204599,256,True,weekday
26,64,58,61.0,0,1,0,10.0,1.1499999761581399,155,True,weekday
27,57,36,46.5,1,0,0,6.5,0.00999999977648258,174,True,weekday
28,62,36,49.0,1,0,0,0.0,0.0,259,True,weekday
29,83,54,68.5,0,1,0,1.20000004768372,0.0,535,False,weekend
30,76,44,60.0,1,0,0,1.79999995231628,0.0,650,False,weekend
31,74,50,62.0,1,0,0,8.0,0.119999997317791,409,True,weekday
32,59,40,49.5,1,0,0,9.39999961853027,0.34000000357627896,311,True,weekday
33,77,52,64.5,1,0,0,5.0,0.0,736,False,weekend
34,52,43,47.5,1,0,0,5.800000190734861,0.00999999977648258,186,True,weekday
35,67,43,55.0,1,0,0,6.699999809265139,0.0,371,True,weekday
36,51,19,35.0,0,0,1,0.0,0.0,291,False,weekend
37,41,25,33.0,0,0,1,0.0,0.0,287,True,weekday
38,90,65,77.5,0,1,0,8.39999961853027,0.0,411,True,weekday
39,70,30,50.0,1,0,0,0.0,0.0,461,False,weekend
40,81,39,60.0,1,0,0,0.0,0.0,540,True,weekday
41,72,53,62.5,0,1,0,7.900000095367429,0.0,376,True,weekday
42,70,63,66.5,0,1,0,9.89999961853027,0.0,554,True,weekday
43,69,41,55.0,0,0,1,6.400000095367429,0.0,339,True,weekday
44,59,34,46.5,1,0,0,2.4000000953674303,0.0,344,True,weekday
45,60,32,46.0,0,0,1,1.20000004768372,0.0,348,False,weekend
46,72,47,59.5,1,0,0,4.099999904632569,0.0,517,True,weekday
47,70,47,58.5,1,0,0,9.89999961853027,0.0,328,True,weekday
48,76,72,74.0,0,1,0,9.69999980926514,0.349999994039536,298,True,weekday
49,56,38,47.0,1,0,0,0.0,0.0,335,True,weekday
50,66,38,52.0,1,0,0,3.9000000953674303,0.0,186,True,weekday
51,84,69,76.5,0,1,0,8.89999961853027,0.00999999977648258,505,True,weekday
52,58,51,54.5,1,0,0,10.0,0.150000005960464,156,True,weekday
53,56,41,48.5,1,0,0,7.0,0.0,362,True,weekday
54,79,47,63.0,1,0,0,7.0,0.00999999977648258,507,False,weekend
55,67,39,53.0,1,0,0,6.800000190734861,0.0199999995529652,407,False,weekend
56,75,47,61.0,1,0,0,6.800000190734861,0.0,421,True,weekday
57,65,30,47.5,1,0,0,4.30000019073486,0.0,393,True,weekday
58,70,41,55.5,1,0,0,5.09999990463257,0.0,422,True,weekday
59,64,41,52.5,1,0,0,3.4000000953674303,0.0,349,True,weekday
