,pump,label,x,y
0,1,Oxford Market,8.6512012,17.8915997
1,2,Castle St E,10.9847803,18.5178509
2,3,Oxford St #1,13.37819,17.394540799999998
3,4,Oxford St #2,14.879830400000001,17.8099194
4,5,Gt Marlborough,8.694768,14.9054699
5,6,Crown Chapel,8.8644161,12.75354
6,7,Broad St,12.5713596,11.72717
7,8,Warwick,10.660969699999999,7.428647
8,9,Briddle St,13.521459599999998,7.95825
9,10,So Soho,16.4348907,9.2521296
10,11,Dean St,18.9143906,9.737818699999998
11,12,Coventry St,16.0051098,5.0468378
12,13,Vigo St,8.999440199999999,5.1010232
