,year,posangle,distance,weight,notes,authority
0,1718.19,160.8666667,,4.0,Pound,Pound
1,1718.2,160.8666667,,4.0,Bradley,Bradley
2,1720.31,139.1166667,7.49,0.1,Cassini  very uncertain,Cassini
3,1756.0,144.3666667,6.5,4.0,Mayer,Mayer
4,1780.06,,5.7,4.0,H. Catal. 1782,H
5,1781.89,130.7333333,,4.0,H. Catal  1782,H
6,1803.2,120.25,,8.0,H. Mean of 8 measures,H
7,1819.4,,3.56,4.0,"Sigma  Descriptio Tubi Fraunhof., p. 17",Sigma
8,1820.2,105.25,,4.0,"Sigma. Addit. Dorp. Obs., ii 178",Sigma
9,1822.25,103.4,3.79,4.0,Sh. Phil Trans 1824,Sh
10,1822.5,102.4,,4.0,"Sigma  Descriptio Tubi Fraunhof., p. 17",Sigma
11,1825.32,96.88333333,3.26,4.0,S. Phil Trans,S
12,1825.35,97.96666667,2.38,4.0,Sigma DTF & Mem Ast Soc; mean of dates ,Sigma
13,1828.35,90.5,,1.0,h. One night measure. No reliance,h
14,1829.16,,1.79,2.0,h. 2 nights obs,h
15,1829.22,87.71666667,,2.0,h. 2 nights obs,h
16,1830.24,,2.22,6.0,h. 6 nights obs,h
17,1830.38,82.08333333,,6.0,h. 6 nights obs,h
