,month,market,acme
0,1/86,-0.061134,0.030160000000000003
1,2/86,0.00822,-0.165457
2,3/86,-0.007381,0.080137
3,4/86,-0.067561,-0.109917
4,5/86,-0.0062380000000000005,-0.114853
5,6/86,-0.044251,-0.099254
6,7/86,-0.11207,-0.226846
7,8/86,0.030226,0.07344500000000001
8,9/86,-0.129556,-0.143064
9,10/86,0.0013189999999999999,0.034776
10,11/86,-0.033679,-0.063375
11,12/86,-0.072795,-0.058735
12,1/87,0.073396,0.050214
13,2/87,-0.011618,0.11116500000000001
14,3/87,-0.026851999999999997,-0.127492
15,4/87,-0.040356,0.054522
16,5/87,-0.047539,-0.072918
17,6/87,-0.001732,-0.058979
18,7/87,-0.008898999999999999,0.23614699999999997
19,8/87,-0.020837,-0.094778
20,9/87,-0.084811,-0.135669
21,10/87,-0.262077,-0.284796
22,11/87,-0.110167,-0.171494
23,12/87,0.034955,0.242616
24,1/88,0.012688,-0.06351799999999999
25,2/88,-0.00217,-0.117677
26,3/88,-0.073462,0.201674
27,4/88,-0.043419,-0.147728
28,5/88,-0.054729999999999994,-0.17088499999999998
29,6/88,-0.011755,-0.014893
30,7/88,-0.061717999999999995,-0.11051500000000002
31,8/88,-0.10171000000000001,-0.168769
32,9/88,-0.032705,-0.13558499999999998
33,10/88,-0.045334,-0.084077
34,11/88,-0.079288,-0.16455
35,12/88,-0.036233,0.150269
36,1/89,-0.011493999999999999,-0.015672
37,2/89,-0.09372899999999999,-0.037860000000000005
38,3/89,-0.065215,-0.074712
39,4/89,-0.037113,-0.10853
40,5/89,-0.044399,-0.036769
41,6/89,-0.084412,0.023912
42,7/89,0.0034439999999999996,-0.07843
43,8/89,-0.056760000000000005,-0.132199
44,9/89,-0.07897,-0.110141
45,10/89,-0.105367,-0.126302
46,11/89,-0.038633999999999995,-0.09573
47,12/89,-0.043261,0.06573999999999999
48,1/90,-0.139773,-0.120056
49,2/90,-0.05909400000000001,-0.08520499999999999
50,3/90,-0.057736,-0.130433
51,4/90,-0.102524,-0.116728
52,5/90,0.023881,-0.078039
53,6/90,-0.07911599999999999,-0.170322
54,7/90,-0.078965,-0.077727
55,8/90,-0.161359,-0.277035
56,9/90,-0.119376,-0.20759499999999997
57,10/90,-0.076008,-0.070515
58,11/90,-0.006444,-0.046274
59,12/90,-0.026400999999999997,-0.190834
