,id,year,stint,team,lg,g,ab,r,h,X2b,X3b,hr,rbi,sb,cs,bb,so,ibb,hbp,sh,sf,gidp
0,ansonca01,1871,1,RC1,,25,120,29,39,11,3,0,16.0,6.0,2.0,2,1.0,,,,,
1,forceda01,1871,1,WS3,,32,162,45,45,9,4,0,29.0,8.0,0.0,4,0.0,,,,,
2,mathebo01,1871,1,FW1,,19,89,15,24,3,1,0,10.0,2.0,1.0,2,0.0,,,,,
3,startjo01,1871,1,NY2,,33,161,35,58,5,1,1,34.0,4.0,2.0,3,0.0,,,,,
4,suttoez01,1871,1,CL1,,29,128,35,45,3,7,3,23.0,3.0,1.0,1,0.0,,,,,
5,whitede01,1871,1,CL1,,29,146,40,47,6,5,1,21.0,2.0,2.0,4,1.0,,,,,
6,yorkto01,1871,1,TRO,,29,145,36,37,5,7,2,23.0,2.0,2.0,9,1.0,,,,,
7,ansonca01,1872,1,PH1,,46,217,60,90,10,7,0,50.0,6.0,6.0,16,3.0,,,,,
8,burdoja01,1872,1,BR2,,37,174,26,46,3,0,0,15.0,0.0,1.0,1,1.0,,,,,
9,forceda01,1872,1,TRO,,25,130,40,53,11,0,0,16.0,2.0,2.0,1,0.0,,,,,
10,forceda01,1872,2,BL1,,19,95,29,41,2,2,0,13.0,3.0,0.0,1,0.0,,,,,
11,hinespa01,1872,1,WS4,,11,49,9,12,1,0,0,5.0,0.0,0.0,0,0.0,,,,,
12,mathebo01,1872,1,BL1,,50,223,36,50,1,0,0,21.0,1.0,1.0,3,2.0,,,,,
13,nelsoca01,1872,1,TRO,,4,20,2,7,0,0,0,4.0,0.0,0.0,0,2.0,,,,,
14,nelsoca01,1872,2,BR1,,18,76,12,19,2,0,0,8.0,1.0,0.0,2,2.0,,,,,
15,orourji01,1872,1,MID,,23,101,25,31,4,1,0,12.0,1.0,0.0,2,0.0,,,,,
16,startjo01,1872,1,NY2,,55,282,62,76,4,0,0,50.0,3.0,3.0,0,0.0,,,,,
17,suttoez01,1872,1,CL1,,22,107,30,30,6,1,0,10.0,1.0,0.0,1,1.0,,,,,
18,whitede01,1872,1,CL1,,22,109,21,37,2,2,0,22.0,0.0,0.0,4,1.0,,,,,
19,yorkto01,1872,1,BL1,,51,248,66,66,10,4,1,41.0,2.0,1.0,4,1.0,,,,,
20,ansonca01,1873,1,PH1,,52,254,53,101,9,2,0,36.0,0.0,2.0,5,1.0,,,,,
21,burdoja01,1873,1,BR2,,55,245,56,62,7,1,2,36.0,3.0,1.0,7,4.0,,,,,
22,forceda01,1873,1,BL1,,49,234,77,86,8,1,0,31.0,1.0,0.0,9,0.0,,,,,
23,gerhajo01,1873,1,WS5,,13,56,6,12,3,0,0,7.0,0.0,0.0,0,5.0,,,,,
24,hinespa01,1873,1,WS5,,39,181,33,60,6,3,1,29.0,0.0,1.0,1,1.0,,,,,
25,mathebo01,1873,1,NY2,,52,223,40,43,3,3,0,13.0,1.0,1.0,10,3.0,,,,,
26,nelsoca01,1873,1,NY2,,36,168,28,55,4,1,0,22.0,2.0,0.0,1,2.0,,,,,
27,orourji01,1873,1,BS1,,57,280,79,98,19,3,1,48.0,4.0,2.0,14,1.0,,,,,
