Item,Package,Title,Rows,Cols,n_binary,n_character,n_factor,n_logical,n_numeric,CSV,Doc
acme,boot,Monthly Excess Returns,60,3,0,1,0,0,2,https://vincentarelbundock.github.io/Rdatasets/csv/boot/acme.csv,https://vincentarelbundock.github.io/Rdatasets/doc/boot/acme.html
MplsDemo,carData,"Minneapolis Demographic Data 2015, by Neighborhood",84,8,0,1,0,0,7,https://vincentarelbundock.github.io/Rdatasets/csv/carData/MplsDemo.csv,https://vincentarelbundock.github.io/Rdatasets/doc/carData/MplsDemo.html
medpar,COUNT,medpar,1495,10,7,1,0,0,9,https://vincentarelbundock.github.io/Rdatasets/csv/COUNT/medpar.csv,https://vincentarelbundock.github.io/Rdatasets/doc/COUNT/medpar.html
codling,DAAG,"Dose-mortality data, for fumigation of codling moth with methyl bromide",99,10,1,1,1,0,8,https://vincentarelbundock.github.io/Rdatasets/csv/DAAG/codling.csv,https://vincentarelbundock.github.io/Rdatasets/doc/DAAG/codling.html
hotspots,DAAG,Hawaian island chain hotspot Potassium-Argon ages,35,6,0,3,0,0,3,https://vincentarelbundock.github.io/Rdatasets/csv/DAAG/hotspots.csv,https://vincentarelbundock.github.io/Rdatasets/doc/DAAG/hotspots.html
hurricNamed,DAAG,Named US Atlantic Hurricanes,94,12,1,2,1,0,8,https://vincentarelbundock.github.io/Rdatasets/csv/DAAG/hurricNamed.csv,https://vincentarelbundock.github.io/Rdatasets/doc/DAAG/hurricNamed.html
intersalt,DAAG,Blood pressure versus Salt; inter-population data,52,4,0,1,0,0,3,https://vincentarelbundock.github.io/Rdatasets/csv/DAAG/intersalt.csv,https://vincentarelbundock.github.io/Rdatasets/doc/DAAG/intersalt.html
nassCDS,DAAG,Airbag and other influences on accident fatalities,26217,15,7,3,5,0,7,https://vincentarelbundock.github.io/Rdatasets/csv/DAAG/nassCDS.csv,https://vincentarelbundock.github.io/Rdatasets/doc/DAAG/nassCDS.html
progression,DAAG,"Progression of Record times for track races, 1912 - 2008",227,4,0,1,0,0,3,https://vincentarelbundock.github.io/Rdatasets/csv/DAAG/progression.csv,https://vincentarelbundock.github.io/Rdatasets/doc/DAAG/progression.html
races2000,DAAG,Scottish Hill Races Data - 2000,77,5,0,1,0,0,4,https://vincentarelbundock.github.io/Rdatasets/csv/DAAG/races2000.csv,https://vincentarelbundock.github.io/Rdatasets/doc/DAAG/races2000.html
