,date,variable,value,value01
0,1967-07-01,pce,506.7,0.0
1,1967-08-01,pce,509.8,0.000265249719776508
2,1967-09-01,pce,515.6,0.000761523389035778
3,1967-10-01,pce,512.2,0.000470604341538967
4,1967-11-01,pce,517.4,0.000915539355357616
5,1967-12-01,pce,525.1,0.00157438543351217
6,1968-01-01,pce,530.9,0.00207065910277143
7,1968-02-01,pce,533.6,0.0023016830522542
8,1968-03-01,pce,544.3,0.0032172224076118102
9,1968-04-01,pce,544.0,0.0031915530798915103
10,1968-05-01,pce,549.8,0.0036878267491507704
11,1968-06-01,pce,556.3,0.00424399551642409
12,1968-07-01,pce,563.2,0.0048343900539911605
13,1968-08-01,pce,567.0,0.0051595348717817105
14,1968-09-01,pce,568.2,0.00526221218266294
15,1968-10-01,pce,571.6,0.00555313123015975
16,1968-11-01,pce,576.7,0.005989509801404971
17,1968-12-01,pce,576.5,0.0059723969162581
18,1969-01-01,pce,583.5,0.0065713478963986
19,1969-02-01,pce,588.7,0.00701628291021725
20,1969-03-01,pce,588.9,0.0070333957953641205
21,1969-04-01,pce,593.9,0.0074612179240359
22,1969-05-01,pce,600.3,0.00800883024873578
23,1969-06-01,pce,600.9,0.0080601689041764
24,1969-07-01,pce,602.7,0.00821418487049825
25,1969-08-01,pce,609.9,0.00883024873578561
26,1969-09-01,pce,613.2,0.00911261134070899
27,1969-10-01,pce,618.5,0.00956610279710108
28,1969-11-01,pce,620.5,0.00973723164856979
29,1969-12-01,pce,622.8,0.00993402982775881
30,1970-01-01,pce,628.7,0.0104388599395915
31,1970-02-01,pce,634.0,0.0108923513959836
32,1970-03-01,pce,632.3,0.0107468918722352
33,1970-04-01,pce,636.0,0.0110634802474523
34,1970-05-01,pce,642.4,0.0116110925721522
35,1970-06-01,pce,646.3,0.0119447938325162
36,1970-07-01,pce,648.5,0.0121330355691318
37,1970-08-01,pce,652.9,0.0125095190423629
38,1970-09-01,pce,659.1,0.013040018481916
39,1970-10-01,pce,658.3,0.0129715669413285
40,1970-11-01,pce,656.6,0.0128261074175801
41,1970-12-01,pce,665.6,0.0135961872491893
42,1971-01-01,pce,676.1,0.0144946137194
43,1971-02-01,pce,679.4,0.0147769763243234
44,1971-03-01,pce,682.0,0.0149994438312327
45,1971-04-01,pce,688.8,0.0155812819262264
46,1971-05-01,pce,691.1,0.0157780801054154
47,1971-06-01,pce,699.8,0.0165224906093043
48,1971-07-01,pce,698.9,0.0164454826261434
49,1971-08-01,pce,704.9,0.0169588691805495
50,1971-09-01,pce,713.0,0.0176519410289978
51,1971-10-01,pce,715.8,0.017891521421054
52,1971-11-01,pce,720.9,0.0183278999922992
53,1971-12-01,pce,728.4,0.0189696331853069
54,1972-01-01,pce,731.5,0.0192348829050834
55,1972-02-01,pce,736.2,0.0196370357060349
56,1972-03-01,pce,749.2,0.0207493732405815
57,1972-04-01,pce,752.5,0.0210317358455049
58,1972-05-01,pce,758.0,0.0215023401870438
59,1972-06-01,pce,761.6,0.0218103721196875
60,1972-07-01,pce,769.9,0.0225205568532827
61,1972-08-01,pce,776.3,0.0230681691779826
62,1972-09-01,pce,781.1,0.0234788784215075
63,1972-10-01,pce,794.9,0.0246596674966416
64,1972-11-01,pce,800.5,0.025138828280753995
65,1972-12-01,pce,806.1,0.0256179890648664
66,1973-01-01,pce,816.5,0.0265078590925037
67,1973-02-01,pce,825.8,0.0273036082518332
68,1973-03-01,pce,832.8,0.0279025592319737
69,1973-04-01,pce,835.7,0.0281506960666034
70,1973-05-01,pce,841.6,0.0286555261784361
71,1973-06-01,pce,844.3,0.0288865501279188
72,1973-07-01,pce,854.1,0.0297250815001155
73,1973-08-01,pce,853.3,0.029656629959528
74,1973-09-01,pce,869.2,0.0310171043287043
75,1973-10-01,pce,868.2,0.0309315399029699
76,1973-11-01,pce,876.9,0.0316759504068588
77,1973-12-01,pce,876.6,0.0316502810791385
78,1974-01-01,pce,884.5,0.032326240042439995
79,1974-02-01,pce,889.7,0.0327711750562586
80,1974-03-01,pce,901.4,0.0337722788373506
81,1974-04-01,pce,910.8,0.0345765844392535
82,1974-05-01,pce,922.4,0.0355691317777721
83,1974-06-01,pce,928.0,0.0360482925618845
84,1974-07-01,pce,937.9,0.0368953803766546
85,1974-08-01,pce,954.8,0.0383414191715652
86,1974-09-01,pce,955.1,0.0383670884992855
87,1974-10-01,pce,959.2,0.0387179026447964
88,1974-11-01,pce,956.2,0.0384612093675933
89,1974-12-01,pce,961.8,0.0389403701517057
90,1975-01-01,pce,975.6,0.0401211592268399
91,1975-02-01,pce,989.4,0.041301948301974
92,1975-03-01,pce,990.6,0.0414046256128552
93,1975-04-01,pce,995.0,0.0417811090860864
94,1975-05-01,pce,1018.9,0.0438260988611375
95,1975-06-01,pce,1026.8,0.0445020578244389
96,1975-07-01,pce,1039.8,0.0456143953589855
97,1975-08-01,pce,1047.0,0.0462304592242729
98,1975-09-01,pce,1054.8,0.0468978617450009
99,1975-10-01,pce,1060.9,0.0474198047419805
100,1975-11-01,pce,1075.8,0.0486947146854224
101,1975-12-01,pce,1092.1,0.0500894148248924
102,1976-01-01,pce,1107.1,0.0513728812109077
103,1976-02-01,pce,1107.7,0.0514242198663484
104,1976-03-01,pce,1114.9,0.0520402837316357
105,1976-04-01,pce,1125.4,0.0529387102018465
106,1976-05-01,pce,1122.7,0.0527076862523637
107,1976-06-01,pce,1140.5,0.0542307330304353
108,1976-07-01,pce,1149.6,0.0550093693046179
109,1976-08-01,pce,1158.0,0.0557281104807865
110,1976-09-01,pce,1168.8,0.0566522062787176
111,1976-10-01,pce,1176.8,0.0573367216845924
112,1976-11-01,pce,1189.0,0.0583806076785516
113,1976-12-01,pce,1211.5,0.0603058072575746
114,1977-01-01,pce,1215.0,0.0606052827476448
115,1977-02-01,pce,1231.3,0.0619999828871149
116,1977-03-01,pce,1238.3,0.0625989338672553
117,1977-04-01,pce,1247.3,0.0633690136988646
118,1977-05-01,pce,1257.1,0.0642075450710612
119,1977-06-01,pce,1263.6,0.0647637138383346
120,1977-07-01,pce,1280.5,0.0662097526332452
121,1977-08-01,pce,1285.7,0.0666546876470639
122,1977-09-01,pce,1294.5,0.0674076545935262
123,1977-10-01,pce,1311.4,0.0688536933884368
124,1977-11-01,pce,1327.0,0.0701884984298928
125,1977-12-01,pce,1336.0,0.07095857826150201
126,1978-01-01,pce,1329.5,0.0704024094942287
127,1978-02-01,pce,1355.1,0.0725928587930282
128,1978-03-01,pce,1377.5,0.0745095019294778
129,1978-04-01,pce,1396.4,0.0761266695758572
130,1978-05-01,pce,1412.0,0.0774614746173131
131,1978-06-01,pce,1425.8,0.0786422636924472
132,1978-07-01,pce,1426.8,0.0787278281181816
133,1978-08-01,pce,1447.0,0.0804562295180156
134,1978-09-01,pce,1452.9,0.0809610596298483
135,1978-10-01,pce,1466.9,0.0821589615901293
136,1978-11-01,pce,1480.6,0.08333119422269
137,1978-12-01,pce,1496.5,0.0846916685918662
138,1979-01-01,pce,1502.4,0.085196498703699
139,1979-02-01,pce,1517.8,0.086514190860008
140,1979-03-01,pce,1531.2,0.0876607541648484
141,1979-04-01,pce,1538.4,0.0882768180301358
142,1979-05-01,pce,1558.8,0.0900223323151167
143,1979-06-01,pce,1575.7,0.0914683711100273
144,1979-07-01,pce,1586.1,0.0923582411376646
145,1979-08-01,pce,1615.6,0.0948823916968281
146,1979-09-01,pce,1633.9,0.0964482206877669
147,1979-10-01,pce,1641.6,0.0971070667659214
148,1979-11-01,pce,1657.3,0.0984504282499508
149,1979-12-01,pce,1666.3,0.09922050808156001
150,1980-01-01,pce,1697.3,0.10187300527932501
151,1980-02-01,pce,1701.4,0.10222381942483601
152,1980-03-01,pce,1708.2,0.10280565751983
153,1980-04-01,pce,1695.2,0.101693319985283
154,1980-05-01,pce,1700.1,0.102112585671381
155,1980-06-01,pce,1718.8,0.103712640432614
156,1980-07-01,pce,1747.1,0.106134113680896
157,1980-08-01,pce,1763.8,0.10756303959065999
158,1980-09-01,pce,1780.5,0.10899196550042402
159,1980-10-01,pce,1817.1,0.112123623482301
160,1980-11-01,pce,1826.8,0.11295359841192402
161,1980-12-01,pce,1851.7,0.11508415261271
162,1981-01-01,pce,1870.0,0.116649981603648
163,1981-02-01,pce,1884.2,0.117864996449076
164,1981-03-01,pce,1902.9,0.11946505121030901
165,1981-04-01,pce,1904.4,0.11959339784891
166,1981-05-01,pce,1913.8,0.12039770345081299
167,1981-06-01,pce,1934.5,0.12216888706351402
168,1981-07-01,pce,1942.1,0.122819176699096
169,1981-08-01,pce,1966.6,0.124915505129587
170,1981-09-01,pce,1965.5,0.12482138426128
171,1981-10-01,pce,1963.9,0.124684481180105
172,1981-11-01,pce,1970.6,0.125257762832525
173,1981-12-01,pce,1988.8,0.12681503538089
174,1982-01-01,pce,1997.1,0.127525220114485
175,1982-02-01,pce,2021.2,0.12958732277468302
176,1982-03-01,pce,2024.1,0.129835459609313
177,1982-04-01,pce,2026.3,0.130023701345928
178,1982-05-01,pce,2044.5,0.131580973894294
179,1982-06-01,pce,2048.1,0.131889005826937
180,1982-07-01,pce,2072.2,0.13395110848713498
181,1982-08-01,pce,2080.1,0.134627067450437
182,1982-09-01,pce,2104.6,0.13672339588092902
183,1982-10-01,pce,2125.8,0.13853736170649697
184,1982-11-01,pce,2149.3,0.140548125711254
185,1982-12-01,pce,2161.6,0.141600568147787
186,1983-01-01,pce,2174.0,0.142661567026893
187,1983-02-01,pce,2177.0,0.14291826030409602
188,1983-03-01,pce,2202.8,0.14512582248804198
189,1983-04-01,pce,2226.4,0.147145142935373
190,1983-05-01,pce,2245.9,0.148813649237193
191,1983-06-01,pce,2276.0,0.151389138451797
192,1983-07-01,pce,2304.4,0.153819168142653
193,1983-08-01,pce,2320.4,0.155188198954403
194,1983-09-01,pce,2334.9,0.156428883127551
195,1983-10-01,pce,2357.6,0.15837119559172103
196,1983-11-01,pce,2366.3,0.15911560609560998
197,1983-12-01,pce,2393.6,0.161451514918158
198,1984-01-01,pce,2419.4,0.163659077102104
199,1984-02-01,pce,2403.5,0.162298602732928
200,1984-03-01,pce,2431.6,0.16470296309606303
201,1984-04-01,pce,2457.5,0.16691908172258302
202,1984-05-01,pce,2474.5,0.168373676960067
203,1984-06-01,pce,2495.6,0.170179086343062
204,1984-07-01,pce,2494.6,0.17009352191732802
205,1984-08-01,pce,2512.2,0.171599455810252
206,1984-09-01,pce,2533.8,0.17344764740611401
207,1984-10-01,pce,2531.3,0.17323373634177902
208,1984-11-01,pce,2571.4,0.17666486981372603
209,1984-12-01,pce,2582.6,0.177623191381951
210,1985-01-01,pce,2618.8,0.18072062359353502
211,1985-02-01,pce,2640.8,0.182603040959691
212,1985-03-01,pce,2648.5,0.183261887037845
213,1985-04-01,pce,2659.5,0.18420309572092303
214,1985-05-01,pce,2696.4,0.187360423030521
215,1985-06-01,pce,2689.4,0.18676147205038
216,1985-07-01,pce,2715.7,0.18901181644719395
217,1985-08-01,pce,2752.1,0.19212636154392498
218,1985-09-01,pce,2794.7,0.19577140608020802
219,1985-10-01,pce,2755.8,0.19244294991914201
220,1985-11-01,pce,2771.1,0.19375208563287696
221,1985-12-01,pce,2811.3,0.197191775547398
222,1986-01-01,pce,2827.1,0.198543693474001
223,1986-02-01,pce,2820.2,0.19795329893643399
224,1986-03-01,pce,2823.6,0.19824421798393105
225,1986-04-01,pce,2835.2,0.19923676532245002
226,1986-05-01,pce,2857.5,0.201144852016326
227,1986-06-01,pce,2861.7,0.20150422260441
228,1986-07-01,pce,2881.2,0.20317272890623
229,1986-08-01,pce,2898.6,0.204661549914008
230,1986-09-01,pce,2971.8,0.210924865877763
231,1986-10-01,pce,2932.9,0.20759640971669602
232,1986-11-01,pce,2928.4,0.207211369800892
233,1986-12-01,pce,2997.1,0.21308964584884196
234,1987-01-01,pce,2935.5,0.20781887722360604
235,1987-02-01,pce,3001.7,0.21348324220722
236,1987-03-01,pce,3013.3,0.21447578954573898
237,1987-04-01,pce,3038.8,0.216657682401965
238,1987-05-01,pce,3048.4,0.21747910088901398
239,1987-06-01,pce,3072.8,0.21956687287693302
240,1987-07-01,pce,3094.7,0.22144073380051502
241,1987-08-01,pce,3130.8,0.224529609569525
242,1987-09-01,pce,3126.5,0.224161682538868
243,1987-10-01,pce,3134.5,0.224846197944743
244,1987-11-01,pce,3144.2,0.22567617287436603
245,1987-12-01,pce,3174.1,0.228234549203823
246,1988-01-01,pce,3213.7,0.23162290046290399
247,1988-02-01,pce,3221.4,0.23228174654105802
248,1988-03-01,pce,3260.5,0.23562731558727104
249,1988-04-01,pce,3263.0,0.235841226651607
250,1988-05-01,pce,3293.6,0.23845949807907899
251,1988-06-01,pce,3318.5,0.240590052279864
252,1988-07-01,pce,3342.7,0.242660711382636
253,1988-08-01,pce,3368.0,0.24482549135371498
254,1988-09-01,pce,3375.0,0.245424442333855
255,1988-10-01,pce,3413.7,0.248735785609775
256,1988-11-01,pce,3430.2,0.250147598634392
257,1988-12-01,pce,3459.7,0.252671749193555
258,1989-01-01,pce,3483.7,0.25472529541118
259,1989-02-01,pce,3488.0,0.255093222441838
260,1989-03-01,pce,3498.8,0.256017318239769
261,1989-04-01,pce,3543.0,0.259799265857227
262,1989-05-01,pce,3551.8,0.26055223280369
263,1989-06-01,pce,3566.6,0.261818586304558
264,1989-07-01,pce,3585.7,0.263452866836084
265,1989-08-01,pce,3620.6,0.266439065294213
