,mfr,model,year,trim,bdy_style,hp,hp_rpm,trq,trq_rpm,mpg_c,mpg_h,drivetrain,trsmn,ctry_origin,msrp
0,Ford,GT,2017,Base Coupe,coupe,647,6250,550,5900.0,11.0,18.0,rwd,7a,United States,447000
1,Ferrari,458 Speciale,2015,Base Coupe,coupe,597,9000,398,6000.0,13.0,17.0,rwd,7a,Italy,291744
2,Ferrari,458 Spider,2015,Base,convertible,562,9000,398,6000.0,13.0,17.0,rwd,7a,Italy,263553
3,Ferrari,458 Italia,2014,Base Coupe,coupe,562,9000,398,6000.0,13.0,17.0,rwd,7a,Italy,233509
4,Ferrari,488 GTB,2016,Base Coupe,coupe,661,8000,561,3000.0,15.0,22.0,rwd,7a,Italy,245400
5,Ferrari,California,2015,Base Convertible,convertible,553,7500,557,4750.0,16.0,23.0,rwd,7a,Italy,198973
6,Ferrari,GTC4Lusso,2017,Base Coupe,coupe,680,8250,514,5750.0,12.0,17.0,awd,7a,Italy,298000
7,Ferrari,FF,2015,Base Coupe,coupe,652,8000,504,6000.0,11.0,16.0,awd,7a,Italy,295000
8,Ferrari,F12Berlinetta,2015,Base Coupe,coupe,731,8250,509,6000.0,11.0,16.0,rwd,7a,Italy,319995
9,Ferrari,LaFerrari,2015,Base Coupe,coupe,949,9000,664,6750.0,12.0,16.0,rwd,7a,Italy,1416362
10,Acura,NSX,2017,Base Coupe,coupe,573,6500,476,2000.0,21.0,22.0,awd,9a,Japan,156000
11,Nissan,GT-R,2016,Premium Coupe,coupe,545,6400,436,3200.0,16.0,22.0,awd,6a,Japan,101770
12,Lamborghini,Aventador,2015,LP 700-4 Coupe,coupe,700,8250,507,5500.0,11.0,18.0,awd,7a,Italy,397500
13,Lamborghini,Huracan,2015,LP 610-4 Coupe,coupe,610,8250,413,6500.0,16.0,20.0,rwd,7a,Italy,237250
14,Lamborghini,Gallardo,2014,LP 550-2 Coupe,coupe,550,8000,398,6500.0,12.0,20.0,rwd,6a,Italy,191900
15,Bentley,Continental GT,2016,V8 Coupe,coupe,500,6000,487,1700.0,15.0,25.0,awd,8am,United Kingdom,198500
16,Maserati,Granturismo,2016,Sport Coupe,coupe,454,7600,384,4750.0,13.0,21.0,rwd,6am,Italy,132825
17,Maserati,Quattroporte,2016,S Sedan,sedan,404,5500,406,1500.0,16.0,23.0,rwd,8am,Italy,99900
18,Maserati,Ghibli,2016,Base Sedan,sedan,345,5250,369,1750.0,17.0,24.0,rwd,8am,Italy,70600
19,BMW,6-Series,2016,640 I Coupe,coupe,315,5800,330,1400.0,20.0,30.0,rwd,8am,Germany,77300
20,BMW,i8,2016,Mega World Coupe,coupe,357,5800,420,3700.0,28.0,29.0,awd,6am,Germany,140700
21,BMW,M4,2016,Base Coupe,coupe,425,5500,406,1850.0,17.0,24.0,rwd,6m,Germany,65700
22,BMW,M5,2016,Base Sedan,sedan,560,6000,500,1500.0,15.0,22.0,rwd,7am,Germany,94100
23,BMW,M6,2016,Base Coupe,coupe,560,6000,500,1500.0,15.0,22.0,rwd,7a,Germany,113400
24,Aston Martin,DB11,2017,Base Coupe,coupe,608,6500,516,1500.0,15.0,21.0,rwd,8am,United Kingdom,211195
25,Aston Martin,Rapide S,2016,Base Sedan,sedan,552,6650,465,5500.0,14.0,21.0,rwd,8am,United Kingdom,205300
