,Name,Year,LF.WindsMPH,LF.PressureMB,LF.times,BaseDamage,NDAM2014,AffectedStates,firstLF,deaths,mf,BaseDam2014
0,Easy,1950,120,958,1,3.3,1870,FL,1950-09-04,2,f,32.419419087136895
1,King,1950,130,955,1,28.0,6030,FL,1950-10-17,4,m,275.073858921162
2,Able,1952,85,985,1,2.75,170,SC,1952-08-30,3,m,24.569433962264103
3,Barbara,1953,85,987,1,1.0,65,NC,1953-08-13,1,f,8.867415730337079
4,Florence,1953,85,985,1,0.2,18,FL,1953-09-26,0,f,1.7734831460674199
5,Carol,1954,120,960,2,460.2275,21375,"NC,NY,CT,RI",1954-08-30,60,f,4050.6863531598497
6,Edna,1954,120,954,1,40.0,3520,"MA,ME",1954-09-11,20,f,352.059479553903
7,Hazel,1954,145,938,1,281.0,28500,"SC,NC,MD",1954-10-18,20,f,2473.21784386617
8,Connie,1955,120,962,1,40.0,2270,"NC,VA",1955-08-12,0,f,353.373134328358
9,Diane,1955,85,987,1,200.0,17250,NC,1955-08-17,200,f,1766.86567164179
10,Ione,1955,120,960,1,88.035,6990,NC,1955-09-19,7,m,777.7300970149249
11,Flossy,1956,105,975,1,25.0,1730,"LA,MS,AL,FL",1956-09-24,15,f,217.61029411764702
12,Audrey,1957,145,945,1,150.0,4290,"TX,LA",1957-06-27,416,f,1263.84341637011
13,Helene,1958,120,946,1,11.2,610,NC,1958-09-27,1,f,91.75474048442909
14,Debra,1959,85,984,1,7.0,500,TX,1959-07-25,0,f,56.952577319587604
15,Gracie,1959,120,950,1,14.0,580,SC,1959-09-29,22,f,113.905154639175
16,Donna,1960,145,930,3,386.5,62030,"FL,NC,NY,CT,RI,MA,NH,ME",1960-09-10,50,f,3091.4777027027003
17,Ethel,1960,85,981,1,1.06,39,MS,1960-09-15,0,f,8.47856756756757
18,Carla,1961,145,931,1,325.0,18130,TX,1961-09-11,46,f,2573.47826086957
19,Cindy,1963,85,996,1,12.56,340,TX,1963-09-17,3,f,97.17992156862742
20,Cleo,1964,105,968,1,128.5,7270,FL,1964-08-27,3,f,981.4083870967739
21,Dora,1964,105,966,1,250.0,18540,FL,1964-09-09,5,f,1909.3548387096803
22,Hilda,1964,120,950,1,125.0,3070,LA,1964-10-03,37,f,954.677419354839
23,Isbell,1964,105,974,1,10.0,910,FL,1964-10-14,3,f,76.3741935483871
24,Betsy,1965,120,941,2,1419.8,20640,"FL,LA",1965-09-08,75,f,10671.4872380952
25,Alma,1966,105,982,1,10.05,870,FL,1966-06-09,6,f,73.4394444444444
26,Inez,1966,85,983,1,5.0,110,FL,1966-10-04,3,f,36.537037037037
27,Beulah,1967,120,950,1,200.0,5760,TX,1967-09-20,15,f,1417.7245508982
28,Gladys,1968,105,977,1,6.7,930,FL,1968-10-18,3,f,45.5831034482759
29,Camille,1969,190,909,1,1421.0,25070,"LA,MS",1969-08-17,256,f,9167.19237057221
30,Celia,1970,120,945,1,454.0,7660,TX,1970-08-03,22,f,2770.3360824742304
31,Fern,1971,85,979,1,30.23,570,TX,1971-09-10,2,f,176.722340740741
32,Edith,1971,105,978,1,25.0,330,LA,1971-09-16,0,f,146.148148148148
33,Ginger,1971,85,995,1,10.0,230,NC,1971-09-30,0,f,58.4592592592593
34,Agnes,1972,85,980,2,2100.0,22650,"FL,NY,CT,PA",1972-06-19,117,f,11894.6411483254
35,Carmen,1974,120,952,1,150.0,1310,LA,1974-09-07,1,f,720.365111561866
36,Eloise,1975,120,955,1,490.0,7020,"FL,AL",1975-09-23,21,f,2156.3643122676604
37,Belle,1976,85,980,1,100.0,620,NY,1976-08-09,5,f,416.09841827767997
38,Babe,1977,85,995,1,10.0,74,LA,1977-09-05,0,f,39.0693069306931
39,Bob,1979,85,986,1,20.0,78,LA,1979-07-11,1,m,65.2231404958678
40,David,1979,105,970,2,320.0,3100,"FL,GA,SC",1979-09-03,15,m,1043.57024793388
41,Frederic,1979,120,946,1,2300.0,14350,"AL, MS",1979-09-12,5,m,7500.66115702479
42,Allen,1980,115,945,1,300.0,2450,TX,1980-08-09,2,m,861.9902912621359
43,Alicia,1983,115,962,1,2000.0,12000,TX,1983-08-18,21,f,4754.21686746988
44,Diana,1984,110,949,1,65.0,490,NC,1984-09-13,3,f,148.117420596728
45,Bob,1985,75,1003,1,20.0,150,SC,1985-07-25,0,m,44.0074349442379
46,Danny,1985,90,987,1,50.0,170,LA,1985-08-15,1,m,110.01858736059499
47,Elena,1985,115,959,1,1250.0,4600,"MS,AL,FL",1985-09-02,4,f,2750.46468401487
48,Gloria,1985,120,942,2,900.0,3340,"NC,NY,CT,NH.ME",1985-09-26,8,f,1980.3345724907101
49,Juan,1985,85,971,1,1500.0,5230,LA,1985-10-29,12,m,3300.55762081784
50,Kate,1985,100,967,1,300.0,1480,"FL,GA",1985-11-21,5,f,660.111524163569
51,Bonnie,1986,85,990,1,2.0,6,TX,1986-06-26,3,f,4.32043795620438
52,Charley,1986,75,990,1,15.0,66,NC,1986-08-17,5,m,32.4032846715328
53,Floyd,1987,75,993,1,0.5,1,FL,1987-10-12,0,m,1.04207746478873
54,Florence,1988,80,984,1,2.92,4,LA,1988-09-09,1,f,5.84394928148774
55,Chantal,1989,80,986,1,100.0,320,TX,1989-08-01,13,f,190.93548387096803
56,Hugo,1989,140,934,1,7000.0,22690,"SC,NC",1989-09-21,21,m,13365.4838709677
57,Jerry,1989,85,983,1,70.0,260,TX,1989-10-15,3,m,133.654838709677
58,Bob,1991,105,962,1,1500.0,4020,"RI,MA,NY,CT",1991-08-19,15,m,2607.48898678414
59,Andrew,1992,170,922,2,25000.0,75260,"FL,LA",1992-08-24,62,m,42188.1682109765
60,Emily,1993,115,961,1,35.0,110,NC,1993-08-31,3,f,57.3467128027682
61,Erin,1995,100,973,2,700.0,1850,"FL,FL",1995-08-02,6,f,1087.48031496063
62,Opal,1995,115,942,1,3000.0,8600,"FL,AL",1995-10-04,9,f,4660.62992125984
63,Bertha,1996,105,974,1,270.0,810,NC,1996-07-12,8,f,407.42638623327
64,Fran,1996,115,954,1,3200.0,9610,NC,1996-09-05,26,f,4828.75717017208
65,Danny,1997,80,984,1,100.0,220,"LA,AL",1997-07-19,10,m,147.514018691589
66,Bonnie,1998,110,964,1,720.0,1910,NC,1998-08-26,3,f,1045.81104294479
67,Earl,1998,80,987,1,79.0,180,FL,1998-09-02,3,m,114.748711656442
68,Georges,1998,105,964,2,2310.0,4230,"FL,MS",1998-09-25,1,m,3355.31042944785
69,Bret,1999,115,951,1,60.0,100,TX,1999-08-22,0,m,85.26770708283308
70,Floyd,1999,105,956,1,4500.0,9200,NC,1999-09-16,56,m,6395.07803121249
71,Irene,1999,80,987,1,800.0,1610,FL,1999-10-15,8,f,1136.90276110444
72,Lili,2002,90,963,1,860.0,1380,LA,2002-10-03,2,f,1131.94129419613
73,Claudette,2003,90,979,1,180.0,280,TX,2003-07-15,3,f,231.663405088063
74,Isabel,2003,105,957,1,3370.0,5610,"NC,VA",2003-09-18,51,f,4337.25375081539
75,Alex,2004,80,972,1,4.0,6,NC,2004-08-03,1,m,5.013446267866599
76,Charley,2004,150,941,2,13600.0,24590,"FL,SC,NC",2004-08-13,10,m,17045.7173107464
77,Gaston,2004,75,985,1,130.0,200,SC,2004-08-29,8,m,162.937003705664
78,Frances,2004,105,960,1,9000.0,14820,FL,2004-09-05,7,f,11280.2541026998
79,Ivan,2004,120,946,1,14200.0,21340,"AL,FL",2004-09-16,25,m,17797.734250926398
80,Jeanne,2004,120,950,1,6900.0,12180,FL,2004-09-26,5,f,8648.19481206988
81,Cindy,2005,75,991,1,320.0,370,LA,2005-07-05,1,f,387.932411674347
82,Dennis,2005,120,946,1,2230.0,2930,"FL,AL",2005-07-10,15,m,2703.40399385561
