,id,father,mother,sex
0,2,0,0,F
1,88,0,0,F
2,8,0,0,F
3,10,0,0,F
4,20,0,0,F
5,22,0,0,F
6,24,0,0,F
7,26,0,0,F
8,18,0,0,F
9,34,0,0,F
10,12,0,0,F
11,50,0,0,F
12,56,0,0,F
13,64,0,0,F
14,66,0,0,F
15,68,0,0,F
16,70,0,0,F
17,72,0,0,F
18,1,0,0,M
19,4,0,0,M
20,6,0,0,M
21,99,0,0,M
22,28,0,0,M
23,30,0,0,M
24,36,0,0,M
25,38,0,0,M
26,40,0,0,M
27,42,0,0,M
28,44,0,0,M
29,46,0,0,M
30,52,0,0,M
31,54,0,0,M
32,48,0,0,M
33,78,0,0,M
34,60,0,0,M
35,62,0,0,M
36,80,0,0,M
37,82,0,0,M
38,3,1,2,F
39,5,4,3,F
40,7,4,3,M
41,9,4,3,M
42,11,6,5,M
43,13,6,5,M
44,15,6,5,F
45,14,99,88,F
46,16,99,88,M
47,17,7,8,M
48,19,9,10,M
49,21,19,20,M
50,23,21,22,M
51,25,23,24,M
52,27,25,26,F
53,29,28,27,F
54,31,30,29,F
55,33,17,18,M
56,35,33,34,F
57,37,36,35,F
58,39,38,37,F
59,41,40,39,F
60,43,42,41,F
61,45,44,43,F
62,47,46,45,F
63,49,11,12,M
64,51,49,50,F
65,53,52,51,F
66,55,54,53,M
67,57,55,56,M
68,73,57,58,M
69,74,32,31,F
70,75,73,74,M
71,76,48,47,F
72,77,75,76,F
73,79,78,77,F
74,59,13,14,F
75,61,60,59,F
76,63,62,61,M
77,65,63,64,M
78,32,65,66,M
79,67,16,15,M
80,69,67,68,M
81,71,69,70,M
82,58,71,72,F
83,81,80,79,F
84,83,82,81,M
