,L,u,v,col
0,9341.570221995458,-3.3706485626489304e-12,0.0,white
1,9100.96205296687,-474.917043556275,-635.3502491309021,aliceblue
2,8809.518191276271,1008.8647703553199,1668.00421378859,antiquewhite
3,8935.22548077347,1065.69835296267,1674.5947898963598,antiquewhite1
4,8452.498771345909,1014.9106295505001,1609.59231109556,antiquewhite2
5,7498.378200499399,902.9891968570801,1401.70259375764,antiquewhite3
6,5512.0447449413505,605.441299482188,1027.34610133223,antiquewhite4
7,8669.674404031479,-5536.85835049416,2237.02240600043,aquamarine
8,8669.674404031479,-5536.85835049416,2237.02240600043,aquamarine1
9,8202.14019538996,-5253.70616657385,2104.29499883996,aquamarine2
10,7277.3389534341295,-4653.237071830471,1911.17164760999,aquamarine3
11,5330.48846446956,-3408.6267179915503,1336.87823068905,aquamarine4
12,9249.917522182908,-811.8799457324719,-175.002151326323,azure
13,9249.917522182908,-811.8799457324719,-175.002151326323,azure1
14,8752.458823722041,-768.205569890833,-165.58806274056602,azure2
15,7766.123829544491,-678.339738511618,-146.217324610188,azure3
16,5688.546350482161,-488.604881945445,-105.319642317127,azure4
17,8997.16897825937,137.635802198569,1854.8767548726603,beige
18,8664.919092941229,1864.5552801807,2650.6931101770897,bisque
19,8664.919092941229,1864.5552801807,2650.6931101770897,bisque1
20,8203.20766712621,1751.69521540687,2514.8762180608,bisque2
21,7268.869122659241,1579.93939430125,2177.1262068722604,bisque3
22,5344.52315782513,1096.82388157779,1662.53995874465,bisque4
23,0.0,0.0,0.0,black
24,8826.37337352615,1389.26920098532,2429.12639114475,blanchedalmond
25,3875.51895244341,-1161.2577384644,-15649.9250273997,blue
26,3875.51895244341,-1161.2577384644,-15649.9250273997,blue1
27,3666.59469027529,-1098.65582136044,-14806.2576168006,blue2
28,3252.1980557954,-974.486308970367,-13132.8620429953,blue3
29,2379.30799494719,-712.93415287794,-9608.00145604759,blue4
30,4508.91904870321,1889.4254796301998,-12828.7889036631,blueviolet
31,4114.516390345871,11216.9280109423,2417.82857614042,brown
32,5826.682897565151,15979.782729226,3444.4702939652802,brown1
33,5506.726468911121,15177.116541755,3271.45418444974,brown2
34,4886.90482491677,13449.221237488899,2899.0033102747498,brown3
35,3581.5688071916297,9807.31882253841,2113.98483446817,brown4
36,7389.75444002345,2909.60771476388,3920.28817022242,burlywood
37,8250.50018877712,3275.72582730459,4367.5103906061895,burlywood1
38,7808.557982957909,3092.0373060414195,4116.00638205267,burlywood2
39,6935.02852779343,2720.23241519228,3661.6366694823705,burlywood3
40,5072.72652708368,2009.68037323691,2649.88650520833,burlywood4
41,6030.3908082311,-3095.8071805133695,-847.238915704821,cadetblue
42,8604.833489155179,-4224.287399482229,-1736.4335317009,cadetblue1
43,8150.38280711923,-4005.20203978166,-1616.51594954392,cadetblue2
44,7224.24339183805,-3554.6548228343604,-1456.2183219136903,cadetblue3
45,5302.82545718063,-2610.40815757839,-1027.8550351966,cadetblue4
46,8499.16918003874,-6054.4564449153295,10132.4288316883,chartreuse
47,8499.16918003874,-6054.4564449153295,10132.4288316883,chartreuse1
48,8040.47171922438,-5747.458462175749,9587.98800109155,chartreuse2
49,7134.981152793391,-5086.22002455204,8506.52124094552,chartreuse3
50,5224.56217782518,-3730.6558213657795,6229.63219123634,chartreuse4
51,5634.36573590671,9596.80506326177,4871.05410610704,chocolate
