,code,party
0,1,Federalist
1,9,Jefferson Republican
2,10,Anti-Federalist
3,11,Jefferson Democrat
4,13,Democrat-Republican
5,22,Adams
6,25,National Republican
7,26,Anti Masonic
8,29,Whig
9,34,Whig and Democrat
10,37,Constitutional Unionist
11,40,Anti-Democrat and States Rights
12,41,Anti-Jackson Democrat
13,43,Calhoun Nullifier
14,44,Nullifier
15,46,States Rights
16,48,States Rights Whig
17,100,Democrat
18,101,Jackson Democrat
19,103,Democrat and Anti-Mason
20,104,Van Buren Democrat
21,105,Conservative Democrat
22,108,Anti-Lecompton Democrat
23,110,Popular Sovereignty Democrat
24,112,Conservative
25,114,Readjuster
26,117,Readjuster Democrat 
27,118,Tariff for Revenue Democrat
28,119,United Democrat
29,200,Republican
30,202,Union Conservative
31,203,Unconditional Unionist
32,206,Unionist
33,208,Liberal Republican
34,212,United Republican
35,213,Progressive Republican
36,214,Non-Partisan and Republican
37,215,War Democrat
38,300,Free Soil
39,301,Free Soil Democrat
40,302,Free Soil Whig
41,304,Anti-Slavery
42,308,Free Soil American and Democrat
43,310,American
44,326,National Greenbacker
45,328,Independent
46,329,Ind. Democrat
47,331,Ind. Republican
48,333,Ind. Republican-Democrat
49,336,Anti-Monopolist
50,337,Anti-Monopoly Democrat
51,340,Populist
52,341,Peoples
53,347,Prohibitionist
54,353,Ind. Silver Republican
55,354,Silver Republican
56,355,Union
57,356,Union Labor
58,370,Progressive 
59,380,Socialist
60,401,Fusionist 
61,402,Liberal
62,403,Law and Order
63,522,American Labor
64,537,Farmer-Labor
65,555,Jackson
66,603,Ind. Whig
67,1060,Silver
68,1061,Emancipationist
69,1111,Liberty
70,1116,Conservative Republican
71,1275,Anti-Jackson
72,1346,Jackson Republican
73,3333,Opposition
74,4000,Anti-Administration
75,4444,Union
76,5000,Pro-Administration
77,6000,Crawford Federalist
78,6666,Crawford Republican
79,7000,Jackson Federalist
80,7777,Crawford Republican
81,8000,Adams-Clay Federalist
82,8888,Adams-Clay Republican
83,9000,Unknown
84,9999,Unknown
