,state,demVote,year,south
0,Alabama,84.76,1932,True
1,Arizona,67.03,1932,False
2,Arkansas,86.27,1932,True
3,California,58.41,1932,False
4,Colorado,54.81,1932,False
5,Connecticut,47.4,1932,False
6,Delaware,48.11,1932,False
7,Florida,74.49,1932,True
8,Georgia,91.6,1932,True
9,Idaho,58.7,1932,False
10,Illinois,55.23,1932,False
11,Indiana,54.67,1932,False
12,Iowa,57.69,1932,False
13,Kansas,53.56,1932,False
14,Kentucky,59.06,1932,False
15,Louisiana,92.79,1932,True
16,Maine,43.19,1932,False
17,Maryland,61.5,1932,False
18,Massachusetts,50.64,1932,False
19,Michigan,52.36,1932,False
20,Minnesota,59.91,1932,False
21,Mississippi,95.98,1932,True
22,Missouri,63.69,1932,False
23,Montana,58.8,1932,False
24,Nebraska,62.98,1932,False
25,Nevada,69.41,1932,False
26,New Hampshire,48.99,1932,False
27,New Jersey,49.48,1932,False
28,New Mexico,62.72,1932,False
29,New York,54.07,1932,False
30,North Carolina,69.93,1932,True
31,North Dakota,69.59,1932,False
32,Ohio,49.88,1932,False
33,Oklahoma,73.3,1932,False
34,Oregon,58.0,1932,False
35,Pennsylvania,45.33,1932,False
36,Rhode Island,55.08,1932,False
37,South Carolina,98.03,1932,True
38,South Dakota,63.62,1932,False
39,Tennessee,66.48,1932,True
40,Texas,88.19,1932,True
41,Utah,56.52,1932,False
42,Vermont,41.08,1932,False
43,Virginia,68.46,1932,True
44,Washington,57.46,1932,False
45,West Virginia,54.47,1932,False
46,Wisconsin,63.46,1932,False
47,Wyoming,56.07,1932,False
48,Alabama,86.38,1936,True
49,Arizona,69.85,1936,False
50,Arkansas,81.79,1936,True
51,California,66.95,1936,False
52,Colorado,60.37,1936,False
53,Connecticut,55.32,1936,False
54,Delaware,54.62,1936,False
55,Florida,76.08,1936,True
56,Georgia,87.1,1936,True
57,Idaho,62.96,1936,False
58,Illinois,57.7,1936,False
59,Indiana,56.63,1936,False
60,Iowa,54.41,1936,False
61,Kansas,53.67,1936,False
62,Kentucky,58.51,1936,False
63,Louisiana,88.82,1936,True
64,Maine,41.52,1936,False
65,Maryland,62.35,1936,False
66,Massachusetts,51.22,1936,False
67,Michigan,56.33,1936,False
68,Minnesota,61.84,1936,False
69,Mississippi,97.03,1936,True
70,Missouri,60.76,1936,False
71,Montana,69.28,1936,False
72,Nebraska,57.14,1936,False
73,Nevada,72.81,1936,False
74,New Hampshire,49.73,1936,False
75,New Jersey,59.54,1936,False
76,New Mexico,62.69,1936,False
77,New York,58.85,1936,False
78,North Carolina,73.4,1936,True
79,North Dakota,59.6,1936,False
80,Ohio,57.99,1936,False
81,Oklahoma,66.83,1936,False
82,Oregon,64.41,1936,False
83,Pennsylvania,56.88,1936,False
84,Rhode Island,52.96,1936,False
85,South Carolina,98.57,1936,True
86,South Dakota,54.02,1936,False
87,Tennessee,68.77,1936,True
88,Texas,87.08,1936,True
89,Utah,69.34,1936,False
90,Vermont,43.24,1936,False
91,Virginia,70.23,1936,True
92,Washington,66.38,1936,False
93,West Virginia,60.56,1936,False
94,Wisconsin,63.8,1936,False
95,Wyoming,60.58,1936,False
96,Alabama,85.22,1940,True
97,Arizona,63.49,1940,False
98,Arkansas,78.44,1940,True
99,California,57.44,1940,False
100,Colorado,48.37,1940,False
101,Connecticut,53.44,1940,False
102,Delaware,54.7,1940,False
103,Florida,73.99,1940,True
104,Georgia,84.81,1940,True
105,Idaho,54.36,1940,False
106,Illinois,50.97,1940,False
107,Indiana,49.03,1940,False
108,Iowa,47.62,1940,False
109,Kansas,42.4,1940,False
110,Kentucky,57.45,1940,False
111,Louisiana,85.88,1940,True
112,Maine,48.77,1940,False
113,Maryland,58.26,1940,False
114,Massachusetts,53.11,1940,False
115,Michigan,49.52,1940,False
116,Minnesota,51.49,1940,False
117,Mississippi,95.7,1940,True
118,Missouri,52.27,1940,False
119,Montana,58.78,1940,False
120,Nebraska,42.81,1940,False
121,Nevada,60.08,1940,False
122,New Hampshire,53.22,1940,False
123,New Jersey,51.55,1940,False
124,New Mexico,56.59,1940,False
125,New York,51.6,1940,False
126,North Carolina,74.03,1940,True
127,North Dakota,44.18,1940,False
128,Ohio,52.2,1940,False
129,Oklahoma,57.41,1940,False
130,Oregon,53.7,1940,False
131,Pennsylvania,53.23,1940,False
132,Rhode Island,56.73,1940,False
