,year,Time,Distance,race
0,1912,0.17666666666666697,0.1,100m
1,1921,0.17333333333333303,0.1,100m
2,1930,0.17166666666666697,0.1,100m
3,1936,0.17,0.1,100m
4,1956,0.16833333333333303,0.1,100m
5,1960,0.166666666666667,0.1,100m
6,1968,0.165833333333333,0.1,100m
7,1983,0.1655,0.1,100m
8,1988,0.165333333333333,0.1,100m
9,1991,0.165,0.1,100m
10,1991,0.164333333333333,0.1,100m
11,1994,0.164166666666667,0.1,100m
12,1996,0.16399999999999998,0.1,100m
13,1999,0.163166666666667,0.1,100m
14,2005,0.162833333333333,0.1,100m
15,2007,0.162333333333333,0.1,100m
16,2008,0.162,0.1,100m
17,2008,0.1615,0.1,100m
18,1914,0.3533333333333329,0.2,200m
19,1951,0.343333333333333,0.2,200m
20,1960,0.341666666666667,0.2,200m
21,1963,0.338333333333333,0.2,200m
22,1964,0.336666666666667,0.2,200m
23,1968,0.33333333333333304,0.2,200m
24,1968,0.33,0.2,200m
25,1979,0.328666666666667,0.2,200m
26,1996,0.327666666666667,0.2,200m
27,1996,0.322,0.2,200m
28,2008,0.321666666666667,0.2,200m
29,1999,0.719666666666667,0.4,400m
30,1988,0.7215,0.4,400m
31,1968,0.731,0.4,400m
32,1968,0.735,0.4,400m
33,1967,0.741666666666667,0.4,400m
34,1964,0.748333333333333,0.4,400m
35,1956,0.753333333333333,0.4,400m
36,1955,0.756666666666667,0.4,400m
37,1950,0.763333333333333,0.4,400m
38,1948,0.766666666666667,0.4,400m
39,1947,0.77,0.4,400m
40,1941,0.766666666666667,0.4,400m
41,1936,0.768333333333333,0.4,400m
42,1932,0.77,0.4,400m
43,1932,0.773333333333333,0.4,400m
44,1928,0.783333333333333,0.4,400m
45,1916,0.79,0.4,400m
46,1900,0.796666666666667,0.4,400m
47,1997,1.6851666666666698,0.8,800m
48,1997,1.6873333333333302,0.8,800m
49,1997,1.6955,0.8,800m
50,1979,1.7055,0.8,800m
51,1977,1.724,0.8,800m
52,1976,1.725,0.8,800m
53,1974,1.735,0.8,800m
54,1973,1.7283333333333302,0.8,800m
55,1973,1.74333333333333,0.8,800m
56,1972,1.7383333333333302,0.8,800m
57,1955,1.7616666666666698,0.8,800m
58,1939,1.77666666666667,0.8,800m
59,1938,1.8066666666666698,0.8,800m
60,1937,1.8266666666666698,0.8,800m
61,1936,1.8283333333333303,0.8,800m
62,1934,1.83,0.8,800m
63,1928,1.8433333333333302,0.8,800m
64,1926,1.86,0.8,800m
65,1912,1.865,0.8,800m
66,1912,3.94666666666667,1.5,1500m
67,1912,3.93,1.5,1500m
68,1917,3.9116666666666697,1.5,1500m
69,1923,3.88333333333333,1.5,1500m
70,1924,3.87666666666667,1.5,1500m
71,1926,3.85,1.5,1500m
72,1930,3.82,1.5,1500m
73,1933,3.81666666666667,1.5,1500m
74,1934,3.8133333333333304,1.5,1500m
75,1936,3.79666666666667,1.5,1500m
76,1941,3.7916666666666696,1.5,1500m
77,1942,3.76333333333333,1.5,1500m
78,1943,3.74833333333333,1.5,1500m
79,1944,3.71666666666667,1.5,1500m
80,1954,3.7133333333333303,1.5,1500m
81,1954,3.69666666666667,1.5,1500m
82,1955,3.68,1.5,1500m
83,1956,3.67666666666667,1.5,1500m
84,1957,3.67,1.5,1500m
85,1957,3.635,1.5,1500m
86,1958,3.6,1.5,1500m
87,1960,3.59333333333333,1.5,1500m
88,1967,3.55166666666667,1.5,1500m
89,1974,3.536,1.5,1500m
90,1979,3.5338333333333303,1.5,1500m
91,1980,3.53483333333333,1.5,1500m
92,1980,3.52266666666667,1.5,1500m
93,1983,3.5206666666666697,1.5,1500m
94,1983,3.5128333333333304,1.5,1500m
95,1985,3.4945,1.5,1500m
96,1985,3.491,1.5,1500m
97,1992,3.4810000000000003,1.5,1500m
98,1995,3.45616666666667,1.5,1500m
99,1998,3.43333333333333,1.5,1500m
100,1913,4.24,1.6093,Mile
101,1915,4.21,1.6093,Mile
102,1923,4.17333333333333,1.6093,Mile
103,1931,4.15333333333333,1.6093,Mile
104,1933,4.12666666666667,1.6093,Mile
105,1934,4.11166666666667,1.6093,Mile
106,1937,4.10666666666667,1.6093,Mile
107,1942,4.10166666666667,1.6093,Mile
108,1942,4.10333333333333,1.6093,Mile
109,1942,4.07666666666667,1.6093,Mile
110,1943,4.04333333333333,1.6093,Mile
111,1944,4.02666666666667,1.6093,Mile
112,1945,4.02166666666667,1.6093,Mile
113,1954,3.99,1.6093,Mile
114,1954,3.965,1.6093,Mile
115,1957,3.95333333333333,1.6093,Mile
116,1958,3.90833333333333,1.6093,Mile
117,1962,3.90666666666667,1.6093,Mile
118,1964,3.9005,1.6093,Mile
119,1965,3.89333333333333,1.6093,Mile
120,1966,3.855,1.6093,Mile
121,1967,3.8516666666666697,1.6093,Mile
122,1975,3.85,1.6093,Mile
123,1975,3.82333333333333,1.6093,Mile
124,1979,3.8158333333333303,1.6093,Mile
125,1980,3.8133333333333304,1.6093,Mile
126,1981,3.80883333333333,1.6093,Mile
127,1981,3.8066666666666698,1.6093,Mile
128,1981,3.78883333333333,1.6093,Mile
129,1985,3.772,1.6093,Mile
130,1993,3.7398333333333302,1.6093,Mile
131,1999,3.7188333333333303,1.6093,Mile
132,1912,8.776666666666669,3.0,3000m
133,1912,8.61333333333333,3.0,3000m
134,1917,8.595,3.0,3000m
135,1918,8.58,3.0,3000m
136,1918,8.55166666666667,3.0,3000m
137,1922,8.47666666666667,3.0,3000m
138,1923,8.46333333333333,3.0,3000m
139,1925,8.45833333333333,3.0,3000m
140,1926,8.42333333333333,3.0,3000m
141,1926,8.34,3.0,3000m
142,1932,8.31333333333333,3.0,3000m
143,1934,8.30666666666667,3.0,3000m
144,1936,8.24666666666667,3.0,3000m
145,1940,8.15,3.0,3000m
146,1942,8.02,3.0,3000m
147,1949,7.97833333333333,3.0,3000m
148,1955,7.926666666666669,3.0,3000m
149,1956,7.925,3.0,3000m
150,1956,7.88,3.0,3000m
151,1962,7.82,3.0,3000m
152,1965,7.81666666666667,3.0,3000m
153,1965,7.76666666666667,3.0,3000m
154,1965,7.66,3.0,3000m
155,1972,7.62666666666667,3.0,3000m
156,1974,7.58666666666667,3.0,3000m
157,1978,7.535,3.0,3000m
158,1989,7.49083333333333,3.0,3000m
159,1992,7.4826666666666695,3.0,3000m
160,1994,7.4185,3.0,3000m
161,1996,7.3445,3.0,3000m
162,1912,31.3468333333333,10.0,10000m
163,1921,30.67,10.0,10000m
164,1924,30.59,10.0,10000m
165,1924,30.3866666666667,10.0,10000m
166,1924,30.103333333333303,10.0,10000m
167,1937,30.0933333333333,10.0,10000m
168,1938,30.033333333333303,10.0,10000m
169,1939,29.876666666666697,10.0,10000m
170,1944,29.59,10.0,10000m
171,1949,29.47,10.0,10000m
172,1949,29.4533333333333,10.0,10000m
173,1949,29.353333333333303,10.0,10000m
174,1950,29.0433333333333,10.0,10000m
175,1953,29.0266666666667,10.0,10000m
176,1954,28.9033333333333,10.0,10000m
177,1956,28.713333333333303,10.0,10000m
178,1956,28.5066666666667,10.0,10000m
179,1960,28.3133333333333,10.0,10000m
180,1962,28.303333333333303,10.0,10000m
181,1963,28.26,10.0,10000m
182,1965,28.233333333333302,10.0,10000m
183,1965,27.6566666666667,10.0,10000m
184,1972,27.6391666666667,10.0,10000m
185,1973,27.5133333333333,10.0,10000m
186,1977,27.5083333333333,10.0,10000m
187,1978,27.373333333333303,10.0,10000m
188,1984,27.230166666666697,10.0,10000m
189,1989,27.137166666666698,10.0,10000m
190,1993,27.1318333333333,10.0,10000m
191,1993,26.973000000000003,10.0,10000m
192,1994,26.8705,10.0,10000m
193,1995,26.7255,10.0,10000m
194,1996,26.6346666666667,10.0,10000m
195,1997,26.522,10.0,10000m
196,1997,26.4641666666667,10.0,10000m
197,1998,26.3791666666667,10.0,10000m
198,2004,26.3385,10.0,10000m
199,2005,26.2921666666667,10.0,10000m
200,1925,149.03,42.195,Marathon
201,1935,147.816666666667,42.195,Marathon
202,1935,146.733333333333,42.195,Marathon
203,1935,146.7,42.195,Marathon
204,1947,145.65,42.195,Marathon
205,1952,140.703333333333,42.195,Marathon
206,1953,138.67,42.195,Marathon
