,litter,rx,time,status,sex
0,1,1,101,0,f
1,1,0,49,1,f
2,1,0,104,0,f
3,2,1,91,0,m
4,2,0,104,0,m
5,2,0,102,0,m
6,3,1,104,0,f
7,3,0,102,0,f
8,3,0,104,0,f
9,4,1,91,0,m
10,4,0,104,0,m
11,4,0,102,0,m
12,5,1,104,0,f
13,5,0,104,0,f
14,5,0,104,0,f
15,6,1,98,0,m
16,6,0,62,0,m
17,6,0,77,0,m
18,7,1,77,0,f
19,7,0,97,0,f
20,7,0,79,0,f
21,8,1,91,0,m
22,8,0,98,0,m
23,8,0,76,0,m
24,9,1,89,0,f
25,9,0,104,0,f
26,9,0,104,0,f
27,10,1,104,0,m
28,10,0,104,0,m
29,10,0,98,0,m
30,11,1,88,1,f
31,11,0,96,1,f
32,11,0,104,0,f
33,12,1,96,0,m
34,12,0,71,0,m
35,12,0,91,0,m
36,13,1,104,1,f
37,13,0,94,0,f
38,13,0,77,1,f
39,14,1,79,0,m
40,14,0,104,0,m
41,14,0,99,0,m
42,15,1,96,1,f
43,15,0,104,0,f
44,15,0,104,0,f
45,16,1,61,0,m
46,16,0,88,0,m
47,16,0,85,0,m
48,17,1,82,0,f
49,17,0,77,0,f
50,17,0,104,0,f
51,18,1,63,0,m
52,18,0,104,0,m
53,18,0,102,0,m
54,19,1,70,1,f
55,19,0,104,0,f
56,19,0,77,0,f
57,20,1,104,0,m
58,20,0,104,0,m
59,20,0,102,0,m
60,21,1,89,1,f
61,21,0,91,0,f
62,21,0,90,0,f
63,22,1,104,0,m
64,22,0,80,0,m
65,22,0,92,0,m
66,23,1,91,0,f
67,23,0,70,0,f
68,23,0,92,0,f
69,24,1,104,0,m
70,24,0,104,0,m
71,24,0,101,0,m
72,25,1,39,1,f
73,25,0,45,0,f
74,25,0,50,1,f
75,26,1,104,0,m
76,26,0,53,0,m
77,26,0,102,0,m
78,27,1,103,1,f
79,27,0,69,0,f
80,27,0,91,0,f
81,28,1,65,0,m
82,28,0,104,0,m
83,28,0,91,0,m
84,29,1,93,0,f
85,29,0,104,0,f
86,29,0,103,0,f
87,30,1,86,0,m
88,30,0,104,0,m
89,30,0,75,0,m
90,31,1,85,0,f
91,31,0,72,0,f
92,31,0,104,0,f
93,32,1,104,0,m
94,32,0,100,0,m
95,32,0,102,0,m
96,33,1,104,0,f
97,33,0,63,0,f
98,33,0,104,0,f
99,34,1,95,0,m
100,34,0,104,0,m
101,34,0,95,0,m
102,35,1,104,0,f
103,35,0,104,0,f
104,35,0,74,0,f
105,36,1,104,0,m
106,36,0,104,0,m
107,36,0,102,0,m
108,37,1,81,0,f
109,37,0,104,0,f
110,37,0,69,0,f
111,38,1,104,0,m
112,38,0,93,0,m
113,38,0,80,0,m
114,39,1,67,1,f
115,39,0,104,0,f
116,39,0,68,1,f
117,40,1,92,0,m
118,40,0,98,0,m
119,40,0,83,0,m
120,41,1,104,0,f
121,41,0,104,0,f
122,41,0,104,0,f
123,42,1,104,0,m
124,42,0,89,0,m
125,42,0,89,0,m
126,43,1,104,0,f
127,43,0,104,0,f
128,43,0,104,0,f
129,44,1,63,0,m
130,44,0,32,0,m
131,44,0,51,0,m
132,45,1,104,0,f
133,45,0,83,0,f
134,45,0,40,1,f
135,46,1,104,0,m
136,46,0,98,0,m
137,46,0,78,0,m
138,47,1,87,0,f
139,47,0,104,0,f
140,47,0,104,0,f
141,48,1,104,0,m
142,48,0,104,0,m
143,48,0,102,0,m
144,49,1,104,0,f
145,49,0,104,0,f
146,49,0,104,0,f
147,50,1,87,0,m
148,50,0,104,0,m
149,50,0,94,0,m
150,51,1,89,0,f
151,51,0,104,0,f
152,51,0,104,0,f
153,52,1,104,0,m
154,52,0,104,0,m
155,52,0,102,0,m
156,53,1,78,0,f
157,53,0,104,0,f
158,53,0,104,0,f
159,54,1,104,0,m
160,54,0,91,0,m
161,54,0,102,0,m
162,55,1,104,0,f
163,55,0,81,1,f
164,55,0,64,1,f
165,56,1,90,0,m
166,56,0,104,0,m
167,56,0,55,0,m
168,57,1,86,1,f
169,57,0,55,1,f
170,57,0,94,0,f
171,58,1,91,0,m
172,58,0,104,0,m
173,58,0,102,0,m
174,59,1,34,1,f
175,59,0,104,0,f
176,59,0,54,1,f
177,60,1,104,0,m
178,60,0,104,0,m
179,60,0,102,0,m
180,61,1,76,0,f
181,61,0,87,0,f
182,61,0,74,0,f
183,62,1,23,0,m
184,62,0,104,0,m
185,62,0,102,0,m
186,63,1,103,1,f
187,63,0,73,1,f
188,63,0,84,1,f
189,64,1,104,0,m
190,64,0,71,1,m
191,64,0,90,0,m
192,65,1,102,1,f
193,65,0,104,0,f
194,65,0,80,0,f
195,66,1,87,0,m
196,66,0,51,0,m
197,66,0,102,0,m
198,67,1,80,1,f
199,67,0,104,0,f
200,67,0,73,0,f
201,68,1,104,0,m
202,68,0,83,0,m
203,68,0,102,0,m
204,69,1,45,1,f
205,69,0,79,0,f
206,69,0,104,0,f
207,70,1,104,0,m
208,70,0,104,0,m
209,70,0,96,0,m
210,71,1,94,1,f
211,71,0,104,0,f
212,71,0,104,0,f
213,72,1,67,0,m
214,72,0,84,0,m
215,72,0,94,0,m
216,73,1,104,0,f
217,73,0,104,0,f
218,73,0,104,0,f
219,74,1,104,0,m
220,74,0,104,0,m
221,74,0,99,0,m
222,75,1,104,0,f
223,75,0,101,1,f
224,75,0,94,0,f
225,76,1,104,0,m
226,76,0,94,0,m
227,76,0,102,0,m
228,77,1,76,0,f
229,77,0,84,1,f
230,77,0,78,1,f
231,78,1,104,0,m
232,78,0,103,0,m
233,78,0,102,0,m
234,79,1,80,1,f
235,79,0,81,1,f
236,79,0,76,0,f
