,latitude,month,tst,sza
0,20,jan,400,
1,20,jan,430,
2,20,jan,500,
3,20,jan,530,
4,20,jan,600,
5,20,jan,630,
6,20,jan,700,84.9
7,20,jan,730,78.7
8,20,jan,800,72.7
9,20,jan,830,66.1
10,20,jan,900,61.5
11,20,jan,930,56.5
12,20,jan,1000,52.1
13,20,jan,1030,48.3
14,20,jan,1100,45.5
15,20,jan,1130,43.6
16,20,jan,1200,43.0
17,20,feb,400,
18,20,feb,430,
19,20,feb,500,
20,20,feb,530,
21,20,feb,600,
22,20,feb,630,88.9
23,20,feb,700,82.5
24,20,feb,730,75.8
25,20,feb,800,69.6
26,20,feb,830,63.3
27,20,feb,900,57.7
28,20,feb,930,52.2
29,20,feb,1000,47.4
30,20,feb,1030,43.1
31,20,feb,1100,40.0
32,20,feb,1130,37.8
33,20,feb,1200,37.2
34,20,mar,400,
35,20,mar,430,
36,20,mar,500,
37,20,mar,530,
38,20,mar,600,
39,20,mar,630,85.7
40,20,mar,700,78.8
41,20,mar,730,72.0
42,20,mar,800,65.2
43,20,mar,830,58.6
44,20,mar,900,52.3
45,20,mar,930,46.2
46,20,mar,1000,40.5
47,20,mar,1030,35.5
48,20,mar,1100,31.4
49,20,mar,1130,28.6
50,20,mar,1200,27.7
51,20,apr,400,
52,20,apr,430,
53,20,apr,500,
54,20,apr,530,
55,20,apr,600,88.5
56,20,apr,630,81.5
57,20,apr,700,74.4
58,20,apr,730,67.4
59,20,apr,800,60.3
60,20,apr,830,53.4
61,20,apr,900,46.5
62,20,apr,930,39.7
63,20,apr,1000,33.2
64,20,apr,1030,26.9
65,20,apr,1100,21.3
66,20,apr,1130,17.2
67,20,apr,1200,15.5
68,20,may,400,
69,20,may,430,
70,20,may,500,
71,20,may,530,
72,20,may,600,85.0
73,20,may,630,78.2
74,20,may,700,71.2
75,20,may,730,64.3
76,20,may,800,57.2
77,20,may,830,50.2
78,20,may,900,43.2
79,20,may,930,36.1
80,20,may,1000,29.1
