,year,methodology,method,incidents,incidents.us,suicide,suicide.us,nkill,nkill.us,nwound,nwound.us,pNA.nkill,pNA.nkill.us,pNA.nwound,pNA.nwound.us,worldPopulation,USpopulation,worldDeathRate,USdeathRate,worldDeaths,USdeaths,kill.pmp,kill.pmp.us,pkill,pkill.us
0,1970,PGIS,p,651,468.0,0.0,0.0,171,28,192,132,0.06451599999999999,0.379416,0.079877,0.380952,3682487.691,209485.807,11.966,9.5,44064647.710506,1921030.86,0.0464360004292544,0.133660606419985,3.88066191118623e-06,1.4575507652178e-05
1,1971,PGIS,p,470,247.0,0.0,0.0,173,15,82,48,0.13617,0.682979,0.30851100000000004,0.682979,3757734.668,211357.91199999998,11.731,9.3,44081985.390308,1927542.0,0.0460383755865543,0.0709696640076573,3.9245056334970905e-06,7.78193159993401e-06
2,1972,PGIS,p,494,64.0,0.0,0.0,566,12,222,23,0.09311699999999999,0.880567,0.6680159999999999,0.88664,3833594.894,213219.515,11.635,9.4,44603876.591690004,1963943.93,0.147642099817551,0.0562800267133147,1.26894800015084e-05,6.11015407145559e-06
3,1973,PGIS,p,473,58.0,0.0,0.0,370,73,495,87,0.103594,0.9112049999999999,0.48414399999999996,0.9112049999999999,3909722.12,215092.9,11.392000000000001,9.3,44539554.391040005,1973003.08,0.0946358816927889,0.33938823643179306,8.307222760954089e-06,3.69994353987526e-05
4,1974,PGIS,p,580,94.0,0.0,0.0,542,17,754,63,0.1,0.8413790000000001,0.394828,0.8568969999999999,3985733.775,217001.865,11.285,9.1,44979005.650875,1934387.96,0.13598499814504,0.0783403405311747,1.20500662955286e-05,8.78830945577225e-06
5,1975,PGIS,p,740,149.0,0.0,0.0,617,22,617,18,0.20675700000000002,0.9054049999999999,0.459459,0.9148649999999999,4061399.228,218963.56100000002,11.140999999999998,8.8,45248048.799148,1892879.0,0.151918086689507,0.10047333857527099,1.36359471043449e-05,1.16225073023685e-05
6,1976,PGIS,p,923,105.0,0.0,0.0,672,6,755,31,0.118093,0.9501629999999999,0.328277,0.953413,4136542.07,220993.16600000003,10.984000000000002,8.8,45435778.09688,1909439.97,0.162454530530134,0.0271501608334803,1.47901065668367e-05,3.14228260341696e-06
7,1977,PGIS,p,1319,130.0,0.0,0.0,456,7,518,5,0.09856000000000001,0.898408,0.163002,0.900682,4211322.427,223090.871,10.719000000000001,8.6,45141165.095013,1899596.87,0.108279526895507,0.0313773484707046,1.01016444533545e-05,3.68499238472634e-06
8,1978,PGIS,p,1526,87.0,0.0,0.0,1459,11,1600,28,0.100262,0.95675,0.12778499999999998,0.956094,4286282.447,225239.456,10.467,8.7,44864518.372749,1927787.92,0.340388207739591,0.0488369142571539,3.25201306715956e-05,5.7060218532752294e-06
9,1979,PGIS,p,2661,69.0,0.0,0.0,2100,16,2502,34,0.152198,0.984216,0.173619,0.9834649999999999,4362189.531,227411.604,10.304,8.5,44948000.927424,1913840.99,0.48140961897146,0.070357007815661,4.67206540150873e-05,8.36015117431464e-06
10,1980,PGIS,p,2663,67.0,0.0,0.0,4428,18,3668,11,0.16935799999999998,0.9857299999999999,0.19226400000000002,0.986857,4439632.465,229588.208,10.265999999999998,8.8,45577266.88569,1989841.0,0.997379858559981,0.0784012391437804,9.715369750243341e-05,9.045948897424471e-06
11,1981,PGIS,p,2585,73.0,1.0,0.0,4851,10,3337,14,0.254932,0.970986,0.271954,0.972534,4518602.041999999,231765.783,10.107999999999999,8.6,45674029.440536,1977980.98,1.07356212273406,0.0431470075977523,0.000106209153416508,5.05566034310401e-06
12,1982,PGIS,p,2545,78.0,1.0,0.0,5135,11,3341,7,0.315914,0.9540280000000001,0.34499,0.955206,4599003.374,233953.87399999998,10.024,8.5,46100409.820976004,1974796.89,1.1165462563106998,0.0470178151441938,0.00011138729612038201,5.570193094642759e-06
13,1983,PGIS,p,2870,44.0,5.0,0.0,9443,276,4040,81,0.31324,0.9620209999999999,0.362718,0.9634149999999999,4681210.508,236161.961,10.021,8.6,46910410.500668,2019200.96,2.0172132793136104,1.1686894825538798,0.00020129860086953502,0.000136687732161142
14,1984,PGIS,p,3494,63.0,2.0,0.0,10449,9,5291,798,0.198054,0.9753860000000001,0.20606799999999997,0.975959,4765657.562,238404.223,9.894,8.7,47151415.918428004,2039368.92,2.19256206810102,0.0377510091337602,0.000221605222165052,4.41312992060309e-06
15,1985,PGIS,p,2915,40.0,16.0,0.0,7094,58,5130,41,0.150943,0.967067,0.166724,0.968096,4852540.569,240691.557,9.785,8.7,47482109.467665,2086439.95,1.4619146195952202,0.240972307973395,0.000149403640224345,2.7798547473173103e-05
16,1986,PGIS,p,2860,49.0,3.0,0.0,5003,11,5787,99,0.132168,0.915385,0.151399,0.916434,4942056.118,243032.017,9.645,8.7,47666131.258109994,2105360.94,1.0123316855464302,0.0452615261799025,0.00010495922089646801,5.22475732830875e-06
17,1987,PGIS,p,3184,34.0,3.0,0.0,6478,7,5784,42,0.029523,0.959485,0.045226,0.958857,5033804.944,245425.40899999999,9.51,8.6,47871485.017440006,2123323.02,1.28689928832491,0.0285219041847456,0.00013532064020240902,3.29671930933994e-06
18,1988,PGIS,p,3721,27.0,2.0,0.0,7192,201,6860,22,0.0086,0.9365760000000001,0.013169,0.9365760000000001,5126632.694,247865.202,9.407,8.9,48226233.752458,2167998.82,1.4028701545982099,0.810924641208813,0.00014913045121698798,9.27122275832235e-05
19,1989,PGIS,p,4322,42.0,2.0,0.0,8121,19,5498,29,0.007867,0.9268860000000001,0.007867,0.9266540000000001,5218978.018999999,250340.795,9.279,8.8,48426897.038301,2150466.03,1.556051773055,0.0758965393554814,0.000167696063482595,8.83529418039679e-06
20,1990,PGIS,p,3887,32.0,2.0,0.0,7148,18,6128,46,0.001544,0.9526629999999999,0.005145,0.9539489999999999,5309667.699,252847.81,9.232000000000001,8.6,49018852.197168,2148462.89,1.34622360667622,0.0711890682383209,0.000145821447863542,8.37808280691318e-06
