,,,BackwardDifferenceEncoder
codling,ElasticNet,RMSE,0.886 ±0.215
codling,ElasticNet,MAE,0.501 ±0.085
codling,ElasticNet,R2,0.238 ±0.089
codling,KNeighborsRegressor,RMSE,0.561 ±0.151
codling,KNeighborsRegressor,MAE,0.220 ±0.050
codling,KNeighborsRegressor,R2,0.694 ±0.057
codling,SVR,RMSE,0.531 ±0.245
codling,SVR,MAE,0.141 ±0.025
codling,SVR,R2,0.738 ±0.129
codling,RandomForestRegressor,RMSE,0.460 ±0.153
codling,RandomForestRegressor,MAE,0.133 ±0.030
codling,RandomForestRegressor,R2,0.791 ±0.086
codling,GradientBoostingRegressor,RMSE,0.482 ±0.156
codling,GradientBoostingRegressor,MAE,0.102 ±0.021
codling,GradientBoostingRegressor,R2,0.762 ±0.113
codling,MLPRegressor,RMSE,0.299 ±0.094
codling,MLPRegressor,MAE,0.127 ±0.031
codling,MLPRegressor,R2,0.905 ±0.046
codling,MLPRegressor2,RMSE,0.260 ±0.077
codling,MLPRegressor2,MAE,0.101 ±0.020
codling,MLPRegressor2,R2,0.928 ±0.038
nassCDS,ElasticNet,RMSE,1.000 ±0.005
nassCDS,ElasticNet,MAE,0.993 ±0.006
nassCDS,ElasticNet,R2,-0.000 ±0.000
nassCDS,KNeighborsRegressor,RMSE,0.898 ±0.004
nassCDS,KNeighborsRegressor,MAE,0.619 ±0.002
nassCDS,KNeighborsRegressor,R2,0.193 ±0.007
nassCDS,SVR,RMSE,0.809 ±0.004
nassCDS,SVR,MAE,0.524 ±0.005
nassCDS,SVR,R2,0.345 ±0.007
nassCDS,RandomForestRegressor,RMSE,0.807 ±0.003
nassCDS,RandomForestRegressor,MAE,0.559 ±0.006
nassCDS,RandomForestRegressor,R2,0.349 ±0.006
nassCDS,GradientBoostingRegressor,RMSE,0.781 ±0.003
nassCDS,GradientBoostingRegressor,MAE,0.574 ±0.006
nassCDS,GradientBoostingRegressor,R2,0.390 ±0.005
nassCDS,MLPRegressor,RMSE,0.793 ±0.005
nassCDS,MLPRegressor,MAE,0.568 ±0.008
nassCDS,MLPRegressor,R2,0.371 ±0.008
nassCDS,MLPRegressor2,RMSE,0.860 ±0.009
nassCDS,MLPRegressor2,MAE,0.590 ±0.011
nassCDS,MLPRegressor2,R2,0.261 ±0.015
races2000,ElasticNet,RMSE,1.184 ±1.130
races2000,ElasticNet,MAE,0.283 ±0.085
races2000,ElasticNet,R2,0.388 ±0.260
races2000,KNeighborsRegressor,RMSE,1.280 ±1.291
races2000,KNeighborsRegressor,MAE,0.082 ±0.048
races2000,KNeighborsRegressor,R2,0.475 ±0.215
races2000,SVR,RMSE,1.370 ±1.437
races2000,SVR,MAE,0.071 ±0.033
races2000,SVR,R2,0.462 ±0.324
races2000,RandomForestRegressor,RMSE,1.137 ±1.245
races2000,RandomForestRegressor,MAE,0.048 ±0.033
races2000,RandomForestRegressor,R2,0.609 ±0.209
races2000,GradientBoostingRegressor,RMSE,1.087 ±1.212
races2000,GradientBoostingRegressor,MAE,0.052 ±0.034
races2000,GradientBoostingRegressor,R2,0.611 ±0.216
races2000,MLPRegressor,RMSE,0.538 ±0.722
races2000,MLPRegressor,MAE,0.057 ±0.037
races2000,MLPRegressor,R2,0.899 ±0.088
races2000,MLPRegressor2,RMSE,0.435 ±0.627
races2000,MLPRegressor2,MAE,0.059 ±0.046
races2000,MLPRegressor2,R2,0.934 ±0.063
terrorism,ElasticNet,RMSE,5.446 ±5.351
terrorism,ElasticNet,MAE,0.378 ±0.194
terrorism,ElasticNet,R2,-4.239 ±5.675
terrorism,KNeighborsRegressor,RMSE,5.408 ±5.415
terrorism,KNeighborsRegressor,MAE,0.325 ±0.286
terrorism,KNeighborsRegressor,R2,-1.226 ±2.220
terrorism,SVR,RMSE,5.400 ±5.408
terrorism,SVR,MAE,0.203 ±0.149
terrorism,SVR,R2,-1.180 ±1.580
terrorism,RandomForestRegressor,RMSE,5.469 ±5.380
terrorism,RandomForestRegressor,MAE,0.295 ±0.276
terrorism,RandomForestRegressor,R2,-7.477 ±19.910
terrorism,GradientBoostingRegressor,RMSE,5.537 ±5.349
terrorism,GradientBoostingRegressor,MAE,0.287 ±0.299
terrorism,GradientBoostingRegressor,R2,-17.461 ±46.020
terrorism,MLPRegressor,RMSE,5.720 ±5.339
terrorism,MLPRegressor,MAE,0.381 ±0.276
terrorism,MLPRegressor,R2,-19.770 ±25.923
terrorism,MLPRegressor2,RMSE,5.723 ±5.357
terrorism,MLPRegressor2,MAE,0.427 ±0.334
terrorism,MLPRegressor2,R2,-17.984 ±26.688
midwest,ElasticNet,RMSE,0.742 ±0.090
midwest,ElasticNet,MAE,0.451 ±0.050
midwest,ElasticNet,R2,0.455 ±0.029
midwest,KNeighborsRegressor,RMSE,0.601 ±0.077
midwest,KNeighborsRegressor,MAE,0.328 ±0.040
midwest,KNeighborsRegressor,R2,0.640 ±0.050
midwest,SVR,RMSE,0.510 ±0.086
midwest,SVR,MAE,0.302 ±0.034
midwest,SVR,R2,0.742 ±0.044
