,,,BaseNEncoder
codling,ElasticNet,RMSE,0.886 ±0.215
codling,ElasticNet,MAE,0.501 ±0.085
codling,ElasticNet,R2,0.238 ±0.089
codling,KNeighborsRegressor,RMSE,0.559 ±0.156
codling,KNeighborsRegressor,MAE,0.219 ±0.044
codling,KNeighborsRegressor,R2,0.699 ±0.053
codling,SVR,RMSE,0.537 ±0.248
codling,SVR,MAE,0.140 ±0.026
codling,SVR,R2,0.733 ±0.131
codling,RandomForestRegressor,RMSE,0.464 ±0.152
codling,RandomForestRegressor,MAE,0.133 ±0.032
codling,RandomForestRegressor,R2,0.787 ±0.087
codling,GradientBoostingRegressor,RMSE,0.478 ±0.158
codling,GradientBoostingRegressor,MAE,0.101 ±0.021
codling,GradientBoostingRegressor,R2,0.765 ±0.113
codling,MLPRegressor,RMSE,0.291 ±0.090
codling,MLPRegressor,MAE,0.121 ±0.031
codling,MLPRegressor,R2,0.911 ±0.041
codling,MLPRegressor2,RMSE,0.271 ±0.098
codling,MLPRegressor2,MAE,0.101 ±0.023
codling,MLPRegressor2,R2,0.922 ±0.045
nassCDS,ElasticNet,RMSE,1.000 ±0.005
nassCDS,ElasticNet,MAE,0.993 ±0.006
nassCDS,ElasticNet,R2,-0.000 ±0.000
nassCDS,KNeighborsRegressor,RMSE,0.896 ±0.004
nassCDS,KNeighborsRegressor,MAE,0.619 ±0.002
nassCDS,KNeighborsRegressor,R2,0.198 ±0.007
nassCDS,SVR,RMSE,0.811 ±0.004
nassCDS,SVR,MAE,0.530 ±0.007
nassCDS,SVR,R2,0.343 ±0.008
nassCDS,RandomForestRegressor,RMSE,0.807 ±0.003
nassCDS,RandomForestRegressor,MAE,0.559 ±0.007
nassCDS,RandomForestRegressor,R2,0.348 ±0.006
nassCDS,GradientBoostingRegressor,RMSE,0.782 ±0.003
nassCDS,GradientBoostingRegressor,MAE,0.575 ±0.008
nassCDS,GradientBoostingRegressor,R2,0.389 ±0.006
nassCDS,MLPRegressor,RMSE,0.792 ±0.004
nassCDS,MLPRegressor,MAE,0.567 ±0.008
nassCDS,MLPRegressor,R2,0.372 ±0.007
nassCDS,MLPRegressor2,RMSE,0.860 ±0.007
nassCDS,MLPRegressor2,MAE,0.587 ±0.010
nassCDS,MLPRegressor2,R2,0.259 ±0.013
races2000,ElasticNet,RMSE,1.184 ±1.130
races2000,ElasticNet,MAE,0.283 ±0.085
races2000,ElasticNet,R2,0.388 ±0.260
races2000,KNeighborsRegressor,RMSE,1.279 ±1.292
races2000,KNeighborsRegressor,MAE,0.083 ±0.053
races2000,KNeighborsRegressor,R2,0.476 ±0.216
races2000,SVR,RMSE,1.376 ±1.434
races2000,SVR,MAE,0.075 ±0.035
races2000,SVR,R2,0.450 ±0.315
races2000,RandomForestRegressor,RMSE,1.140 ±1.241
races2000,RandomForestRegressor,MAE,0.050 ±0.035
races2000,RandomForestRegressor,R2,0.594 ±0.237
races2000,GradientBoostingRegressor,RMSE,1.110 ±1.201
races2000,GradientBoostingRegressor,MAE,0.051 ±0.034
races2000,GradientBoostingRegressor,R2,0.495 ±0.601
races2000,MLPRegressor,RMSE,0.507 ±0.658
races2000,MLPRegressor,MAE,0.057 ±0.033
races2000,MLPRegressor,R2,0.904 ±0.090
races2000,MLPRegressor2,RMSE,0.411 ±0.583
races2000,MLPRegressor2,MAE,0.058 ±0.033
races2000,MLPRegressor2,R2,0.934 ±0.068
terrorism,ElasticNet,RMSE,5.446 ±5.351
terrorism,ElasticNet,MAE,0.378 ±0.194
terrorism,ElasticNet,R2,-4.239 ±5.675
terrorism,KNeighborsRegressor,RMSE,5.408 ±5.408
terrorism,KNeighborsRegressor,MAE,0.313 ±0.282
terrorism,KNeighborsRegressor,R2,-1.446 ±2.450
terrorism,SVR,RMSE,5.398 ±5.407
terrorism,SVR,MAE,0.197 ±0.142
terrorism,SVR,R2,-1.164 ±1.539
terrorism,RandomForestRegressor,RMSE,5.462 ±5.383
terrorism,RandomForestRegressor,MAE,0.290 ±0.269
terrorism,RandomForestRegressor,R2,-6.536 ±16.966
terrorism,GradientBoostingRegressor,RMSE,5.538 ±5.350
terrorism,GradientBoostingRegressor,MAE,0.283 ±0.293
terrorism,GradientBoostingRegressor,R2,-17.464 ±46.017
terrorism,MLPRegressor,RMSE,5.690 ±5.335
terrorism,MLPRegressor,MAE,0.410 ±0.297
terrorism,MLPRegressor,R2,-17.211 ±22.646
terrorism,MLPRegressor2,RMSE,5.705 ±5.369
terrorism,MLPRegressor2,MAE,0.392 ±0.286
terrorism,MLPRegressor2,R2,-18.020 ±27.539
midwest,ElasticNet,RMSE,0.742 ±0.090
midwest,ElasticNet,MAE,0.451 ±0.050
midwest,ElasticNet,R2,0.455 ±0.029
midwest,KNeighborsRegressor,RMSE,0.499 ±0.060
midwest,KNeighborsRegressor,MAE,0.277 ±0.029
midwest,KNeighborsRegressor,R2,0.751 ±0.030
midwest,SVR,RMSE,0.444 ±0.114
midwest,SVR,MAE,0.180 ±0.021
midwest,SVR,R2,0.805 ±0.058
