,,,CatBoostEncoder
codling,ElasticNet,RMSE,0.886 ±0.215
codling,ElasticNet,MAE,0.501 ±0.085
codling,ElasticNet,R2,0.238 ±0.089
codling,KNeighborsRegressor,RMSE,0.564 ±0.150
codling,KNeighborsRegressor,MAE,0.206 ±0.043
codling,KNeighborsRegressor,R2,0.690 ±0.058
codling,SVR,RMSE,0.559 ±0.253
codling,SVR,MAE,0.137 ±0.026
codling,SVR,R2,0.710 ±0.136
codling,RandomForestRegressor,RMSE,0.456 ±0.147
codling,RandomForestRegressor,MAE,0.134 ±0.031
codling,RandomForestRegressor,R2,0.793 ±0.089
codling,GradientBoostingRegressor,RMSE,0.477 ±0.152
codling,GradientBoostingRegressor,MAE,0.103 ±0.022
codling,GradientBoostingRegressor,R2,0.764 ±0.116
codling,MLPRegressor,RMSE,0.287 ±0.090
codling,MLPRegressor,MAE,0.122 ±0.021
codling,MLPRegressor,R2,0.912 ±0.044
codling,MLPRegressor2,RMSE,0.263 ±0.106
codling,MLPRegressor2,MAE,0.093 ±0.018
codling,MLPRegressor2,R2,0.925 ±0.048
nassCDS,ElasticNet,RMSE,1.000 ±0.005
nassCDS,ElasticNet,MAE,0.993 ±0.006
nassCDS,ElasticNet,R2,-0.000 ±0.000
nassCDS,KNeighborsRegressor,RMSE,0.876 ±0.004
nassCDS,KNeighborsRegressor,MAE,0.619 ±0.002
nassCDS,KNeighborsRegressor,R2,0.233 ±0.008
nassCDS,SVR,RMSE,0.807 ±0.004
nassCDS,SVR,MAE,0.530 ±0.007
nassCDS,SVR,R2,0.348 ±0.008
nassCDS,RandomForestRegressor,RMSE,0.807 ±0.003
nassCDS,RandomForestRegressor,MAE,0.556 ±0.006
nassCDS,RandomForestRegressor,R2,0.349 ±0.006
nassCDS,GradientBoostingRegressor,RMSE,0.780 ±0.003
nassCDS,GradientBoostingRegressor,MAE,0.567 ±0.006
nassCDS,GradientBoostingRegressor,R2,0.391 ±0.005
nassCDS,MLPRegressor,RMSE,0.784 ±0.003
nassCDS,MLPRegressor,MAE,0.565 ±0.007
nassCDS,MLPRegressor,R2,0.385 ±0.006
nassCDS,MLPRegressor2,RMSE,0.817 ±0.007
nassCDS,MLPRegressor2,MAE,0.567 ±0.008
nassCDS,MLPRegressor2,R2,0.332 ±0.010
races2000,ElasticNet,RMSE,1.184 ±1.130
races2000,ElasticNet,MAE,0.283 ±0.085
races2000,ElasticNet,R2,0.388 ±0.260
races2000,KNeighborsRegressor,RMSE,1.275 ±1.295
races2000,KNeighborsRegressor,MAE,0.074 ±0.044
races2000,KNeighborsRegressor,R2,0.487 ±0.221
races2000,SVR,RMSE,1.359 ±1.433
races2000,SVR,MAE,0.073 ±0.037
races2000,SVR,R2,0.475 ±0.323
races2000,RandomForestRegressor,RMSE,1.130 ±1.253
races2000,RandomForestRegressor,MAE,0.049 ±0.034
races2000,RandomForestRegressor,R2,0.630 ±0.207
races2000,GradientBoostingRegressor,RMSE,1.095 ±1.218
races2000,GradientBoostingRegressor,MAE,0.051 ±0.035
races2000,GradientBoostingRegressor,R2,0.609 ±0.221
races2000,MLPRegressor,RMSE,0.480 ±0.698
races2000,MLPRegressor,MAE,0.053 ±0.031
races2000,MLPRegressor,R2,0.916 ±0.084
races2000,MLPRegressor2,RMSE,0.402 ±0.589
races2000,MLPRegressor2,MAE,0.063 ±0.035
races2000,MLPRegressor2,R2,0.941 ±0.053
terrorism,ElasticNet,RMSE,5.446 ±5.351
terrorism,ElasticNet,MAE,0.378 ±0.194
terrorism,ElasticNet,R2,-4.239 ±5.675
terrorism,KNeighborsRegressor,RMSE,5.407 ±5.430
terrorism,KNeighborsRegressor,MAE,0.302 ±0.279
terrorism,KNeighborsRegressor,R2,-0.897 ±1.988
terrorism,SVR,RMSE,5.398 ±5.405
terrorism,SVR,MAE,0.213 ±0.151
terrorism,SVR,R2,-1.182 ±1.545
terrorism,RandomForestRegressor,RMSE,5.463 ±5.379
terrorism,RandomForestRegressor,MAE,0.288 ±0.270
terrorism,RandomForestRegressor,R2,-6.898 ±18.016
terrorism,GradientBoostingRegressor,RMSE,5.538 ±5.349
terrorism,GradientBoostingRegressor,MAE,0.296 ±0.306
terrorism,GradientBoostingRegressor,R2,-17.488 ±46.035
terrorism,MLPRegressor,RMSE,5.730 ±5.357
terrorism,MLPRegressor,MAE,0.398 ±0.291
terrorism,MLPRegressor,R2,-18.921 ±26.315
terrorism,MLPRegressor2,RMSE,5.644 ±5.321
terrorism,MLPRegressor2,MAE,0.433 ±0.358
terrorism,MLPRegressor2,R2,-17.235 ±27.442
midwest,ElasticNet,RMSE,0.742 ±0.090
midwest,ElasticNet,MAE,0.451 ±0.050
midwest,ElasticNet,R2,0.455 ±0.029
midwest,KNeighborsRegressor,RMSE,0.483 ±0.063
midwest,KNeighborsRegressor,MAE,0.275 ±0.025
midwest,KNeighborsRegressor,R2,0.767 ±0.029
midwest,SVR,RMSE,0.470 ±0.114
midwest,SVR,MAE,0.199 ±0.028
midwest,SVR,R2,0.782 ±0.061
