,,,CountEncoder
codling,ElasticNet,RMSE,0.888 ±0.216
codling,ElasticNet,MAE,0.502 ±0.085
codling,ElasticNet,R2,0.236 ±0.091
codling,KNeighborsRegressor,RMSE,0.637 ±0.186
codling,KNeighborsRegressor,MAE,0.235 ±0.066
codling,KNeighborsRegressor,R2,0.609 ±0.095
codling,SVR,RMSE,0.608 ±0.190
codling,SVR,MAE,0.174 ±0.042
codling,SVR,R2,0.649 ±0.084
codling,RandomForestRegressor,RMSE,0.459 ±0.152
codling,RandomForestRegressor,MAE,0.131 ±0.029
codling,RandomForestRegressor,R2,0.790 ±0.090
codling,GradientBoostingRegressor,RMSE,0.477 ±0.155
codling,GradientBoostingRegressor,MAE,0.099 ±0.019
codling,GradientBoostingRegressor,R2,0.766 ±0.116
codling,MLPRegressor,RMSE,0.315 ±0.110
codling,MLPRegressor,MAE,0.120 ±0.051
codling,MLPRegressor,R2,0.888 ±0.083
codling,MLPRegressor2,RMSE,0.267 ±0.113
codling,MLPRegressor2,MAE,0.102 ±0.025
codling,MLPRegressor2,R2,0.924 ±0.046
nassCDS,ElasticNet,RMSE,0.861 ±0.004
nassCDS,ElasticNet,MAE,0.716 ±0.008
nassCDS,ElasticNet,R2,0.259 ±0.003
nassCDS,KNeighborsRegressor,RMSE,0.885 ±0.004
nassCDS,KNeighborsRegressor,MAE,0.619 ±0.002
nassCDS,KNeighborsRegressor,R2,0.217 ±0.007
nassCDS,SVR,RMSE,0.872 ±0.004
nassCDS,SVR,MAE,0.673 ±0.002
nassCDS,SVR,R2,0.239 ±0.007
nassCDS,RandomForestRegressor,RMSE,0.806 ±0.003
nassCDS,RandomForestRegressor,MAE,0.556 ±0.007
nassCDS,RandomForestRegressor,R2,0.350 ±0.006
nassCDS,GradientBoostingRegressor,RMSE,0.781 ±0.003
nassCDS,GradientBoostingRegressor,MAE,0.572 ±0.005
nassCDS,GradientBoostingRegressor,R2,0.391 ±0.005
nassCDS,MLPRegressor,RMSE,16.656 ±6.188
nassCDS,MLPRegressor,MAE,13.487 ±7.809
nassCDS,MLPRegressor,R2,-314.337 ±219.946
nassCDS,MLPRegressor2,RMSE,9.186 ±6.945
nassCDS,MLPRegressor2,MAE,6.970 ±7.589
