,,,DropEncoder
codling,ElasticNet,RMSE,0.886 ±0.215
codling,ElasticNet,MAE,0.501 ±0.085
codling,ElasticNet,R2,0.238 ±0.089
codling,KNeighborsRegressor,RMSE,0.551 ±0.159
codling,KNeighborsRegressor,MAE,0.204 ±0.043
codling,KNeighborsRegressor,R2,0.708 ±0.058
codling,SVR,RMSE,0.545 ±0.258
codling,SVR,MAE,0.137 ±0.024
codling,SVR,R2,0.725 ±0.141
codling,RandomForestRegressor,RMSE,0.459 ±0.149
codling,RandomForestRegressor,MAE,0.131 ±0.031
codling,RandomForestRegressor,R2,0.790 ±0.087
codling,GradientBoostingRegressor,RMSE,0.471 ±0.158
codling,GradientBoostingRegressor,MAE,0.104 ±0.022
codling,GradientBoostingRegressor,R2,0.772 ±0.113
codling,MLPRegressor,RMSE,0.272 ±0.087
codling,MLPRegressor,MAE,0.118 ±0.024
codling,MLPRegressor,R2,0.919 ±0.048
codling,MLPRegressor2,RMSE,0.247 ±0.093
codling,MLPRegressor2,MAE,0.097 ±0.029
codling,MLPRegressor2,R2,0.934 ±0.044
nassCDS,ElasticNet,RMSE,1.000 ±0.005
nassCDS,ElasticNet,MAE,0.993 ±0.006
nassCDS,ElasticNet,R2,-0.000 ±0.000
nassCDS,KNeighborsRegressor,RMSE,0.981 ±0.005
nassCDS,KNeighborsRegressor,MAE,0.773 ±0.002
nassCDS,KNeighborsRegressor,R2,0.038 ±0.009
nassCDS,SVR,RMSE,0.926 ±0.005
nassCDS,SVR,MAE,0.626 ±0.010
nassCDS,SVR,R2,0.143 ±0.011
nassCDS,RandomForestRegressor,RMSE,0.911 ±0.004
nassCDS,RandomForestRegressor,MAE,0.653 ±0.007
nassCDS,RandomForestRegressor,R2,0.169 ±0.007
nassCDS,GradientBoostingRegressor,RMSE,0.883 ±0.004
nassCDS,GradientBoostingRegressor,MAE,0.647 ±0.009
nassCDS,GradientBoostingRegressor,R2,0.220 ±0.005
nassCDS,MLPRegressor,RMSE,0.889 ±0.004
nassCDS,MLPRegressor,MAE,0.680 ±0.013
nassCDS,MLPRegressor,R2,0.210 ±0.006
nassCDS,MLPRegressor2,RMSE,0.892 ±0.004
nassCDS,MLPRegressor2,MAE,0.682 ±0.016
nassCDS,MLPRegressor2,R2,0.204 ±0.007
races2000,ElasticNet,RMSE,1.184 ±1.130
races2000,ElasticNet,MAE,0.283 ±0.085
races2000,ElasticNet,R2,0.388 ±0.260
races2000,KNeighborsRegressor,RMSE,1.273 ±1.296
races2000,KNeighborsRegressor,MAE,0.069 ±0.043
races2000,KNeighborsRegressor,R2,0.493 ±0.226
races2000,SVR,RMSE,1.354 ±1.429
races2000,SVR,MAE,0.073 ±0.035
races2000,SVR,R2,0.480 ±0.320
races2000,RandomForestRegressor,RMSE,1.121 ±1.247
races2000,RandomForestRegressor,MAE,0.049 ±0.034
races2000,RandomForestRegressor,R2,0.644 ±0.211
races2000,GradientBoostingRegressor,RMSE,1.066 ±1.206
races2000,GradientBoostingRegressor,MAE,0.052 ±0.036
races2000,GradientBoostingRegressor,R2,0.638 ±0.220
races2000,MLPRegressor,RMSE,0.459 ±0.638
races2000,MLPRegressor,MAE,0.057 ±0.040
races2000,MLPRegressor,R2,0.932 ±0.065
races2000,MLPRegressor2,RMSE,0.409 ±0.573
races2000,MLPRegressor2,MAE,0.064 ±0.043
races2000,MLPRegressor2,R2,0.935 ±0.066
terrorism,ElasticNet,RMSE,5.446 ±5.351
terrorism,ElasticNet,MAE,0.378 ±0.194
terrorism,ElasticNet,R2,-4.239 ±5.675
terrorism,KNeighborsRegressor,RMSE,5.418 ±5.424
terrorism,KNeighborsRegressor,MAE,0.309 ±0.281
terrorism,KNeighborsRegressor,R2,-1.215 ±2.228
terrorism,SVR,RMSE,5.398 ±5.408
terrorism,SVR,MAE,0.214 ±0.152
terrorism,SVR,R2,-1.161 ±1.566
terrorism,RandomForestRegressor,RMSE,5.467 ±5.384
terrorism,RandomForestRegressor,MAE,0.291 ±0.273
terrorism,RandomForestRegressor,R2,-6.796 ±17.146
terrorism,GradientBoostingRegressor,RMSE,5.535 ±5.347
terrorism,GradientBoostingRegressor,MAE,0.289 ±0.303
terrorism,GradientBoostingRegressor,R2,-17.470 ±46.013
terrorism,MLPRegressor,RMSE,5.693 ±5.370
terrorism,MLPRegressor,MAE,0.432 ±0.332
terrorism,MLPRegressor,R2,-17.317 ±25.451
terrorism,MLPRegressor2,RMSE,5.715 ±5.316
terrorism,MLPRegressor2,MAE,0.410 ±0.329
terrorism,MLPRegressor2,R2,-22.874 ±39.816
midwest,ElasticNet,RMSE,0.742 ±0.090
midwest,ElasticNet,MAE,0.451 ±0.050
midwest,ElasticNet,R2,0.455 ±0.029
midwest,KNeighborsRegressor,RMSE,0.490 ±0.067
midwest,KNeighborsRegressor,MAE,0.282 ±0.030
midwest,KNeighborsRegressor,R2,0.762 ±0.024
midwest,SVR,RMSE,0.483 ±0.109
midwest,SVR,MAE,0.219 ±0.023
midwest,SVR,R2,0.770 ±0.056
