,,,GLMMEncoder
codling,ElasticNet,RMSE,0.886 ±0.215
codling,ElasticNet,MAE,0.501 ±0.085
codling,ElasticNet,R2,0.238 ±0.089
codling,KNeighborsRegressor,RMSE,0.560 ±0.153
codling,KNeighborsRegressor,MAE,0.203 ±0.040
codling,KNeighborsRegressor,R2,0.696 ±0.060
codling,SVR,RMSE,0.558 ±0.253
codling,SVR,MAE,0.136 ±0.027
codling,SVR,R2,0.712 ±0.136
codling,RandomForestRegressor,RMSE,0.466 ±0.147
codling,RandomForestRegressor,MAE,0.134 ±0.032
codling,RandomForestRegressor,R2,0.786 ±0.080
codling,GradientBoostingRegressor,RMSE,0.472 ±0.157
codling,GradientBoostingRegressor,MAE,0.103 ±0.022
codling,GradientBoostingRegressor,R2,0.770 ±0.113
codling,MLPRegressor,RMSE,0.321 ±0.106
codling,MLPRegressor,MAE,0.138 ±0.024
codling,MLPRegressor,R2,0.890 ±0.058
codling,MLPRegressor2,RMSE,0.261 ±0.099
codling,MLPRegressor2,MAE,0.096 ±0.022
codling,MLPRegressor2,R2,0.926 ±0.045
nassCDS,ElasticNet,RMSE,1.000 ±0.005
nassCDS,ElasticNet,MAE,0.993 ±0.006
nassCDS,ElasticNet,R2,-0.000 ±0.000
nassCDS,KNeighborsRegressor,RMSE,0.876 ±0.004
nassCDS,KNeighborsRegressor,MAE,0.619 ±0.002
nassCDS,KNeighborsRegressor,R2,0.233 ±0.008
nassCDS,SVR,RMSE,0.807 ±0.004
nassCDS,SVR,MAE,0.532 ±0.007
nassCDS,SVR,R2,0.349 ±0.008
nassCDS,RandomForestRegressor,RMSE,0.807 ±0.003
nassCDS,RandomForestRegressor,MAE,0.555 ±0.007
nassCDS,RandomForestRegressor,R2,0.349 ±0.006
nassCDS,GradientBoostingRegressor,RMSE,0.780 ±0.003
nassCDS,GradientBoostingRegressor,MAE,0.567 ±0.006
nassCDS,GradientBoostingRegressor,R2,0.391 ±0.005
nassCDS,MLPRegressor,RMSE,0.785 ±0.003
nassCDS,MLPRegressor,MAE,0.565 ±0.006
nassCDS,MLPRegressor,R2,0.384 ±0.006
nassCDS,MLPRegressor2,RMSE,0.816 ±0.006
nassCDS,MLPRegressor2,MAE,0.566 ±0.009
nassCDS,MLPRegressor2,R2,0.334 ±0.009
races2000,ElasticNet,RMSE,1.184 ±1.130
races2000,ElasticNet,MAE,0.283 ±0.085
races2000,ElasticNet,R2,0.388 ±0.260
races2000,KNeighborsRegressor,RMSE,1.275 ±1.296
races2000,KNeighborsRegressor,MAE,0.073 ±0.045
races2000,KNeighborsRegressor,R2,0.489 ±0.223
races2000,SVR,RMSE,1.357 ±1.427
races2000,SVR,MAE,0.074 ±0.036
races2000,SVR,R2,0.474 ±0.318
races2000,RandomForestRegressor,RMSE,1.134 ±1.251
races2000,RandomForestRegressor,MAE,0.048 ±0.033
races2000,RandomForestRegressor,R2,0.614 ±0.221
races2000,GradientBoostingRegressor,RMSE,1.089 ±1.221
races2000,GradientBoostingRegressor,MAE,0.052 ±0.036
races2000,GradientBoostingRegressor,R2,0.594 ±0.290
races2000,MLPRegressor,RMSE,0.489 ±0.681
races2000,MLPRegressor,MAE,0.053 ±0.037
races2000,MLPRegressor,R2,0.918 ±0.086
races2000,MLPRegressor2,RMSE,0.443 ±0.628
races2000,MLPRegressor2,MAE,0.063 ±0.042
races2000,MLPRegressor2,R2,0.919 ±0.078
terrorism,ElasticNet,RMSE,5.445 ±5.350
terrorism,ElasticNet,MAE,0.377 ±0.193
terrorism,ElasticNet,R2,-4.239 ±5.675
terrorism,KNeighborsRegressor,RMSE,5.417 ±5.424
terrorism,KNeighborsRegressor,MAE,0.304 ±0.282
terrorism,KNeighborsRegressor,R2,-1.214 ±2.227
terrorism,SVR,RMSE,5.398 ±5.406
terrorism,SVR,MAE,0.211 ±0.145
terrorism,SVR,R2,-1.172 ±1.570
terrorism,RandomForestRegressor,RMSE,5.472 ±5.376
terrorism,RandomForestRegressor,MAE,0.294 ±0.278
terrorism,RandomForestRegressor,R2,-7.994 ±20.860
terrorism,GradientBoostingRegressor,RMSE,5.539 ±5.349
terrorism,GradientBoostingRegressor,MAE,0.275 ±0.291
terrorism,GradientBoostingRegressor,R2,-17.478 ±45.998
terrorism,MLPRegressor,RMSE,5.632 ±5.295
terrorism,MLPRegressor,MAE,0.388 ±0.294
terrorism,MLPRegressor,R2,-17.981 ±27.869
terrorism,MLPRegressor2,RMSE,5.666 ±5.358
terrorism,MLPRegressor2,MAE,0.412 ±0.339
terrorism,MLPRegressor2,R2,-16.917 ±25.917
midwest,ElasticNet,RMSE,0.742 ±0.090
midwest,ElasticNet,MAE,0.451 ±0.050
midwest,ElasticNet,R2,0.455 ±0.029
midwest,KNeighborsRegressor,RMSE,0.485 ±0.062
midwest,KNeighborsRegressor,MAE,0.276 ±0.027
midwest,KNeighborsRegressor,R2,0.766 ±0.028
midwest,SVR,RMSE,0.481 ±0.115
midwest,SVR,MAE,0.210 ±0.030
midwest,SVR,R2,0.771 ±0.065
