,,,HashingEncoder
codling,ElasticNet,RMSE,0.886 ±0.215
codling,ElasticNet,MAE,0.501 ±0.085
codling,ElasticNet,R2,0.238 ±0.089
codling,KNeighborsRegressor,RMSE,0.564 ±0.148
codling,KNeighborsRegressor,MAE,0.214 ±0.044
codling,KNeighborsRegressor,R2,0.690 ±0.057
codling,SVR,RMSE,0.549 ±0.250
codling,SVR,MAE,0.141 ±0.026
codling,SVR,R2,0.720 ±0.133
codling,RandomForestRegressor,RMSE,0.456 ±0.149
codling,RandomForestRegressor,MAE,0.130 ±0.028
codling,RandomForestRegressor,R2,0.793 ±0.085
codling,GradientBoostingRegressor,RMSE,0.477 ±0.159
codling,GradientBoostingRegressor,MAE,0.104 ±0.022
codling,GradientBoostingRegressor,R2,0.765 ±0.121
codling,MLPRegressor,RMSE,0.288 ±0.099
codling,MLPRegressor,MAE,0.120 ±0.024
codling,MLPRegressor,R2,0.909 ±0.058
codling,MLPRegressor2,RMSE,0.261 ±0.092
codling,MLPRegressor2,MAE,0.097 ±0.020
codling,MLPRegressor2,R2,0.925 ±0.046
nassCDS,ElasticNet,RMSE,1.000 ±0.005
nassCDS,ElasticNet,MAE,0.993 ±0.006
nassCDS,ElasticNet,R2,-0.000 ±0.000
nassCDS,KNeighborsRegressor,RMSE,0.926 ±0.005
nassCDS,KNeighborsRegressor,MAE,0.619 ±0.002
nassCDS,KNeighborsRegressor,R2,0.143 ±0.007
nassCDS,SVR,RMSE,0.835 ±0.004
nassCDS,SVR,MAE,0.566 ±0.005
nassCDS,SVR,R2,0.302 ±0.007
nassCDS,RandomForestRegressor,RMSE,0.831 ±0.004
nassCDS,RandomForestRegressor,MAE,0.586 ±0.006
nassCDS,RandomForestRegressor,R2,0.310 ±0.007
nassCDS,GradientBoostingRegressor,RMSE,0.808 ±0.003
nassCDS,GradientBoostingRegressor,MAE,0.608 ±0.007
nassCDS,GradientBoostingRegressor,R2,0.346 ±0.006
nassCDS,MLPRegressor,RMSE,0.810 ±0.004
nassCDS,MLPRegressor,MAE,0.591 ±0.009
nassCDS,MLPRegressor,R2,0.343 ±0.008
nassCDS,MLPRegressor2,RMSE,0.852 ±0.008
nassCDS,MLPRegressor2,MAE,0.600 ±0.009
nassCDS,MLPRegressor2,R2,0.275 ±0.011
races2000,ElasticNet,RMSE,1.184 ±1.130
races2000,ElasticNet,MAE,0.283 ±0.085
races2000,ElasticNet,R2,0.388 ±0.260
races2000,KNeighborsRegressor,RMSE,1.281 ±1.292
races2000,KNeighborsRegressor,MAE,0.081 ±0.047
races2000,KNeighborsRegressor,R2,0.471 ±0.213
races2000,SVR,RMSE,1.391 ±1.427
races2000,SVR,MAE,0.075 ±0.035
races2000,SVR,R2,0.414 ±0.282
races2000,RandomForestRegressor,RMSE,1.145 ±1.259
races2000,RandomForestRegressor,MAE,0.050 ±0.035
races2000,RandomForestRegressor,R2,0.603 ±0.229
races2000,GradientBoostingRegressor,RMSE,1.114 ±1.213
races2000,GradientBoostingRegressor,MAE,0.051 ±0.033
races2000,GradientBoostingRegressor,R2,0.528 ±0.427
races2000,MLPRegressor,RMSE,0.518 ±0.672
races2000,MLPRegressor,MAE,0.058 ±0.036
races2000,MLPRegressor,R2,0.875 ±0.134
races2000,MLPRegressor2,RMSE,0.428 ±0.579
races2000,MLPRegressor2,MAE,0.059 ±0.035
races2000,MLPRegressor2,R2,0.929 ±0.058
terrorism,ElasticNet,RMSE,5.446 ±5.351
terrorism,ElasticNet,MAE,0.378 ±0.194
terrorism,ElasticNet,R2,-4.239 ±5.675
terrorism,KNeighborsRegressor,RMSE,5.406 ±5.405
terrorism,KNeighborsRegressor,MAE,0.318 ±0.288
terrorism,KNeighborsRegressor,R2,-1.447 ±2.445
terrorism,SVR,RMSE,5.399 ±5.407
terrorism,SVR,MAE,0.198 ±0.143
terrorism,SVR,R2,-1.180 ±1.572
terrorism,RandomForestRegressor,RMSE,5.468 ±5.381
terrorism,RandomForestRegressor,MAE,0.297 ±0.273
terrorism,RandomForestRegressor,R2,-6.947 ±17.663
terrorism,GradientBoostingRegressor,RMSE,5.538 ±5.349
terrorism,GradientBoostingRegressor,MAE,0.280 ±0.292
terrorism,GradientBoostingRegressor,R2,-17.473 ±46.004
terrorism,MLPRegressor,RMSE,5.715 ±5.338
terrorism,MLPRegressor,MAE,0.406 ±0.282
terrorism,MLPRegressor,R2,-19.341 ±26.743
terrorism,MLPRegressor2,RMSE,5.728 ±5.374
terrorism,MLPRegressor2,MAE,0.393 ±0.321
terrorism,MLPRegressor2,R2,-19.218 ±28.525
midwest,ElasticNet,RMSE,0.742 ±0.090
midwest,ElasticNet,MAE,0.451 ±0.050
midwest,ElasticNet,R2,0.455 ±0.029
midwest,KNeighborsRegressor,RMSE,0.492 ±0.068
midwest,KNeighborsRegressor,MAE,0.275 ±0.025
midwest,KNeighborsRegressor,R2,0.760 ±0.024
midwest,SVR,RMSE,0.454 ±0.110
midwest,SVR,MAE,0.198 ±0.023
midwest,SVR,R2,0.796 ±0.056
