,,,HelmertEncoder
codling,ElasticNet,RMSE,0.871 ±0.208
codling,ElasticNet,MAE,0.491 ±0.076
codling,ElasticNet,R2,0.263 ±0.094
codling,KNeighborsRegressor,RMSE,0.756 ±0.161
codling,KNeighborsRegressor,MAE,0.304 ±0.063
codling,KNeighborsRegressor,R2,0.431 ±0.116
codling,SVR,RMSE,0.642 ±0.210
codling,SVR,MAE,0.177 ±0.037
codling,SVR,R2,0.610 ±0.091
codling,RandomForestRegressor,RMSE,0.467 ±0.151
codling,RandomForestRegressor,MAE,0.135 ±0.033
codling,RandomForestRegressor,R2,0.783 ±0.091
codling,GradientBoostingRegressor,RMSE,0.475 ±0.159
codling,GradientBoostingRegressor,MAE,0.100 ±0.020
codling,GradientBoostingRegressor,R2,0.767 ±0.118
codling,MLPRegressor,RMSE,0.395 ±0.117
codling,MLPRegressor,MAE,0.155 ±0.032
codling,MLPRegressor,R2,0.829 ±0.098
codling,MLPRegressor2,RMSE,0.379 ±0.120
codling,MLPRegressor2,MAE,0.131 ±0.029
codling,MLPRegressor2,R2,0.843 ±0.099
nassCDS,ElasticNet,RMSE,0.998 ±0.009
nassCDS,ElasticNet,MAE,0.985 ±0.027
nassCDS,ElasticNet,R2,0.005 ±0.015
nassCDS,KNeighborsRegressor,RMSE,0.892 ±0.004
nassCDS,KNeighborsRegressor,MAE,0.619 ±0.002
nassCDS,KNeighborsRegressor,R2,0.204 ±0.007
nassCDS,SVR,RMSE,0.818 ±0.004
nassCDS,SVR,MAE,0.533 ±0.006
nassCDS,SVR,R2,0.331 ±0.008
nassCDS,RandomForestRegressor,RMSE,0.806 ±0.003
nassCDS,RandomForestRegressor,MAE,0.555 ±0.007
nassCDS,RandomForestRegressor,R2,0.350 ±0.006
nassCDS,GradientBoostingRegressor,RMSE,0.780 ±0.003
nassCDS,GradientBoostingRegressor,MAE,0.572 ±0.005
nassCDS,GradientBoostingRegressor,R2,0.391 ±0.005
nassCDS,MLPRegressor,RMSE,0.795 ±0.004
nassCDS,MLPRegressor,MAE,0.568 ±0.010
nassCDS,MLPRegressor,R2,0.368 ±0.006
nassCDS,MLPRegressor2,RMSE,0.863 ±0.008
nassCDS,MLPRegressor2,MAE,0.593 ±0.010
nassCDS,MLPRegressor2,R2,0.255 ±0.013
races2000,ElasticNet,RMSE,1.184 ±1.130
races2000,ElasticNet,MAE,0.283 ±0.085
races2000,ElasticNet,R2,0.388 ±0.260
races2000,KNeighborsRegressor,RMSE,1.314 ±1.294
races2000,KNeighborsRegressor,MAE,0.088 ±0.053
races2000,KNeighborsRegressor,R2,0.405 ±0.191
races2000,SVR,RMSE,1.402 ±1.443
races2000,SVR,MAE,0.078 ±0.032
races2000,SVR,R2,0.419 ±0.314
races2000,RandomForestRegressor,RMSE,1.148 ±1.249
races2000,RandomForestRegressor,MAE,0.048 ±0.033
races2000,RandomForestRegressor,R2,0.595 ±0.222
races2000,GradientBoostingRegressor,RMSE,1.113 ±1.212
races2000,GradientBoostingRegressor,MAE,0.051 ±0.034
races2000,GradientBoostingRegressor,R2,0.521 ±0.469
races2000,MLPRegressor,RMSE,0.609 ±0.757
races2000,MLPRegressor,MAE,0.056 ±0.031
races2000,MLPRegressor,R2,0.862 ±0.104
races2000,MLPRegressor2,RMSE,0.485 ±0.650
races2000,MLPRegressor2,MAE,0.056 ±0.032
races2000,MLPRegressor2,R2,0.899 ±0.111
terrorism,ElasticNet,RMSE,5.447 ±5.351
terrorism,ElasticNet,MAE,0.372 ±0.191
terrorism,ElasticNet,R2,-4.240 ±5.675
terrorism,KNeighborsRegressor,RMSE,5.421 ±5.392
terrorism,KNeighborsRegressor,MAE,0.318 ±0.283
terrorism,KNeighborsRegressor,R2,-2.050 ±3.190
terrorism,SVR,RMSE,5.393 ±5.411
terrorism,SVR,MAE,0.190 ±0.135
terrorism,SVR,R2,-0.956 ±1.250
terrorism,RandomForestRegressor,RMSE,5.464 ±5.378
terrorism,RandomForestRegressor,MAE,0.290 ±0.273
terrorism,RandomForestRegressor,R2,-7.284 ±19.660
terrorism,GradientBoostingRegressor,RMSE,5.536 ±5.347
terrorism,GradientBoostingRegressor,MAE,0.285 ±0.299
terrorism,GradientBoostingRegressor,R2,-17.468 ±45.989
terrorism,MLPRegressor,RMSE,5.671 ±5.307
terrorism,MLPRegressor,MAE,0.375 ±0.295
terrorism,MLPRegressor,R2,-17.079 ±24.820
terrorism,MLPRegressor2,RMSE,5.643 ±5.312
terrorism,MLPRegressor2,MAE,0.343 ±0.257
terrorism,MLPRegressor2,R2,-17.338 ±24.064
midwest,ElasticNet,RMSE,0.869 ±0.100
midwest,ElasticNet,MAE,0.514 ±0.047
midwest,ElasticNet,R2,0.248 ±0.065
midwest,KNeighborsRegressor,RMSE,0.926 ±0.116
midwest,KNeighborsRegressor,MAE,0.437 ±0.052
midwest,KNeighborsRegressor,R2,0.145 ±0.114
midwest,SVR,RMSE,1.006 ±0.118
midwest,SVR,MAE,0.450 ±0.053
midwest,SVR,R2,-0.006 ±0.071
midwest,RandomForestRegressor,RMSE,0.342 ±0.056
midwest,RandomForestRegressor,MAE,0.201 ±0.025
midwest,RandomForestRegressor,R2,0.883 ±0.025
midwest,GradientBoostingRegressor,RMSE,0.304 ±0.047
midwest,GradientBoostingRegressor,MAE,0.178 ±0.023
midwest,GradientBoostingRegressor,R2,0.907 ±0.021
midwest,MLPRegressor,RMSE,1.269 ±0.614
midwest,MLPRegressor,MAE,0.554 ±0.171
midwest,MLPRegressor,R2,-0.837 ±1.680
midwest,MLPRegressor2,RMSE,1.063 ±0.321
midwest,MLPRegressor2,MAE,0.486 ±0.076
midwest,MLPRegressor2,R2,-0.233 ±0.837
mpg,ElasticNet,RMSE,0.734 ±0.107
mpg,ElasticNet,MAE,0.477 ±0.067
mpg,ElasticNet,R2,0.465 ±0.061
mpg,KNeighborsRegressor,RMSE,0.600 ±0.125
mpg,KNeighborsRegressor,MAE,0.323 ±0.045
mpg,KNeighborsRegressor,R2,0.648 ±0.052
mpg,SVR,RMSE,0.538 ±0.116
mpg,SVR,MAE,0.268 ±0.036
mpg,SVR,R2,0.717 ±0.046
mpg,RandomForestRegressor,RMSE,0.282 ±0.082
mpg,RandomForestRegressor,MAE,0.128 ±0.020
mpg,RandomForestRegressor,R2,0.922 ±0.025
mpg,GradientBoostingRegressor,RMSE,0.272 ±0.074
mpg,GradientBoostingRegressor,MAE,0.132 ±0.022
mpg,GradientBoostingRegressor,R2,0.928 ±0.020
mpg,MLPRegressor,RMSE,0.519 ±0.099
mpg,MLPRegressor,MAE,0.267 ±0.044
mpg,MLPRegressor,R2,0.718 ±0.126
mpg,MLPRegressor2,RMSE,0.508 ±0.110
mpg,MLPRegressor2,MAE,0.255 ±0.038
mpg,MLPRegressor2,R2,0.740 ±0.076
msleep,ElasticNet,RMSE,0.826 ±0.218
msleep,ElasticNet,MAE,0.459 ±0.135
msleep,ElasticNet,R2,0.295 ±0.195
msleep,KNeighborsRegressor,RMSE,1.018 ±0.254
msleep,KNeighborsRegressor,MAE,0.735 ±0.312
msleep,KNeighborsRegressor,R2,-0.206 ±0.823
msleep,SVR,RMSE,0.899 ±0.247
msleep,SVR,MAE,0.541 ±0.165
msleep,SVR,R2,0.167 ±0.235
msleep,RandomForestRegressor,RMSE,0.528 ±0.231
msleep,RandomForestRegressor,MAE,0.237 ±0.122
msleep,RandomForestRegressor,R2,0.724 ±0.120
msleep,GradientBoostingRegressor,RMSE,0.398 ±0.213
msleep,GradientBoostingRegressor,MAE,0.155 ±0.104
msleep,GradientBoostingRegressor,R2,0.833 ±0.123
msleep,MLPRegressor,RMSE,0.834 ±0.256
msleep,MLPRegressor,MAE,0.597 ±0.219
msleep,MLPRegressor,R2,0.259 ±0.273
msleep,MLPRegressor2,RMSE,0.852 ±0.261
msleep,MLPRegressor2,MAE,0.538 ±0.175
msleep,MLPRegressor2,R2,0.215 ±0.368
txhousing,ElasticNet,RMSE,0.600 ±0.033
txhousing,ElasticNet,MAE,0.319 ±0.005
txhousing,ElasticNet,R2,0.640 ±0.017
txhousing,KNeighborsRegressor,RMSE,0.099 ±0.007
txhousing,KNeighborsRegressor,MAE,0.017 ±0.001
txhousing,KNeighborsRegressor,R2,0.990 ±0.001
txhousing,SVR,RMSE,0.139 ±0.008
txhousing,SVR,MAE,0.056 ±0.001
txhousing,SVR,R2,0.981 ±0.001
txhousing,RandomForestRegressor,RMSE,0.058 ±0.006
txhousing,RandomForestRegressor,MAE,0.006 ±0.000
txhousing,RandomForestRegressor,R2,0.997 ±0.000
txhousing,GradientBoostingRegressor,RMSE,0.060 ±0.004
txhousing,GradientBoostingRegressor,MAE,0.012 ±0.000
txhousing,GradientBoostingRegressor,R2,0.996 ±0.000
txhousing,MLPRegressor,RMSE,0.062 ±0.005
txhousing,MLPRegressor,MAE,0.024 ±0.002
txhousing,MLPRegressor,R2,0.996 ±0.001
txhousing,MLPRegressor2,RMSE,0.065 ±0.013
txhousing,MLPRegressor2,MAE,0.030 ±0.009
txhousing,MLPRegressor2,R2,0.996 ±0.002
gtcars,ElasticNet,RMSE,0.957 ±0.282
gtcars,ElasticNet,MAE,0.544 ±0.142
gtcars,ElasticNet,R2,0.120 ±0.104
gtcars,KNeighborsRegressor,RMSE,0.954 ±0.357
gtcars,KNeighborsRegressor,MAE,0.512 ±0.205
gtcars,KNeighborsRegressor,R2,0.136 ±0.299
gtcars,SVR,RMSE,0.896 ±0.309
gtcars,SVR,MAE,0.495 ±0.152
gtcars,SVR,R2,0.245 ±0.148
gtcars,RandomForestRegressor,RMSE,0.704 ±0.280
gtcars,RandomForestRegressor,MAE,0.319 ±0.101
gtcars,RandomForestRegressor,R2,0.530 ±0.159
gtcars,GradientBoostingRegressor,RMSE,0.717 ±0.279
gtcars,GradientBoostingRegressor,MAE,0.310 ±0.094
gtcars,GradientBoostingRegressor,R2,0.509 ±0.175
gtcars,MLPRegressor,RMSE,1.061 ±0.251
gtcars,MLPRegressor,MAE,0.556 ±0.116
gtcars,MLPRegressor,R2,-0.205 ±0.591
gtcars,MLPRegressor2,RMSE,0.910 ±0.266
gtcars,MLPRegressor2,MAE,0.481 ±0.127
gtcars,MLPRegressor2,R2,0.168 ±0.280
water,ElasticNet,RMSE,0.930 ±0.144
water,ElasticNet,MAE,0.740 ±0.141
water,ElasticNet,R2,0.124 ±0.067
water,KNeighborsRegressor,RMSE,0.722 ±0.091
water,KNeighborsRegressor,MAE,0.560 ±0.121
water,KNeighborsRegressor,R2,0.463 ±0.085
water,SVR,RMSE,0.751 ±0.114
water,SVR,MAE,0.575 ±0.116
water,SVR,R2,0.420 ±0.123
water,RandomForestRegressor,RMSE,0.800 ±0.090
water,RandomForestRegressor,MAE,0.567 ±0.126
water,RandomForestRegressor,R2,0.327 ±0.169
water,GradientBoostingRegressor,RMSE,0.879 ±0.115
water,GradientBoostingRegressor,MAE,0.634 ±0.128
water,GradientBoostingRegressor,R2,0.182 ±0.236
water,MLPRegressor,RMSE,0.710 ±0.100
water,MLPRegressor,MAE,0.544 ±0.128
water,MLPRegressor,R2,0.477 ±0.133
water,MLPRegressor2,RMSE,0.748 ±0.114
water,MLPRegressor2,MAE,0.562 ±0.127
water,MLPRegressor2,R2,0.420 ±0.139
ca2006,ElasticNet,RMSE,0.752 ±0.203
ca2006,ElasticNet,MAE,0.582 ±0.213
ca2006,ElasticNet,R2,0.396 ±0.238
ca2006,KNeighborsRegressor,RMSE,0.657 ±0.234
ca2006,KNeighborsRegressor,MAE,0.430 ±0.167
ca2006,KNeighborsRegressor,R2,0.515 ±0.330
ca2006,SVR,RMSE,0.630 ±0.229
ca2006,SVR,MAE,0.286 ±0.167
ca2006,SVR,R2,0.570 ±0.242
ca2006,RandomForestRegressor,RMSE,0.485 ±0.183
ca2006,RandomForestRegressor,MAE,0.269 ±0.117
ca2006,RandomForestRegressor,R2,0.744 ±0.151
ca2006,GradientBoostingRegressor,RMSE,0.400 ±0.152
ca2006,GradientBoostingRegressor,MAE,0.233 ±0.091
ca2006,GradientBoostingRegressor,R2,0.822 ±0.120
ca2006,MLPRegressor,RMSE,0.437 ±0.131
ca2006,MLPRegressor,MAE,0.270 ±0.134
ca2006,MLPRegressor,R2,0.786 ±0.103
ca2006,MLPRegressor2,RMSE,0.404 ±0.121
ca2006,MLPRegressor2,MAE,0.237 ±0.095
ca2006,MLPRegressor2,R2,0.820 ±0.083
UKHouseOfCommons,ElasticNet,RMSE,0.951 ±0.062
UKHouseOfCommons,ElasticNet,MAE,0.599 ±0.038
UKHouseOfCommons,ElasticNet,R2,0.095 ±0.050
UKHouseOfCommons,KNeighborsRegressor,RMSE,0.994 ±0.106
UKHouseOfCommons,KNeighborsRegressor,MAE,0.674 ±0.104
UKHouseOfCommons,KNeighborsRegressor,R2,0.006 ±0.157
UKHouseOfCommons,SVR,RMSE,0.980 ±0.070
UKHouseOfCommons,SVR,MAE,0.608 ±0.027
UKHouseOfCommons,SVR,R2,0.040 ±0.037
UKHouseOfCommons,RandomForestRegressor,RMSE,0.258 ±0.054
UKHouseOfCommons,RandomForestRegressor,MAE,0.100 ±0.010
UKHouseOfCommons,RandomForestRegressor,R2,0.933 ±0.022
UKHouseOfCommons,GradientBoostingRegressor,RMSE,0.202 ±0.042
UKHouseOfCommons,GradientBoostingRegressor,MAE,0.089 ±0.012
UKHouseOfCommons,GradientBoostingRegressor,R2,0.959 ±0.013
UKHouseOfCommons,MLPRegressor,RMSE,2.249 ±0.201
UKHouseOfCommons,MLPRegressor,MAE,1.166 ±0.192
UKHouseOfCommons,MLPRegressor,R2,-4.173 ±1.221
UKHouseOfCommons,MLPRegressor2,RMSE,1.339 ±0.108
UKHouseOfCommons,MLPRegressor2,MAE,0.806 ±0.070
UKHouseOfCommons,MLPRegressor2,R2,-0.831 ±0.399
myeloid,ElasticNet,RMSE,0.870 ±0.109
myeloid,ElasticNet,MAE,0.746 ±0.077
myeloid,ElasticNet,R2,0.240 ±0.065
myeloid,KNeighborsRegressor,RMSE,0.621 ±0.076
myeloid,KNeighborsRegressor,MAE,0.293 ±0.053
myeloid,KNeighborsRegressor,R2,0.610 ±0.051
myeloid,SVR,RMSE,0.560 ±0.067
myeloid,SVR,MAE,0.225 ±0.044
myeloid,SVR,R2,0.682 ±0.055
myeloid,RandomForestRegressor,RMSE,0.574 ±0.058
myeloid,RandomForestRegressor,MAE,0.259 ±0.045
myeloid,RandomForestRegressor,R2,0.662 ±0.070
myeloid,GradientBoostingRegressor,RMSE,0.620 ±0.089
myeloid,GradientBoostingRegressor,MAE,0.272 ±0.045
myeloid,GradientBoostingRegressor,R2,0.606 ±0.098
myeloid,MLPRegressor,RMSE,0.623 ±0.087
myeloid,MLPRegressor,MAE,0.265 ±0.044
myeloid,MLPRegressor,R2,0.598 ±0.127
myeloid,MLPRegressor2,RMSE,0.705 ±0.097
myeloid,MLPRegressor2,MAE,0.304 ±0.063
myeloid,MLPRegressor2,R2,0.487 ±0.136
us_rent_income,ElasticNet,RMSE,0.677 ±0.049
us_rent_income,ElasticNet,MAE,0.646 ±0.044
us_rent_income,ElasticNet,R2,0.534 ±0.035
us_rent_income,KNeighborsRegressor,RMSE,0.975 ±0.129
us_rent_income,KNeighborsRegressor,MAE,0.858 ±0.209
us_rent_income,KNeighborsRegressor,R2,0.023 ±0.211
us_rent_income,SVR,RMSE,1.270 ±0.082
us_rent_income,SVR,MAE,1.224 ±0.134
us_rent_income,SVR,R2,-0.648 ±0.188
us_rent_income,RandomForestRegressor,RMSE,0.207 ±0.032
us_rent_income,RandomForestRegressor,MAE,0.034 ±0.015
us_rent_income,RandomForestRegressor,R2,0.956 ±0.011
us_rent_income,GradientBoostingRegressor,RMSE,0.210 ±0.034
us_rent_income,GradientBoostingRegressor,MAE,0.056 ±0.016
us_rent_income,GradientBoostingRegressor,R2,0.954 ±0.013
us_rent_income,MLPRegressor,RMSE,0.476 ±0.093
us_rent_income,MLPRegressor,MAE,0.309 ±0.113
us_rent_income,MLPRegressor,R2,0.762 ±0.088
us_rent_income,MLPRegressor2,RMSE,0.602 ±0.110
us_rent_income,MLPRegressor2,MAE,0.434 ±0.134
us_rent_income,MLPRegressor2,R2,0.617 ±0.146
Baseball,ElasticNet,RMSE,0.707 ±0.056
Baseball,ElasticNet,MAE,0.529 ±0.040
Baseball,ElasticNet,R2,0.499 ±0.030
Baseball,KNeighborsRegressor,RMSE,0.963 ±0.087
Baseball,KNeighborsRegressor,MAE,0.651 ±0.077
Baseball,KNeighborsRegressor,R2,0.067 ±0.110
Baseball,SVR,RMSE,0.789 ±0.074
Baseball,SVR,MAE,0.499 ±0.051
Baseball,SVR,R2,0.374 ±0.079
Baseball,RandomForestRegressor,RMSE,0.381 ±0.034
Baseball,RandomForestRegressor,MAE,0.224 ±0.020
Baseball,RandomForestRegressor,R2,0.853 ±0.025
Baseball,GradientBoostingRegressor,RMSE,0.369 ±0.031
Baseball,GradientBoostingRegressor,MAE,0.230 ±0.031
Baseball,GradientBoostingRegressor,R2,0.862 ±0.023
Baseball,MLPRegressor,RMSE,0.867 ±0.090
Baseball,MLPRegressor,MAE,0.517 ±0.078
Baseball,MLPRegressor,R2,0.222 ±0.220
Baseball,MLPRegressor2,RMSE,0.789 ±0.069
Baseball,MLPRegressor2,MAE,0.495 ±0.051
Baseball,MLPRegressor2,R2,0.362 ±0.146
