,,,LeaveOneOutEncoder
codling,ElasticNet,RMSE,0.886 ±0.215
codling,ElasticNet,MAE,0.501 ±0.085
codling,ElasticNet,R2,0.238 ±0.089
codling,KNeighborsRegressor,RMSE,0.566 ±0.153
codling,KNeighborsRegressor,MAE,0.208 ±0.043
codling,KNeighborsRegressor,R2,0.689 ±0.060
codling,SVR,RMSE,0.564 ±0.252
codling,SVR,MAE,0.136 ±0.028
codling,SVR,R2,0.705 ±0.135
codling,RandomForestRegressor,RMSE,0.461 ±0.148
codling,RandomForestRegressor,MAE,0.134 ±0.033
codling,RandomForestRegressor,R2,0.789 ±0.086
codling,GradientBoostingRegressor,RMSE,0.482 ±0.157
codling,GradientBoostingRegressor,MAE,0.104 ±0.023
codling,GradientBoostingRegressor,R2,0.759 ±0.121
codling,MLPRegressor,RMSE,0.288 ±0.086
codling,MLPRegressor,MAE,0.115 ±0.020
codling,MLPRegressor,R2,0.909 ±0.052
codling,MLPRegressor2,RMSE,0.265 ±0.099
codling,MLPRegressor2,MAE,0.102 ±0.018
codling,MLPRegressor2,R2,0.922 ±0.053
nassCDS,ElasticNet,RMSE,1.000 ±0.005
nassCDS,ElasticNet,MAE,0.993 ±0.006
nassCDS,ElasticNet,R2,-0.000 ±0.000
nassCDS,KNeighborsRegressor,RMSE,0.876 ±0.004
nassCDS,KNeighborsRegressor,MAE,0.619 ±0.002
nassCDS,KNeighborsRegressor,R2,0.233 ±0.008
nassCDS,SVR,RMSE,0.807 ±0.004
nassCDS,SVR,MAE,0.530 ±0.007
nassCDS,SVR,R2,0.348 ±0.008
nassCDS,RandomForestRegressor,RMSE,0.807 ±0.003
nassCDS,RandomForestRegressor,MAE,0.557 ±0.006
nassCDS,RandomForestRegressor,R2,0.349 ±0.006
nassCDS,GradientBoostingRegressor,RMSE,0.780 ±0.003
nassCDS,GradientBoostingRegressor,MAE,0.567 ±0.006
nassCDS,GradientBoostingRegressor,R2,0.391 ±0.005
nassCDS,MLPRegressor,RMSE,0.785 ±0.003
nassCDS,MLPRegressor,MAE,0.566 ±0.006
nassCDS,MLPRegressor,R2,0.384 ±0.006
nassCDS,MLPRegressor2,RMSE,0.817 ±0.006
nassCDS,MLPRegressor2,MAE,0.565 ±0.010
nassCDS,MLPRegressor2,R2,0.332 ±0.009
races2000,ElasticNet,RMSE,1.184 ±1.130
races2000,ElasticNet,MAE,0.283 ±0.085
races2000,ElasticNet,R2,0.388 ±0.260
races2000,KNeighborsRegressor,RMSE,1.276 ±1.294
races2000,KNeighborsRegressor,MAE,0.075 ±0.044
races2000,KNeighborsRegressor,R2,0.485 ±0.221
races2000,SVR,RMSE,1.362 ±1.436
races2000,SVR,MAE,0.072 ±0.037
races2000,SVR,R2,0.472 ±0.324
races2000,RandomForestRegressor,RMSE,1.139 ±1.254
races2000,RandomForestRegressor,MAE,0.049 ±0.035
races2000,RandomForestRegressor,R2,0.617 ±0.206
races2000,GradientBoostingRegressor,RMSE,1.097 ±1.210
races2000,GradientBoostingRegressor,MAE,0.051 ±0.034
races2000,GradientBoostingRegressor,R2,0.604 ±0.233
races2000,MLPRegressor,RMSE,0.488 ±0.684
races2000,MLPRegressor,MAE,0.054 ±0.034
races2000,MLPRegressor,R2,0.908 ±0.127
races2000,MLPRegressor2,RMSE,0.386 ±0.548
races2000,MLPRegressor2,MAE,0.064 ±0.043
races2000,MLPRegressor2,R2,0.942 ±0.056
terrorism,ElasticNet,RMSE,5.446 ±5.351
terrorism,ElasticNet,MAE,0.378 ±0.194
terrorism,ElasticNet,R2,-4.239 ±5.675
terrorism,KNeighborsRegressor,RMSE,5.403 ±5.434
terrorism,KNeighborsRegressor,MAE,0.297 ±0.275
terrorism,KNeighborsRegressor,R2,-0.775 ±1.925
terrorism,SVR,RMSE,5.397 ±5.404
terrorism,SVR,MAE,0.211 ±0.150
terrorism,SVR,R2,-1.185 ±1.532
terrorism,RandomForestRegressor,RMSE,5.465 ±5.376
terrorism,RandomForestRegressor,MAE,0.298 ±0.283
terrorism,RandomForestRegressor,R2,-7.362 ±20.237
terrorism,GradientBoostingRegressor,RMSE,5.537 ±5.348
terrorism,GradientBoostingRegressor,MAE,0.288 ±0.298
terrorism,GradientBoostingRegressor,R2,-17.476 ±46.032
terrorism,MLPRegressor,RMSE,5.731 ±5.385
terrorism,MLPRegressor,MAE,0.431 ±0.305
terrorism,MLPRegressor,R2,-18.913 ±26.884
terrorism,MLPRegressor2,RMSE,5.658 ±5.302
terrorism,MLPRegressor2,MAE,0.387 ±0.296
terrorism,MLPRegressor2,R2,-18.430 ±26.142
midwest,ElasticNet,RMSE,0.742 ±0.090
midwest,ElasticNet,MAE,0.451 ±0.050
midwest,ElasticNet,R2,0.455 ±0.029
midwest,KNeighborsRegressor,RMSE,0.485 ±0.063
midwest,KNeighborsRegressor,MAE,0.276 ±0.026
midwest,KNeighborsRegressor,R2,0.766 ±0.027
midwest,SVR,RMSE,0.472 ±0.114
midwest,SVR,MAE,0.200 ±0.027
midwest,SVR,R2,0.780 ±0.061
