,,,MEstimateEncoder
codling,ElasticNet,RMSE,0.886 ±0.215
codling,ElasticNet,MAE,0.501 ±0.085
codling,ElasticNet,R2,0.238 ±0.089
codling,KNeighborsRegressor,RMSE,0.564 ±0.150
codling,KNeighborsRegressor,MAE,0.206 ±0.043
codling,KNeighborsRegressor,R2,0.690 ±0.058
codling,SVR,RMSE,0.559 ±0.253
codling,SVR,MAE,0.137 ±0.026
codling,SVR,R2,0.710 ±0.136
codling,RandomForestRegressor,RMSE,0.467 ±0.155
codling,RandomForestRegressor,MAE,0.132 ±0.028
codling,RandomForestRegressor,R2,0.784 ±0.091
codling,GradientBoostingRegressor,RMSE,0.473 ±0.152
codling,GradientBoostingRegressor,MAE,0.103 ±0.022
codling,GradientBoostingRegressor,R2,0.768 ±0.114
codling,MLPRegressor,RMSE,0.295 ±0.094
codling,MLPRegressor,MAE,0.120 ±0.024
codling,MLPRegressor,R2,0.904 ±0.060
codling,MLPRegressor2,RMSE,0.276 ±0.105
codling,MLPRegressor2,MAE,0.105 ±0.022
codling,MLPRegressor2,R2,0.916 ±0.056
nassCDS,ElasticNet,RMSE,1.000 ±0.005
nassCDS,ElasticNet,MAE,0.993 ±0.006
nassCDS,ElasticNet,R2,-0.000 ±0.000
nassCDS,KNeighborsRegressor,RMSE,0.876 ±0.004
nassCDS,KNeighborsRegressor,MAE,0.619 ±0.002
nassCDS,KNeighborsRegressor,R2,0.233 ±0.008
nassCDS,SVR,RMSE,0.807 ±0.004
nassCDS,SVR,MAE,0.530 ±0.007
nassCDS,SVR,R2,0.348 ±0.008
nassCDS,RandomForestRegressor,RMSE,0.807 ±0.003
nassCDS,RandomForestRegressor,MAE,0.557 ±0.006
nassCDS,RandomForestRegressor,R2,0.349 ±0.006
nassCDS,GradientBoostingRegressor,RMSE,0.780 ±0.003
nassCDS,GradientBoostingRegressor,MAE,0.567 ±0.006
nassCDS,GradientBoostingRegressor,R2,0.391 ±0.005
nassCDS,MLPRegressor,RMSE,0.784 ±0.003
nassCDS,MLPRegressor,MAE,0.566 ±0.006
nassCDS,MLPRegressor,R2,0.385 ±0.006
nassCDS,MLPRegressor2,RMSE,0.818 ±0.007
nassCDS,MLPRegressor2,MAE,0.567 ±0.010
nassCDS,MLPRegressor2,R2,0.331 ±0.009
races2000,ElasticNet,RMSE,1.184 ±1.130
races2000,ElasticNet,MAE,0.283 ±0.085
races2000,ElasticNet,R2,0.388 ±0.260
races2000,KNeighborsRegressor,RMSE,1.276 ±1.296
races2000,KNeighborsRegressor,MAE,0.073 ±0.045
races2000,KNeighborsRegressor,R2,0.487 ±0.222
races2000,SVR,RMSE,1.362 ±1.430
races2000,SVR,MAE,0.074 ±0.038
races2000,SVR,R2,0.469 ±0.318
races2000,RandomForestRegressor,RMSE,1.151 ±1.256
races2000,RandomForestRegressor,MAE,0.048 ±0.032
races2000,RandomForestRegressor,R2,0.603 ±0.207
races2000,GradientBoostingRegressor,RMSE,1.094 ±1.215
races2000,GradientBoostingRegressor,MAE,0.051 ±0.035
races2000,GradientBoostingRegressor,R2,0.601 ±0.228
races2000,MLPRegressor,RMSE,0.532 ±0.811
races2000,MLPRegressor,MAE,0.055 ±0.038
races2000,MLPRegressor,R2,0.913 ±0.102
races2000,MLPRegressor2,RMSE,0.410 ±0.555
races2000,MLPRegressor2,MAE,0.063 ±0.037
races2000,MLPRegressor2,R2,0.941 ±0.052
terrorism,ElasticNet,RMSE,5.446 ±5.351
terrorism,ElasticNet,MAE,0.378 ±0.194
terrorism,ElasticNet,R2,-4.239 ±5.675
terrorism,KNeighborsRegressor,RMSE,5.407 ±5.430
terrorism,KNeighborsRegressor,MAE,0.301 ±0.279
terrorism,KNeighborsRegressor,R2,-0.897 ±1.988
terrorism,SVR,RMSE,5.397 ±5.405
terrorism,SVR,MAE,0.211 ±0.147
terrorism,SVR,R2,-1.178 ±1.538
terrorism,RandomForestRegressor,RMSE,5.466 ±5.376
terrorism,RandomForestRegressor,MAE,0.294 ±0.273
terrorism,RandomForestRegressor,R2,-7.027 ±17.481
terrorism,GradientBoostingRegressor,RMSE,5.538 ±5.349
terrorism,GradientBoostingRegressor,MAE,0.279 ±0.294
terrorism,GradientBoostingRegressor,R2,-17.464 ±46.003
terrorism,MLPRegressor,RMSE,5.677 ±5.318
terrorism,MLPRegressor,MAE,0.384 ±0.271
terrorism,MLPRegressor,R2,-17.901 ±23.752
terrorism,MLPRegressor2,RMSE,5.668 ±5.313
terrorism,MLPRegressor2,MAE,0.371 ±0.292
terrorism,MLPRegressor2,R2,-19.682 ±32.465
midwest,ElasticNet,RMSE,0.742 ±0.090
midwest,ElasticNet,MAE,0.451 ±0.050
midwest,ElasticNet,R2,0.455 ±0.029
midwest,KNeighborsRegressor,RMSE,0.495 ±0.067
midwest,KNeighborsRegressor,MAE,0.279 ±0.027
midwest,KNeighborsRegressor,R2,0.757 ±0.029
midwest,SVR,RMSE,0.523 ±0.114
midwest,SVR,MAE,0.248 ±0.029
midwest,SVR,R2,0.731 ±0.060
