,,,OrdinalEncoder
codling,ElasticNet,RMSE,0.881 ±0.215
codling,ElasticNet,MAE,0.496 ±0.077
codling,ElasticNet,R2,0.248 ±0.085
codling,KNeighborsRegressor,RMSE,0.574 ±0.152
codling,KNeighborsRegressor,MAE,0.234 ±0.048
codling,KNeighborsRegressor,R2,0.680 ±0.060
codling,SVR,RMSE,0.483 ±0.194
codling,SVR,MAE,0.136 ±0.030
codling,SVR,R2,0.782 ±0.080
codling,RandomForestRegressor,RMSE,0.460 ±0.148
codling,RandomForestRegressor,MAE,0.133 ±0.031
codling,RandomForestRegressor,R2,0.789 ±0.086
codling,GradientBoostingRegressor,RMSE,0.477 ±0.158
codling,GradientBoostingRegressor,MAE,0.102 ±0.021
codling,GradientBoostingRegressor,R2,0.766 ±0.116
codling,MLPRegressor,RMSE,0.302 ±0.092
codling,MLPRegressor,MAE,0.121 ±0.020
codling,MLPRegressor,R2,0.905 ±0.042
codling,MLPRegressor2,RMSE,0.259 ±0.111
codling,MLPRegressor2,MAE,0.099 ±0.025
codling,MLPRegressor2,R2,0.927 ±0.048
nassCDS,ElasticNet,RMSE,1.000 ±0.005
nassCDS,ElasticNet,MAE,0.993 ±0.006
nassCDS,ElasticNet,R2,-0.000 ±0.000
nassCDS,KNeighborsRegressor,RMSE,0.898 ±0.005
nassCDS,KNeighborsRegressor,MAE,0.619 ±0.002
nassCDS,KNeighborsRegressor,R2,0.193 ±0.007
nassCDS,SVR,RMSE,0.813 ±0.007
nassCDS,SVR,MAE,0.550 ±0.011
nassCDS,SVR,R2,0.340 ±0.011
nassCDS,RandomForestRegressor,RMSE,0.807 ±0.003
nassCDS,RandomForestRegressor,MAE,0.558 ±0.007
nassCDS,RandomForestRegressor,R2,0.348 ±0.005
nassCDS,GradientBoostingRegressor,RMSE,0.781 ±0.003
nassCDS,GradientBoostingRegressor,MAE,0.574 ±0.006
nassCDS,GradientBoostingRegressor,R2,0.390 ±0.005
nassCDS,MLPRegressor,RMSE,0.793 ±0.006
nassCDS,MLPRegressor,MAE,0.578 ±0.011
nassCDS,MLPRegressor,R2,0.371 ±0.008
nassCDS,MLPRegressor2,RMSE,0.825 ±0.009
nassCDS,MLPRegressor2,MAE,0.576 ±0.010
nassCDS,MLPRegressor2,R2,0.319 ±0.016
races2000,ElasticNet,RMSE,1.184 ±1.130
races2000,ElasticNet,MAE,0.283 ±0.085
races2000,ElasticNet,R2,0.388 ±0.260
races2000,KNeighborsRegressor,RMSE,1.292 ±1.283
races2000,KNeighborsRegressor,MAE,0.085 ±0.045
races2000,KNeighborsRegressor,R2,0.439 ±0.175
races2000,SVR,RMSE,1.395 ±1.431
races2000,SVR,MAE,0.069 ±0.031
races2000,SVR,R2,0.361 ±0.299
races2000,RandomForestRegressor,RMSE,1.137 ±1.253
races2000,RandomForestRegressor,MAE,0.048 ±0.035
races2000,RandomForestRegressor,R2,0.609 ±0.252
races2000,GradientBoostingRegressor,RMSE,1.092 ±1.212
races2000,GradientBoostingRegressor,MAE,0.051 ±0.034
races2000,GradientBoostingRegressor,R2,0.599 ±0.253
races2000,MLPRegressor,RMSE,0.537 ±0.723
races2000,MLPRegressor,MAE,0.053 ±0.033
races2000,MLPRegressor,R2,0.881 ±0.113
races2000,MLPRegressor2,RMSE,0.457 ±0.607
races2000,MLPRegressor2,MAE,0.061 ±0.041
races2000,MLPRegressor2,R2,0.871 ±0.180
terrorism,ElasticNet,RMSE,5.446 ±5.351
terrorism,ElasticNet,MAE,0.378 ±0.194
terrorism,ElasticNet,R2,-4.239 ±5.675
terrorism,KNeighborsRegressor,RMSE,5.399 ±5.424
terrorism,KNeighborsRegressor,MAE,0.297 ±0.275
terrorism,KNeighborsRegressor,R2,-0.911 ±2.020
terrorism,SVR,RMSE,5.403 ±5.412
terrorism,SVR,MAE,0.195 ±0.141
terrorism,SVR,R2,-1.177 ±1.642
terrorism,RandomForestRegressor,RMSE,5.470 ±5.379
terrorism,RandomForestRegressor,MAE,0.288 ±0.272
terrorism,RandomForestRegressor,R2,-7.592 ±19.542
terrorism,GradientBoostingRegressor,RMSE,5.537 ±5.348
terrorism,GradientBoostingRegressor,MAE,0.281 ±0.294
terrorism,GradientBoostingRegressor,R2,-17.485 ±46.015
terrorism,MLPRegressor,RMSE,5.699 ±5.379
terrorism,MLPRegressor,MAE,0.463 ±0.340
terrorism,MLPRegressor,R2,-16.221 ±23.362
terrorism,MLPRegressor2,RMSE,5.685 ±5.389
terrorism,MLPRegressor2,MAE,0.422 ±0.339
terrorism,MLPRegressor2,R2,-16.498 ±27.287
midwest,ElasticNet,RMSE,0.756 ±0.090
midwest,ElasticNet,MAE,0.433 ±0.052
midwest,ElasticNet,R2,0.432 ±0.036
midwest,KNeighborsRegressor,RMSE,0.941 ±0.110
midwest,KNeighborsRegressor,MAE,0.452 ±0.054
midwest,KNeighborsRegressor,R2,0.116 ±0.097
midwest,SVR,RMSE,0.975 ±0.118
midwest,SVR,MAE,0.444 ±0.051
midwest,SVR,R2,0.057 ±0.052
midwest,RandomForestRegressor,RMSE,0.351 ±0.054
midwest,RandomForestRegressor,MAE,0.205 ±0.024
midwest,RandomForestRegressor,R2,0.877 ±0.022
midwest,GradientBoostingRegressor,RMSE,0.315 ±0.049
midwest,GradientBoostingRegressor,MAE,0.180 ±0.023
midwest,GradientBoostingRegressor,R2,0.901 ±0.019
midwest,MLPRegressor,RMSE,1.002 ±0.500
midwest,MLPRegressor,MAE,0.392 ±0.090
midwest,MLPRegressor,R2,-0.288 ±1.453
midwest,MLPRegressor2,RMSE,0.827 ±0.430
midwest,MLPRegressor2,MAE,0.330 ±0.041
midwest,MLPRegressor2,R2,0.136 ±1.133
mpg,ElasticNet,RMSE,0.708 ±0.113
mpg,ElasticNet,MAE,0.427 ±0.053
mpg,ElasticNet,R2,0.504 ±0.049
mpg,KNeighborsRegressor,RMSE,0.633 ±0.134
mpg,KNeighborsRegressor,MAE,0.345 ±0.060
mpg,KNeighborsRegressor,R2,0.607 ±0.072
mpg,SVR,RMSE,0.583 ±0.121
mpg,SVR,MAE,0.297 ±0.044
mpg,SVR,R2,0.669 ±0.046
mpg,RandomForestRegressor,RMSE,0.282 ±0.084
mpg,RandomForestRegressor,MAE,0.123 ±0.020
mpg,RandomForestRegressor,R2,0.922 ±0.026
mpg,GradientBoostingRegressor,RMSE,0.273 ±0.075
mpg,GradientBoostingRegressor,MAE,0.127 ±0.023
mpg,GradientBoostingRegressor,R2,0.928 ±0.020
mpg,MLPRegressor,RMSE,0.613 ±0.397
mpg,MLPRegressor,MAE,0.402 ±0.337
mpg,MLPRegressor,R2,0.430 ±0.715
mpg,MLPRegressor2,RMSE,0.387 ±0.190
mpg,MLPRegressor2,MAE,0.215 ±0.158
mpg,MLPRegressor2,R2,0.814 ±0.252
msleep,ElasticNet,RMSE,0.813 ±0.222
msleep,ElasticNet,MAE,0.509 ±0.237
msleep,ElasticNet,R2,0.241 ±0.600
msleep,KNeighborsRegressor,RMSE,1.075 ±0.250
msleep,KNeighborsRegressor,MAE,0.806 ±0.280
msleep,KNeighborsRegressor,R2,-0.326 ±0.826
msleep,SVR,RMSE,0.979 ±0.294
msleep,SVR,MAE,0.603 ±0.237
msleep,SVR,R2,0.018 ±0.278
msleep,RandomForestRegressor,RMSE,0.483 ±0.218
msleep,RandomForestRegressor,MAE,0.262 ±0.142
msleep,RandomForestRegressor,R2,0.765 ±0.117
msleep,GradientBoostingRegressor,RMSE,0.361 ±0.192
msleep,GradientBoostingRegressor,MAE,0.180 ±0.099
msleep,GradientBoostingRegressor,R2,0.865 ±0.087
msleep,MLPRegressor,RMSE,0.735 ±0.373
msleep,MLPRegressor,MAE,0.479 ±0.233
msleep,MLPRegressor,R2,0.275 ±0.656
msleep,MLPRegressor2,RMSE,0.660 ±0.235
msleep,MLPRegressor2,MAE,0.439 ±0.170
msleep,MLPRegressor2,R2,0.478 ±0.397
txhousing,ElasticNet,RMSE,0.638 ±0.034
txhousing,ElasticNet,MAE,0.226 ±0.003
txhousing,ElasticNet,R2,0.594 ±0.005
txhousing,KNeighborsRegressor,RMSE,0.100 ±0.007
txhousing,KNeighborsRegressor,MAE,0.018 ±0.001
txhousing,KNeighborsRegressor,R2,0.990 ±0.001
txhousing,SVR,RMSE,0.123 ±0.006
txhousing,SVR,MAE,0.053 ±0.001
txhousing,SVR,R2,0.985 ±0.001
txhousing,RandomForestRegressor,RMSE,0.059 ±0.006
txhousing,RandomForestRegressor,MAE,0.006 ±0.000
txhousing,RandomForestRegressor,R2,0.997 ±0.001
txhousing,GradientBoostingRegressor,RMSE,0.060 ±0.004
txhousing,GradientBoostingRegressor,MAE,0.012 ±0.000
txhousing,GradientBoostingRegressor,R2,0.996 ±0.000
txhousing,MLPRegressor,RMSE,0.060 ±0.006
txhousing,MLPRegressor,MAE,0.025 ±0.003
txhousing,MLPRegressor,R2,0.996 ±0.001
txhousing,MLPRegressor2,RMSE,0.051 ±0.006
txhousing,MLPRegressor2,MAE,0.025 ±0.007
txhousing,MLPRegressor2,R2,0.997 ±0.001
gtcars,ElasticNet,RMSE,0.954 ±0.349
gtcars,ElasticNet,MAE,0.561 ±0.164
gtcars,ElasticNet,R2,0.145 ±0.243
gtcars,KNeighborsRegressor,RMSE,1.010 ±0.342
gtcars,KNeighborsRegressor,MAE,0.613 ±0.184
gtcars,KNeighborsRegressor,R2,0.027 ±0.243
gtcars,SVR,RMSE,0.908 ±0.339
gtcars,SVR,MAE,0.485 ±0.143
gtcars,SVR,R2,0.225 ±0.236
gtcars,RandomForestRegressor,RMSE,0.726 ±0.252
gtcars,RandomForestRegressor,MAE,0.329 ±0.097
gtcars,RandomForestRegressor,R2,0.484 ±0.176
gtcars,GradientBoostingRegressor,RMSE,0.790 ±0.244
gtcars,GradientBoostingRegressor,MAE,0.310 ±0.087
gtcars,GradientBoostingRegressor,R2,0.353 ±0.325
gtcars,MLPRegressor,RMSE,1.021 ±0.266
gtcars,MLPRegressor,MAE,0.539 ±0.180
gtcars,MLPRegressor,R2,-0.301 ±1.037
gtcars,MLPRegressor2,RMSE,1.032 ±0.232
gtcars,MLPRegressor2,MAE,0.534 ±0.218
gtcars,MLPRegressor2,R2,-0.330 ±1.224
water,ElasticNet,RMSE,0.970 ±0.149
water,ElasticNet,MAE,0.747 ±0.161
water,ElasticNet,R2,0.048 ±0.070
water,KNeighborsRegressor,RMSE,0.734 ±0.083
water,KNeighborsRegressor,MAE,0.567 ±0.117
water,KNeighborsRegressor,R2,0.440 ±0.111
water,SVR,RMSE,0.759 ±0.107
water,SVR,MAE,0.588 ±0.114
water,SVR,R2,0.406 ±0.114
water,RandomForestRegressor,RMSE,0.798 ±0.091
water,RandomForestRegressor,MAE,0.562 ±0.119
water,RandomForestRegressor,R2,0.331 ±0.164
water,GradientBoostingRegressor,RMSE,0.879 ±0.115
water,GradientBoostingRegressor,MAE,0.632 ±0.128
water,GradientBoostingRegressor,R2,0.183 ±0.236
water,MLPRegressor,RMSE,0.712 ±0.096
water,MLPRegressor,MAE,0.549 ±0.112
water,MLPRegressor,R2,0.472 ±0.126
water,MLPRegressor2,RMSE,0.750 ±0.115
water,MLPRegressor2,MAE,0.580 ±0.125
water,MLPRegressor2,R2,0.418 ±0.136
ca2006,ElasticNet,RMSE,0.759 ±0.198
ca2006,ElasticNet,MAE,0.598 ±0.204
ca2006,ElasticNet,R2,0.383 ±0.234
ca2006,KNeighborsRegressor,RMSE,0.682 ±0.241
ca2006,KNeighborsRegressor,MAE,0.437 ±0.187
ca2006,KNeighborsRegressor,R2,0.482 ±0.328
ca2006,SVR,RMSE,0.617 ±0.223
ca2006,SVR,MAE,0.292 ±0.142
ca2006,SVR,R2,0.586 ±0.230
ca2006,RandomForestRegressor,RMSE,0.485 ±0.197
ca2006,RandomForestRegressor,MAE,0.267 ±0.115
ca2006,RandomForestRegressor,R2,0.741 ±0.171
ca2006,GradientBoostingRegressor,RMSE,0.417 ±0.160
ca2006,GradientBoostingRegressor,MAE,0.236 ±0.096
ca2006,GradientBoostingRegressor,R2,0.803 ±0.135
ca2006,MLPRegressor,RMSE,0.399 ±0.121
ca2006,MLPRegressor,MAE,0.225 ±0.106
ca2006,MLPRegressor,R2,0.811 ±0.126
ca2006,MLPRegressor2,RMSE,0.374 ±0.109
ca2006,MLPRegressor2,MAE,0.216 ±0.061
ca2006,MLPRegressor2,R2,0.841 ±0.077
UKHouseOfCommons,ElasticNet,RMSE,0.770 ±0.059
UKHouseOfCommons,ElasticNet,MAE,0.492 ±0.035
UKHouseOfCommons,ElasticNet,R2,0.408 ±0.018
UKHouseOfCommons,KNeighborsRegressor,RMSE,1.053 ±0.093
UKHouseOfCommons,KNeighborsRegressor,MAE,0.722 ±0.095
UKHouseOfCommons,KNeighborsRegressor,R2,-0.112 ±0.145
UKHouseOfCommons,SVR,RMSE,1.056 ±0.106
UKHouseOfCommons,SVR,MAE,0.721 ±0.107
UKHouseOfCommons,SVR,R2,-0.115 ±0.120
UKHouseOfCommons,RandomForestRegressor,RMSE,0.248 ±0.052
UKHouseOfCommons,RandomForestRegressor,MAE,0.091 ±0.009
UKHouseOfCommons,RandomForestRegressor,R2,0.938 ±0.020
UKHouseOfCommons,GradientBoostingRegressor,RMSE,0.189 ±0.042
UKHouseOfCommons,GradientBoostingRegressor,MAE,0.080 ±0.011
UKHouseOfCommons,GradientBoostingRegressor,R2,0.964 ±0.012
UKHouseOfCommons,MLPRegressor,RMSE,3.534 ±3.428
UKHouseOfCommons,MLPRegressor,MAE,3.401 ±3.581
UKHouseOfCommons,MLPRegressor,R2,-21.787 ±43.575
UKHouseOfCommons,MLPRegressor2,RMSE,3.140 ±2.218
UKHouseOfCommons,MLPRegressor2,MAE,3.044 ±2.329
UKHouseOfCommons,MLPRegressor2,R2,-13.582 ±16.884
myeloid,ElasticNet,RMSE,0.870 ±0.109
myeloid,ElasticNet,MAE,0.746 ±0.077
myeloid,ElasticNet,R2,0.240 ±0.065
myeloid,KNeighborsRegressor,RMSE,0.577 ±0.062
myeloid,KNeighborsRegressor,MAE,0.250 ±0.044
myeloid,KNeighborsRegressor,R2,0.661 ±0.059
myeloid,SVR,RMSE,0.550 ±0.062
myeloid,SVR,MAE,0.211 ±0.037
myeloid,SVR,R2,0.692 ±0.056
myeloid,RandomForestRegressor,RMSE,0.575 ±0.058
myeloid,RandomForestRegressor,MAE,0.261 ±0.040
myeloid,RandomForestRegressor,R2,0.661 ±0.070
myeloid,GradientBoostingRegressor,RMSE,0.619 ±0.090
myeloid,GradientBoostingRegressor,MAE,0.271 ±0.048
myeloid,GradientBoostingRegressor,R2,0.607 ±0.099
myeloid,MLPRegressor,RMSE,0.571 ±0.060
myeloid,MLPRegressor,MAE,0.248 ±0.044
myeloid,MLPRegressor,R2,0.665 ±0.079
