,,,SumEncoder
codling,ElasticNet,RMSE,0.886 ±0.215
codling,ElasticNet,MAE,0.501 ±0.085
codling,ElasticNet,R2,0.238 ±0.089
codling,KNeighborsRegressor,RMSE,0.604 ±0.149
codling,KNeighborsRegressor,MAE,0.230 ±0.058
codling,KNeighborsRegressor,R2,0.641 ±0.068
codling,SVR,RMSE,0.570 ±0.241
codling,SVR,MAE,0.145 ±0.029
codling,SVR,R2,0.698 ±0.124
codling,RandomForestRegressor,RMSE,0.468 ±0.149
codling,RandomForestRegressor,MAE,0.137 ±0.035
codling,RandomForestRegressor,R2,0.783 ±0.084
codling,GradientBoostingRegressor,RMSE,0.484 ±0.157
codling,GradientBoostingRegressor,MAE,0.100 ±0.021
codling,GradientBoostingRegressor,R2,0.758 ±0.118
codling,MLPRegressor,RMSE,0.333 ±0.103
codling,MLPRegressor,MAE,0.118 ±0.024
codling,MLPRegressor,R2,0.879 ±0.073
codling,MLPRegressor2,RMSE,0.309 ±0.104
codling,MLPRegressor2,MAE,0.113 ±0.019
codling,MLPRegressor2,R2,0.897 ±0.066
nassCDS,ElasticNet,RMSE,1.000 ±0.005
nassCDS,ElasticNet,MAE,0.993 ±0.006
nassCDS,ElasticNet,R2,-0.000 ±0.000
nassCDS,KNeighborsRegressor,RMSE,0.889 ±0.004
nassCDS,KNeighborsRegressor,MAE,0.619 ±0.002
nassCDS,KNeighborsRegressor,R2,0.210 ±0.007
nassCDS,SVR,RMSE,0.815 ±0.004
nassCDS,SVR,MAE,0.530 ±0.005
nassCDS,SVR,R2,0.336 ±0.008
nassCDS,RandomForestRegressor,RMSE,0.806 ±0.003
nassCDS,RandomForestRegressor,MAE,0.556 ±0.008
nassCDS,RandomForestRegressor,R2,0.351 ±0.006
nassCDS,GradientBoostingRegressor,RMSE,0.780 ±0.003
nassCDS,GradientBoostingRegressor,MAE,0.573 ±0.005
nassCDS,GradientBoostingRegressor,R2,0.391 ±0.005
nassCDS,MLPRegressor,RMSE,0.796 ±0.003
nassCDS,MLPRegressor,MAE,0.569 ±0.007
nassCDS,MLPRegressor,R2,0.367 ±0.006
nassCDS,MLPRegressor2,RMSE,0.867 ±0.006
nassCDS,MLPRegressor2,MAE,0.592 ±0.009
nassCDS,MLPRegressor2,R2,0.248 ±0.011
races2000,ElasticNet,RMSE,1.184 ±1.130
races2000,ElasticNet,MAE,0.283 ±0.085
races2000,ElasticNet,R2,0.388 ±0.260
races2000,KNeighborsRegressor,RMSE,1.288 ±1.291
races2000,KNeighborsRegressor,MAE,0.083 ±0.049
races2000,KNeighborsRegressor,R2,0.456 ±0.206
races2000,SVR,RMSE,1.386 ±1.440
races2000,SVR,MAE,0.073 ±0.032
races2000,SVR,R2,0.441 ±0.322
races2000,RandomForestRegressor,RMSE,1.155 ±1.253
races2000,RandomForestRegressor,MAE,0.049 ±0.033
races2000,RandomForestRegressor,R2,0.586 ±0.244
races2000,GradientBoostingRegressor,RMSE,1.121 ±1.213
races2000,GradientBoostingRegressor,MAE,0.052 ±0.036
races2000,GradientBoostingRegressor,R2,0.523 ±0.410
races2000,MLPRegressor,RMSE,0.556 ±0.729
races2000,MLPRegressor,MAE,0.056 ±0.031
races2000,MLPRegressor,R2,0.887 ±0.102
races2000,MLPRegressor2,RMSE,0.452 ±0.616
races2000,MLPRegressor2,MAE,0.057 ±0.039
races2000,MLPRegressor2,R2,0.911 ±0.136
terrorism,ElasticNet,RMSE,5.446 ±5.351
terrorism,ElasticNet,MAE,0.378 ±0.194
terrorism,ElasticNet,R2,-4.239 ±5.675
terrorism,KNeighborsRegressor,RMSE,5.408 ±5.408
terrorism,KNeighborsRegressor,MAE,0.316 ±0.286
terrorism,KNeighborsRegressor,R2,-1.434 ±2.440
terrorism,SVR,RMSE,5.396 ±5.407
terrorism,SVR,MAE,0.195 ±0.140
terrorism,SVR,R2,-1.129 ±1.506
terrorism,RandomForestRegressor,RMSE,5.461 ±5.382
terrorism,RandomForestRegressor,MAE,0.281 ±0.267
terrorism,RandomForestRegressor,R2,-6.262 ±15.450
terrorism,GradientBoostingRegressor,RMSE,5.538 ±5.349
terrorism,GradientBoostingRegressor,MAE,0.286 ±0.299
terrorism,GradientBoostingRegressor,R2,-17.463 ±45.990
terrorism,MLPRegressor,RMSE,5.750 ±5.353
terrorism,MLPRegressor,MAE,0.375 ±0.265
terrorism,MLPRegressor,R2,-20.164 ±27.542
terrorism,MLPRegressor2,RMSE,5.646 ±5.322
terrorism,MLPRegressor2,MAE,0.391 ±0.302
terrorism,MLPRegressor2,R2,-17.235 ±24.784
midwest,ElasticNet,RMSE,0.742 ±0.090
midwest,ElasticNet,MAE,0.451 ±0.050
midwest,ElasticNet,R2,0.455 ±0.029
midwest,KNeighborsRegressor,RMSE,0.502 ±0.058
midwest,KNeighborsRegressor,MAE,0.271 ±0.025
midwest,KNeighborsRegressor,R2,0.749 ±0.028
midwest,SVR,RMSE,0.444 ±0.112
midwest,SVR,MAE,0.174 ±0.018
midwest,SVR,R2,0.805 ±0.058
