,,,TargetEncoder
codling,ElasticNet,RMSE,0.886 ±0.215
codling,ElasticNet,MAE,0.501 ±0.085
codling,ElasticNet,R2,0.238 ±0.089
codling,KNeighborsRegressor,RMSE,0.566 ±0.153
codling,KNeighborsRegressor,MAE,0.207 ±0.043
codling,KNeighborsRegressor,R2,0.689 ±0.060
codling,SVR,RMSE,0.563 ±0.252
codling,SVR,MAE,0.136 ±0.028
codling,SVR,R2,0.706 ±0.135
codling,RandomForestRegressor,RMSE,0.466 ±0.147
codling,RandomForestRegressor,MAE,0.135 ±0.031
codling,RandomForestRegressor,R2,0.785 ±0.084
codling,GradientBoostingRegressor,RMSE,0.477 ±0.153
codling,GradientBoostingRegressor,MAE,0.104 ±0.023
codling,GradientBoostingRegressor,R2,0.767 ±0.109
codling,MLPRegressor,RMSE,0.285 ±0.084
codling,MLPRegressor,MAE,0.120 ±0.024
codling,MLPRegressor,R2,0.913 ±0.044
codling,MLPRegressor2,RMSE,0.276 ±0.107
codling,MLPRegressor2,MAE,0.102 ±0.017
codling,MLPRegressor2,R2,0.919 ±0.049
nassCDS,ElasticNet,RMSE,1.000 ±0.005
nassCDS,ElasticNet,MAE,0.993 ±0.006
nassCDS,ElasticNet,R2,-0.000 ±0.000
nassCDS,KNeighborsRegressor,RMSE,0.876 ±0.004
nassCDS,KNeighborsRegressor,MAE,0.619 ±0.002
nassCDS,KNeighborsRegressor,R2,0.233 ±0.008
nassCDS,SVR,RMSE,0.807 ±0.004
nassCDS,SVR,MAE,0.530 ±0.007
nassCDS,SVR,R2,0.348 ±0.008
nassCDS,RandomForestRegressor,RMSE,0.807 ±0.003
nassCDS,RandomForestRegressor,MAE,0.556 ±0.006
nassCDS,RandomForestRegressor,R2,0.349 ±0.006
nassCDS,GradientBoostingRegressor,RMSE,0.780 ±0.003
nassCDS,GradientBoostingRegressor,MAE,0.567 ±0.006
nassCDS,GradientBoostingRegressor,R2,0.391 ±0.005
nassCDS,MLPRegressor,RMSE,0.785 ±0.003
nassCDS,MLPRegressor,MAE,0.565 ±0.006
nassCDS,MLPRegressor,R2,0.384 ±0.006
nassCDS,MLPRegressor2,RMSE,0.819 ±0.007
nassCDS,MLPRegressor2,MAE,0.566 ±0.009
nassCDS,MLPRegressor2,R2,0.329 ±0.010
races2000,ElasticNet,RMSE,1.184 ±1.130
races2000,ElasticNet,MAE,0.283 ±0.085
races2000,ElasticNet,R2,0.388 ±0.260
races2000,KNeighborsRegressor,RMSE,1.276 ±1.294
races2000,KNeighborsRegressor,MAE,0.073 ±0.043
races2000,KNeighborsRegressor,R2,0.485 ±0.221
races2000,SVR,RMSE,1.361 ±1.434
races2000,SVR,MAE,0.073 ±0.038
races2000,SVR,R2,0.474 ±0.323
races2000,RandomForestRegressor,RMSE,1.136 ±1.252
races2000,RandomForestRegressor,MAE,0.048 ±0.033
races2000,RandomForestRegressor,R2,0.623 ±0.204
races2000,GradientBoostingRegressor,RMSE,1.097 ±1.217
races2000,GradientBoostingRegressor,MAE,0.051 ±0.034
races2000,GradientBoostingRegressor,R2,0.607 ±0.227
races2000,MLPRegressor,RMSE,0.494 ±0.691
races2000,MLPRegressor,MAE,0.054 ±0.031
races2000,MLPRegressor,R2,0.921 ±0.069
races2000,MLPRegressor2,RMSE,0.432 ±0.600
races2000,MLPRegressor2,MAE,0.056 ±0.036
races2000,MLPRegressor2,R2,0.933 ±0.058
terrorism,ElasticNet,RMSE,5.446 ±5.351
terrorism,ElasticNet,MAE,0.378 ±0.194
terrorism,ElasticNet,R2,-4.239 ±5.675
terrorism,KNeighborsRegressor,RMSE,5.403 ±5.434
terrorism,KNeighborsRegressor,MAE,0.299 ±0.275
terrorism,KNeighborsRegressor,R2,-0.776 ±1.925
terrorism,SVR,RMSE,5.398 ±5.405
terrorism,SVR,MAE,0.213 ±0.151
terrorism,SVR,R2,-1.186 ±1.535
terrorism,RandomForestRegressor,RMSE,5.470 ±5.375
terrorism,RandomForestRegressor,MAE,0.295 ±0.269
terrorism,RandomForestRegressor,R2,-7.609 ±20.336
terrorism,GradientBoostingRegressor,RMSE,5.538 ±5.349
terrorism,GradientBoostingRegressor,MAE,0.300 ±0.313
terrorism,GradientBoostingRegressor,R2,-17.483 ±46.036
terrorism,MLPRegressor,RMSE,5.709 ±5.348
terrorism,MLPRegressor,MAE,0.407 ±0.319
terrorism,MLPRegressor,R2,-19.913 ±29.972
terrorism,MLPRegressor2,RMSE,5.665 ±5.370
terrorism,MLPRegressor2,MAE,0.385 ±0.302
terrorism,MLPRegressor2,R2,-15.981 ±25.249
midwest,ElasticNet,RMSE,0.742 ±0.090
midwest,ElasticNet,MAE,0.451 ±0.050
midwest,ElasticNet,R2,0.455 ±0.029
midwest,KNeighborsRegressor,RMSE,0.484 ±0.062
midwest,KNeighborsRegressor,MAE,0.275 ±0.024
midwest,KNeighborsRegressor,R2,0.767 ±0.027
midwest,SVR,RMSE,0.471 ±0.114
midwest,SVR,MAE,0.200 ±0.028
midwest,SVR,R2,0.781 ±0.061
