,Max RAM (MiB),CPU time (s)
codling,100.90625,0.6502639730000013
nassCDS,165.33203125,0.9996206550001716
races2000,163.734375,0.7354122289998486
terrorism,163.75390625,0.6112869119997413
midwest,164.046875,0.635998501999893
mpg,164.1015625,0.9886434680001912
msleep,164.21875,0.7030464870003925
txhousing,164.21875,0.6712879200003954
gtcars,164.2890625,0.8553853839985095
water,164.3359375,0.7101866209995933
ca2006,164.203125,0.6537228019988106
UKHouseOfCommons,164.46875,0.6771142059988051
myeloid,164.2734375,0.6926020840001001
us_rent_income,164.47265625,0.7565125270011777
Baseball,164.55859375,0.8233381179998105
