,Max RAM (MiB),CPU time (s)
codling,100.921875,0.6596309589999976
nassCDS,165.2890625,0.9629687389997343
races2000,163.82421875,0.7197034060000078
terrorism,163.83984375,0.6737266319996706
midwest,164.07421875,0.6460607480003091
mpg,164.13671875,0.8774340119998669
msleep,164.17578125,0.7250293150000289
txhousing,164.17578125,0.6580648350000047
gtcars,164.296875,0.841118784000173
water,164.35546875,0.7114844719999383
ca2006,164.375,0.6544472170007793
UKHouseOfCommons,164.43359375,0.6580293360002543
myeloid,164.37109375,0.7112459140007559
us_rent_income,164.51171875,0.7154535600002419
Baseball,164.75,0.8224052209998263
