,Max RAM (MiB),CPU time (s)
codling,101.08203125,0.6729875949999986
nassCDS,168.84375,1.2703104420002092
races2000,163.51171875,0.6932981199997812
terrorism,163.39453125,0.6694043729994519
midwest,163.57421875,0.7712266019998424
mpg,163.57421875,0.9962620119995336
msleep,163.47265625,0.7922671870001068
txhousing,163.45703125,0.6881739740001649
gtcars,163.45703125,0.934629039000356
water,163.50390625,0.7436710430001767
ca2006,163.57421875,0.6988659700000426
UKHouseOfCommons,163.47265625,0.723090267999396
myeloid,163.45703125,0.7338577609998538
us_rent_income,163.57421875,0.7682701740004632
Baseball,163.57421875,0.8982598300008249
