,Max RAM (MiB),CPU time (s)
codling,102.26171875,1.2357013300000013
nassCDS,120.203125,19.370026202999725
races2000,119.1015625,1.1170442080001521
terrorism,119.0390625,1.5069574150002154
midwest,119.08203125,3.1363839899995583
mpg,119.0859375,3.5310603040006754
msleep,119.24609375,1.1066646680001213
txhousing,129.94140625,1.14000820199999
gtcars,129.94140625,2.373498249000477
water,129.94140625,0.721787329000108
ca2006,129.94140625,0.9568636140002127
UKHouseOfCommons,130.59375,2.137827632999688
myeloid,130.59375,2.086014100000284
us_rent_income,130.4140625,4.329739967000023
Baseball,110.93359375,9.757822681999642
