,Max RAM (MiB),CPU time (s)
codling,101.16015625,0.6539756059999995
nassCDS,167.32421875,0.9157247760003884
races2000,158.7578125,0.7314564770003926
terrorism,158.91015625,0.6097247259995129
midwest,159.02734375,0.628335700000207
mpg,159.23828125,0.8657967239996651
msleep,159.33984375,0.7365108750000218
txhousing,159.3359375,0.6590456760004599
gtcars,159.55859375,0.8007365129997197
water,159.6328125,0.7126505529995484
ca2006,159.57421875,0.6565593699997407
UKHouseOfCommons,159.61328125,0.6817038420003882
myeloid,159.65234375,0.7036208950003129
us_rent_income,159.7734375,0.7130572089999987
Baseball,159.83984375,0.7677370220008015
