,Max RAM (MiB),CPU time (s)
codling,101.515625,0.6975563449999953
nassCDS,163.15625,1.003260527999828
races2000,161.7265625,0.7116277009999976
terrorism,161.7734375,0.6627835280005456
midwest,163.44140625,1.8409599080005137
mpg,163.4609375,0.9395849319998888
msleep,163.49609375,0.7526703339999585
txhousing,163.5625,0.6752711260005526
gtcars,163.63671875,0.8639842080001472
water,163.6953125,0.7342820280000524
ca2006,163.7109375,0.6749455150002177
UKHouseOfCommons,164.19921875,1.3936952690000908
myeloid,164.21484375,0.7042897740002445
us_rent_income,164.58203125,0.7322374570003376
Baseball,164.390625,0.7779007879998971
