,ElasticNet,GradientBoostingRegressor,KNeighborsRegressor,MLPRegressor,MLPRegressor2,RandomForestRegressor,SVR,MeanScore
TargetEncoder,2.860393966324012,0.45724194274179436,0.8504326190621609,0.3434697935768785,0.42222320504544175,0.4604359288541589,0.7463599493576972,0.8772224864231635
CatBoostEncoder,2.8674523619289194,0.4625254336344605,0.8418160431560999,0.4476995216633682,0.4355758975634008,0.45063849656320504,0.7401959650411201,0.8922719599357963
LeaveOneOutEncoder,2.8606125455589853,0.46441907419173123,0.8643490348571983,0.4295991888077334,0.41723223842761653,0.45668072581066554,0.7570028569825079,0.8928422378052054
GLMMEncoder,2.8674050498806145,0.5508498313104903,0.8639607844624911,0.36008910148368184,0.4130498810649942,0.5696124875648877,0.7648650904857988,0.9128331751789941
OneHotEncoder,2.9516509791507923,0.42110864539162773,0.8779255862065143,0.5467431582066399,0.5466518369855929,0.43281529395900176,0.7971248274250674,0.9391457610464622
MEstimateEncoder,2.8674523619289194,0.5685615191675509,0.8569255029787246,0.41291674571291526,0.47722298401658636,0.6000009069837589,0.8020702039652813,0.9407357463933911
PolynomialEncoder,2.937236564736378,0.478190307521925,0.8779255862065143,0.5338921786656383,0.49772293869590584,0.5170544418487721,0.7566190138450326,0.9426630045028807
BinaryEncoder,2.9516509791507923,0.4656976267123353,0.938884536199625,0.5207744506655855,0.5353231492994368,0.4482026125809089,0.7801567922558554,0.9486700209806483
BaseNEncoder,2.9516509791507923,0.4691124988804169,0.938884536199625,0.5134777572441362,0.5662706053513195,0.4447273997481625,0.7801567922558554,0.9520400812614727
SumEncoder,2.8725600611207787,0.42361234218581484,0.9862978117528414,0.6720793014878782,0.5834130032644023,0.4340352159963026,0.8205839191650471,0.970368807853295
HashingEncoder,2.9516509791507923,0.521200406941933,0.9964529685326874,0.5371753594269264,0.5685040609910603,0.47808707640012255,0.8239667248054912,0.9824339394641447
JamesSteinEncoder,2.9389282379943236,0.5476587859881138,0.8918707031967678,0.5153214138897165,0.5072310236356443,0.5878033715370017,0.9291166910510719,0.9882757467560913
DropEncoder,2.9516509791507923,0.612987600350019,0.9803732031990866,0.5649994902036001,0.5336440224557067,0.5872125915780136,0.8849413195951455,1.016544172361766
BackwardDifferenceEncoder,2.9516509791507923,0.473565688712038,1.223084470816044,0.6863786254269423,0.6656970015878553,0.45808488514900453,0.8405772344394722,1.0427198407545926
HelmertEncoder,2.9848593559775716,0.4341575221164205,2.0983402017353097,2.0942223309811885,1.7321167722905075,0.45262115662650143,1.993073100986391,1.6841986343876987
OrdinalEncoder,3.0174379337726207,0.4857753080501407,2.0227258708566964,2.415081758212123,1.910964676191111,0.45430111876598017,1.7612405322164184,1.7239324568664414
CountEncoder,2.7621668724846673,0.4810448939293012,1.5723833802507106,15.121341953035182,7.533291080377168,0.444033103174107,2.4848885680407395,4.342735693041696
