Encoder,Baseball,UKHouseOfCommons,ca2006,codling,gtcars,midwest,mpg,msleep,myeloid,nassCDS,races2000,terrorism,txhousing,us_rent_income,water
BackwardDifferenceEncoder,0.77,0.672,0.682,0.64,0.859,0.669,0.936,0.767,0.686,0.951,0.726,0.622,0.641,0.724,0.714
BaseNEncoder,0.766,0.641,0.694,0.63,0.839,0.629,0.947,0.732,0.673,0.922,0.715,0.612,0.656,0.708,0.705
BinaryEncoder,0.701,0.57,0.622,0.563,0.77,0.557,0.876,0.673,0.6,0.86,0.644,0.544,0.594,0.643,0.631
CatBoostEncoder,0.763,0.712,0.735,0.635,0.912,0.693,0.821,0.83,0.729,1.185,0.684,0.663,0.635,0.762,0.713
CountEncoder,0.594,0.793,0.838,0.695,0.674,0.563,0.713,0.825,0.847,0.77,0.806,0.776,0.742,0.872,0.82
DropEncoder,0.557,0.629,0.635,0.604,0.637,0.527,0.662,0.666,0.665,0.597,0.696,0.604,0.628,0.696,0.692
GLMMEncoder,4.681,2.029,0.763,0.692,1.529,3.357,3.217,0.938,1.625,13.476,0.866,1.228,1.037,3.953,0.693
HashingEncoder,0.514,0.627,0.635,0.59,0.647,0.477,0.677,0.685,0.679,0.634,0.708,0.593,0.654,0.719,0.722
HelmertEncoder,0.746,0.655,0.672,0.625,0.855,0.645,0.933,0.756,0.677,0.933,0.716,0.614,0.619,0.713,0.697
JamesSteinEncoder,0.579,0.476,0.501,0.464,0.634,0.45,0.779,0.546,0.505,0.697,0.544,0.443,0.493,0.535,0.536
LeaveOneOutEncoder,0.758,0.617,0.641,0.572,0.797,0.648,0.701,0.713,0.636,0.911,0.663,0.567,0.598,0.663,0.637
MEstimateEncoder,0.709,0.621,0.649,0.708,0.758,0.573,0.883,0.712,0.658,0.826,0.762,0.581,0.649,0.705,0.844
OneHotEncoder,0.712,0.595,0.621,0.558,0.783,0.575,0.879,0.659,0.607,0.883,0.65,0.552,0.596,0.644,0.629
OrdinalEncoder,0.502,0.812,0.852,0.699,0.621,0.546,0.681,0.834,0.853,0.786,0.804,0.763,0.739,0.899,0.816
PolynomialEncoder,0.79,1.622,0.68,0.642,0.864,1.786,0.8,0.772,0.69,0.945,0.686,0.618,0.634,0.746,0.721
SumEncoder,0.77,0.672,0.688,0.642,0.856,0.668,0.957,0.751,0.694,0.963,0.733,0.629,0.645,0.729,0.707
TargetEncoder,0.738,0.625,0.667,0.606,0.783,0.605,0.914,0.733,0.663,0.873,0.7,0.586,0.644,0.69,0.695
