Encoder,Baseball,UKHouseOfCommons,ca2006,codling,gtcars,midwest,mpg,msleep,myeloid,nassCDS,races2000,terrorism,txhousing,us_rent_income,water
BackwardDifferenceEncoder,166.6484375,166.46875,165.9140625,100.98828125,165.8828125,165.640625,165.734375,165.765625,166.4921875,166.15234375,165.0546875,165.09375,165.828125,166.73046875,165.9140625
BaseNEncoder,164.5859375,164.38671875,164.36328125,100.73046875,164.26953125,164.03125,164.11328125,164.1328125,164.3515625,165.5625,164.04296875,163.80078125,164.1328125,164.4921875,164.32421875
BinaryEncoder,164.6953125,164.5546875,164.50390625,101.0859375,164.3828125,164.17578125,164.3515625,164.25,164.5859375,165.55078125,164.0078125,164.03515625,164.3046875,164.6171875,164.42578125
CatBoostEncoder,161.171875,161.0703125,161.0703125,101.265625,161.171875,161.171875,161.2734375,161.2734375,161.109375,166.48828125,161.0078125,161.0078125,161.2734375,161.171875,161.171875
CountEncoder,161.12890625,160.98046875,160.84375,100.85546875,160.83984375,160.5234375,160.6640625,160.63671875,161.03515625,161.421875,160.5546875,160.39453125,160.73046875,161.046875,160.79296875
DropEncoder,145.6484375,145.46484375,145.43359375,97.15234375,145.37109375,145.25390625,145.265625,145.30078125,145.50390625,145.1796875,145.19921875,145.24609375,145.3984375,145.53125,145.40625
GLMMEncoder,130.234375,130.17578125,129.67578125,101.96875,129.67578125,118.34375,118.6328125,118.390625,130.17578125,120.74609375,118.20703125,118.31640625,129.67578125,130.1953125,129.67578125
HashingEncoder,1526.046875,1525.47265625,1524.57421875,939.0390625,1524.359375,1522.51171875,1521.5859375,1523.7890625,1525.5078125,1620.953125,1534.84375,1521.84765625,1531.44921875,1525.8359375,1524.17578125
HelmertEncoder,163.6015625,163.3359375,162.6015625,101.0,162.67578125,162.36328125,162.375,162.58984375,163.1953125,162.73046875,161.734375,161.78125,162.58984375,163.2109375,162.6796875
JamesSteinEncoder,160.18359375,160.01953125,159.88671875,101.1484375,159.82421875,159.26953125,159.4453125,159.52734375,159.9765625,160.125,159.015625,159.1328125,159.6796875,160.109375,159.89453125
LeaveOneOutEncoder,159.82421875,159.69921875,159.703125,101.3125,159.37109375,159.34375,159.44921875,159.44921875,159.58203125,164.7109375,159.1640625,159.0546875,159.3125,159.76953125,159.5859375
MEstimateEncoder,160.375,160.2421875,160.15234375,101.30078125,160.078125,159.55859375,159.7421875,159.80078125,160.28515625,165.046875,159.24609375,159.42578125,159.94140625,160.3203125,160.11328125
OneHotEncoder,168.45703125,168.3515625,168.1484375,100.734375,167.94921875,167.7109375,167.859375,167.89453125,168.37890625,168.11328125,166.5,166.53515625,167.96484375,168.3828125,168.0625
OrdinalEncoder,161.48828125,161.33203125,161.28515625,100.73828125,161.328125,160.7578125,160.82421875,160.87890625,161.38671875,161.2578125,160.65625,160.66015625,161.0,161.39453125,161.19921875
PolynomialEncoder,164.74609375,164.6171875,164.015625,101.453125,163.93359375,163.76171875,163.765625,163.82421875,164.640625,162.9609375,162.13671875,162.046875,163.85546875,164.65625,163.99609375
SumEncoder,162.87890625,162.76953125,162.09765625,100.78515625,162.078125,161.79296875,161.94921875,161.96875,162.703125,162.38671875,161.22265625,161.265625,161.96875,162.7578125,162.14453125
TargetEncoder,160.140625,159.95703125,159.81640625,100.9609375,159.828125,159.515625,159.6015625,159.6328125,159.99609375,164.98046875,159.17578125,159.25,159.70703125,160.05078125,159.84765625
